contention_level,resnet_k,gpu_skip_allgpu,allgpu_worst,allgpu_worst_std,allnpu_worst,allnpu_worst_std,oracle_worst,oracle_worst_std,oracle_ratio,split1_worst,split2_worst,split3_worst,pick_dist,reps
RES0,0,0.0,0.1149,0.0,0.0836,0.0001,0.1149,0.0,0,0.1149,0.0823,0.0831,"{""0"": 3, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",3
RES1,1,24.3,0.0979,0.0037,0.083,0.0004,0.1026,0.0031,1,0.1026,0.0834,0.0831,"{""0"": 1, ""1"": 9, ""2"": 0, ""3"": 0, ""4"": 0}",10
RES2,2,45.0,0.0868,0.0027,0.0832,0.0003,0.0868,0.0027,0,0.0838,0.0836,0.0831,"{""0"": 6, ""1"": 1, ""2"": 0, ""3"": 0, ""4"": 0}",7
RES3,3,51.5,0.0819,0.0022,0.0833,0.0002,0.0836,0.0001,2,0.0798,0.0836,0.0834,"{""0"": 2, ""1"": 0, ""2"": 4, ""3"": 0, ""4"": 1}",7
RES4,4,56.1,0.0788,0.0028,0.0833,0.0003,0.0836,0.0001,2,0.0754,0.0836,0.0835,"{""0"": 0, ""1"": 0, ""2"": 4, ""3"": 1, ""4"": 0}",5
RES6,6,62.4,0.0767,0.0016,0.0834,0.0002,0.0836,0.0,3,0.0716,0.0836,0.0836,"{""0"": 0, ""1"": 0, ""2"": 3, ""3"": 1, ""4"": 1}",5
RES8,8,67.3,0.0713,0.0026,0.0836,0.0001,0.0836,0.0001,4,0.0698,0.0836,0.0836,"{""0"": 0, ""1"": 0, ""2"": 4, ""3"": 0, ""4"": 1}",5
