directory,filename,best_deployment,best_throughput,best_drop_rate,better_combination,better_throughput,better_drop_rate,diff
results,performance_20251224_075835_model_schedules_m_r_r_t_y_test.json,combination_10,15.17,516.0,combination_8,17.94,580.0,2.7700000000000014
results,performance_20251224_073543_model_schedules_m_r_r_s_s_x3.json,combination_23,23.32,356.0,combination_1,26.09,540.0,2.7699999999999996
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_239,24.41,219.0,2.7699999999999996
results,performance_20251224_035931_model_schedules_g_m_r_r_s_s_t_x2.json,combination_70,21.84,118.0,combination_33,24.6,289.0,2.7600000000000016
results,performance_20251224_065719_model_schedules_g_m_r_t.json,combination_6,20.44,489.0,combination_13,23.2,628.0,2.759999999999998
results,performance_20251224_070239_model_schedules_g_m_t_x2.json,combination_7,30.72,525.0,combination_6,33.46,641.0,2.740000000000002
results,performance_20251224_065719_model_schedules_g_m_r_t.json,combination_6,20.44,489.0,combination_15,23.18,650.0,2.7399999999999984
results,performance_20251224_060447_model_schedules_g_m_r_r_s_t.json,combination_2,27.16,359.0,combination_64,29.89,477.0,2.7300000000000004
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_144,24.36,334.0,2.719999999999999
results,performance_20251224_070239_model_schedules_g_m_t_x2.json,combination_7,30.72,525.0,combination_1,33.44,560.0,2.719999999999999
results,performance_20251224_083336_model_schedules_m_r_r_v_y_x2.json,combination_5,15.25,521.0,combination_14,17.97,644.0,2.719999999999999
results,performance_20251224_075315_model_schedules_m_r_r_test.json,combination_7,21.14,851.0,combination_3,23.85,965.0,2.710000000000001
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_131,24.33,207.0,2.6899999999999977
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_46,24.33,168.0,2.6899999999999977
results,performance_20251223_160629_model_schedules_g_m_r_r_s_s_t_v_test.json,combination_13,23.97,99.0,combination_129,26.65,244.0,2.6799999999999997
results,performance_20251224_083336_model_schedules_m_r_r_v_y_x2.json,combination_5,15.25,521.0,combination_1,17.92,685.0,2.6700000000000017
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_253,24.28,160.0,2.6400000000000006
results,performance_20251224_063243_model_schedules_g_m_r_r_t_x3.json,combination_5,22.88,505.0,combination_1,25.52,629.0,2.6400000000000006
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_151,24.27,242.0,2.629999999999999
results,performance_20251224_084037_model_schedules_m_r_r_v_y_x3.json,combination_13,15.19,591.0,combination_8,17.8,713.0,2.610000000000001
