detector,sid,log_id,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_50,map_s,map_m,map_l,latency_mean,frame_skip_pct,wall_sec
YOLOv11s,9,6db21fda-80cd-3f85-b4a7-0aadeb14724d,GPU,L1_light,0.1124,0.171,0.0045,0.1254,0.2343,0.1443,0.1879,0.0063,0.1889,0.3525,18.7707,2.2329,12.346
YOLOv11s,10,70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,GPU,L0,0.1536,0.2742,0.023,0.1421,0.3341,0.2113,0.3104,0.028,0.2429,0.4881,8.3425,0.0,3.8901
YOLOv11s,10,70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,NPU,L0,0.0978,0.2061,0.0124,0.0791,0.2143,0.1663,0.238,0.0159,0.1914,0.3769,40.7021,69.7406,15.2371
YOLOv11s,10,70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,GPU,L1_light,0.1528,0.2742,0.023,0.1415,0.331,0.2113,0.3104,0.028,0.2429,0.4881,18.0837,1.8349,8.4398
YOLOv11s,11,7d37fc6b-1028-3f6f-b980-adb5fa73021e,GPU,L0,0.288,0.3989,0.006,0.1851,0.6158,0.3017,0.4014,0.0065,0.2226,0.7415,8.6574,0.0,7.8167
YOLOv11s,11,7d37fc6b-1028-3f6f-b980-adb5fa73021e,NPU,L0,0.2621,0.3566,0.003,0.1213,0.4981,0.234,0.3012,0.0045,0.1599,0.5878,41.3555,70.7602,29.5178
YOLOv11s,11,7d37fc6b-1028-3f6f-b980-adb5fa73021e,GPU,L1_light,0.2874,0.3987,0.006,0.1838,0.6147,0.3017,0.4014,0.0065,0.2226,0.7415,18.4775,1.9518,16.6901
YOLOv11s,12,85bc130b-97ae-37fb-a129-4fc07c80cca7,GPU,L0,0.4825,0.6272,0.0678,0.4786,0.8864,0.4935,0.629,0.0686,0.4349,0.9175,8.5478,0.0,4.0164
YOLOv11s,12,85bc130b-97ae-37fb-a129-4fc07c80cca7,NPU,L0,0.4199,0.5514,0.0283,0.366,0.8435,0.3539,0.4344,0.0237,0.2761,0.7373,40.449,70.1149,15.5064
YOLOv11s,12,85bc130b-97ae-37fb-a129-4fc07c80cca7,GPU,L1_light,0.482,0.6272,0.0678,0.4779,0.8857,0.4935,0.629,0.0686,0.4349,0.9175,18.5758,2.0501,8.7068
YOLOv11s,13,aeb73d7a-8257-3225-972e-99307b3a5cb0,GPU,L0,0.1986,0.2934,0.0096,0.1104,0.4074,0.2415,0.2996,0.0097,0.155,0.5245,8.2204,0.0,7.3696
YOLOv11s,13,aeb73d7a-8257-3225-972e-99307b3a5cb0,NPU,L0,0.1382,0.2595,0.0032,0.0557,0.3098,0.1692,0.2092,0.0038,0.0968,0.3661,41.7333,71.131,29.473
YOLOv11s,13,aeb73d7a-8257-3225-972e-99307b3a5cb0,GPU,L1_light,0.1985,0.2932,0.0096,0.1103,0.4072,0.2415,0.2996,0.0097,0.155,0.5245,18.2837,1.5029,16.3945
YOLOv11s,14,b1ca08f1-24b0-3c39-ba4e-d5a92868462c,GPU,L0,0.4502,0.5738,0.0568,0.2154,0.6734,0.4963,0.5791,0.0591,0.23,0.7463,7.9508,0.0,7.1812
YOLOv11s,14,b1ca08f1-24b0-3c39-ba4e-d5a92868462c,NPU,L0,0.3399,0.5139,0.0119,0.1877,0.5555,0.3741,0.4353,0.0121,0.1783,0.5851,39.4075,64.2356,29.3426
YOLOv11s,14,b1ca08f1-24b0-3c39-ba4e-d5a92868462c,GPU,L1_light,0.4488,0.5739,0.0568,0.2145,0.6755,0.4963,0.5791,0.0591,0.23,0.7463,18.0658,1.9518,16.2881
YOLOv11s,15,c9d6ebeb-be15-3df8-b6f1-5575bea8e6b9,GPU,L0,0.1172,0.2263,0.0196,0.1353,0.3795,0.1787,0.279,0.0246,0.2084,0.6261,8.2218,0.0,7.3282
YOLOv11s,15,c9d6ebeb-be15-3df8-b6f1-5575bea8e6b9,NPU,L0,0.0678,0.1567,0.0062,0.0658,0.2176,0.1364,0.1963,0.0084,0.152,0.5151,39.8556,66.9528,29.116
YOLOv11s,15,c9d6ebeb-be15-3df8-b6f1-5575bea8e6b9,GPU,L1_light,0.1165,0.2261,0.0194,0.1338,0.376,0.1787,0.279,0.0246,0.2084,0.6261,18.5299,2.0955,16.475
