metric,gpu_mean,gpu_std,npu_mean,npu_std,gap_mean,gap_std,wilcoxon_p_2sided
sAP_0.50:0.95,0.1957,0.114,0.157,0.1129,-0.0387,0.0316,7.629e-05
sAP_0.50,0.3046,0.1313,0.2491,0.1407,-0.0555,0.0544,9.084e-05
