detector,params_M,phase,n_streams,bg_level,infer_mode,mxq_path,placement_name,placement_spec,mean_sap,worst_sap,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_skip
yolo11x,56.9,multistream,4,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1547,0.0941,15.9,NPU,2,0.0941,0.0243,0.1288,0.3615,100.0,NPU,22,0.266,0.0257,0.2352,0.5949,100.0,GPU,3,0.1574,0.0187,0.3147,0.2433,71.6,GPU,21,0.1013,0.0199,0.0414,0.2334,68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yolo11x,56.9,multistream,4,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1591,0.0646,15.9,GPU,2,0.1188,0.0411,0.1711,0.4194,75.2,GPU,22,0.3444,0.0365,0.3254,0.6933,68.5,NPU,3,0.1085,0.0,0.2087,0.1542,100.0,NPU,21,0.0646,0.0012,0.0292,0.1682,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yolo11x,56.9,multistream,8,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.2058,0.0744,29.9,NPU,2,0.0882,0.0217,0.1175,0.3412,100.0,NPU,22,0.2553,0.0256,0.2331,0.562,100.0,NPU,13,0.1613,0.0158,0.1099,0.3367,100.0,NPU,16,0.2511,0.0166,0.5435,0.361,100.0,GPU,3,0.1161,0.0181,0.2382,0.1547,98.1,GPU,21,0.0744,0.013,0.0295,0.1776,98.1,GPU,14,0.4236,0.1189,0.3126,0.6302,56.7,GPU,4,0.2763,0.0156,0.1616,0.6438,86.9
yolo11x,56.9,multistream,8,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,SizeBlindRev_NPU4,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1995,0.0585,30.1,GPU,2,0.0953,0.0281,0.1263,0.3574,99.0,GPU,22,0.3253,0.0375,0.3178,0.6296,98.1,GPU,13,0.1982,0.0275,0.142,0.4185,50.6,GPU,16,0.1867,0.0188,0.4866,0.2716,99.5,NPU,3,0.0917,0.0008,0.1732,0.123,100.0,NPU,21,0.0585,0.001,0.0256,0.1532,100.0,NPU,14,0.3531,0.0865,0.2721,0.5735,100.0,NPU,4,0.2868,0.0053,0.1603,0.6798,100.0
