size,gpu_mean,npu_mean,gap,rel_gap_pct,gpu_std,npu_std,reps,npu_skip,npu_infer_ms
small,0.0152,0.0097,-0.0055,-36.1,0.0,0.0,3,0.0,14.5
medium,0.1759,0.154,-0.0219,-12.4,0.0,0.0,3,0.0,14.5
large,0.4843,0.4785,-0.0058,-1.2,0.0,0.0,3,0.0,14.5
