detector,bg,Naive_allGPU_worst_m,Naive_allGPU_worst_s,Naive_allGPU_mean_m,Naive_allGPU_mean_s,Naive_allGPU_n,SizeAware_worst_m,SizeAware_worst_s,SizeAware_mean_m,SizeAware_mean_s,SizeAware_n,SizeBlindRev_worst_m,SizeBlindRev_worst_s,SizeBlindRev_mean_m,SizeBlindRev_mean_s,SizeBlindRev_n,AllNPU_worst_m,AllNPU_worst_s,AllNPU_mean_m,AllNPU_mean_s,AllNPU_n
yolo11s,L1_light,0.08236666666666666,0.002145279054627213,0.12306666666666666,0.0026042699979499473,3,0.1003,0.005232590180780451,0.1339,0.0033950945004029946,3,0.08353333333333333,9.42809041582025e-05,0.13263333333333335,0.0003299831645537204,3,0.0836,0.0,0.1263,0.0,3
yolo11s,L2_lm,0.06303333333333333,0.0010370899457402699,0.10173333333333334,0.00020548046676562717,3,0.06703333333333333,0.0006944222218666581,0.10413333333333334,0.00028674417556808445,3,0.055433333333333334,0.0013274871834493254,0.10296666666666666,0.0014704496666741876,3,0.06436666666666667,0.002041785710815143,0.10360000000000001,0.001232882800593796,3
yolo11m,L1_light,0.08296666666666667,0.003555590277608237,0.14956666666666665,0.003206590435684331,3,0.11926666666666667,0.00326224190124249,0.17556666666666665,0.001936204764194345,3,0.10163333333333334,0.0005436502143433347,0.17889999999999998,0.00028284271247461403,3,0.09946666666666666,0.0010370899457402666,0.16519999999999999,0.003909816704996117,3
yolo11m,L2_lm,0.06036666666666667,0.001376791761870892,0.12286666666666668,0.0017307673314329547,3,0.0702,0.0020607442021431674,0.12816666666666668,0.0011585431464655163,3,0.0598,0.0008041558721209905,0.13323333333333334,0.000262466929133724,3,0.061,0.0008524474568362946,0.12743333333333332,0.0006342099196813475,3
yolo11l,L1_light,0.0743,0.0014445299120013591,0.14846666666666666,0.0006798692684790448,3,0.08953333333333334,0.0015412837362262506,0.15053333333333332,0.0008379870059984346,3,0.07423333333333333,0.0039296593010364434,0.15923333333333334,0.0032293790252754264,3,0.06496666666666666,0.00033993463423951785,0.1352,0.0007257180352359008,3
yolo11l,L2_lm,0.05623333333333333,0.003953338954464808,0.12353333333333334,0.0013424687043734887,3,0.06706666666666668,0.00020548046676563316,0.12643333333333331,0.00028674417556808933,3,0.0546,0.0002449489742783163,0.1313,0.0007874007874011801,3,0.055600000000000004,0.0005887840577551894,0.1219,0.0005715476066494076,3
yolo11x,L1_light,0.08603333333333334,0.0006236095644623241,0.1667,0.0014352700094407284,3,0.09403333333333334,0.0004784233364802472,0.1567333333333333,0.000967241208569792,3,0.066,0.0010230672835481885,0.16140000000000002,0.0009899494936611716,3,0.05993333333333334,0.000262466929133726,0.1257,0.0002943920288775876,3
yolo11x,L2_lm,0.06506666666666666,0.0006599663291074459,0.13659999999999997,0.0008831760866327912,3,0.0786,0.0007257180352359053,0.13543333333333332,0.0003299831645537204,3,0.05896666666666667,0.0003681787005729077,0.14346666666666666,0.0005185449728701301,3,0.057133333333333335,0.0007930251502246879,0.1198,0.0007257180352359053,3
