detector,params_M,phase,sid,device,infer_mode,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11s,9.4,baseline,17,NPU,global8,L0,0.169,0.3011,0.0124,0.1494,0.496,0.2008,0.0135,0.1827,0.5758,36.818,37.1243,58.0902,15.1204
yolo11s,9.4,baseline,18,GPU,,L0,0.2034,0.2543,0.0179,0.0974,0.7561,0.2208,0.0201,0.1206,0.8401,8.1152,8.1201,0.0,7.3304
yolo11s,9.4,baseline,18,NPU,global8,L0,0.159,0.2188,0.0062,0.0679,0.6156,0.1691,0.0075,0.0918,0.6925,35.7912,36.0803,52.6525,28.3069
yolo11s,9.4,baseline,19,GPU,,L0,0.1208,0.2035,0.0127,0.1223,0.3753,0.1831,0.0182,0.2346,0.6045,8.3366,8.3522,0.0,3.8995
yolo11s,9.4,baseline,19,NPU,global8,L0,0.0815,0.1538,0.0115,0.0687,0.2469,0.1303,0.0126,0.1537,0.4544,37.0632,37.5666,56.3187,14.8116
yolo11s,9.4,baseline,20,GPU,,L0,0.1058,0.1787,0.0083,0.0795,0.3138,0.1607,0.0091,0.1798,0.5289,8.3109,8.3303,0.0,3.9144
yolo11s,9.4,baseline,20,NPU,global8,L0,0.0752,0.1352,0.0097,0.0554,0.1765,0.1292,0.0079,0.1394,0.3796,36.4548,36.6368,54.7872,14.8852
yolo11s,9.4,baseline,21,GPU,,L0,0.1149,0.2931,0.01,0.0469,0.2617,0.2865,0.0117,0.2904,0.5051,8.432,8.4444,0.0,3.9679
yolo11s,9.4,baseline,21,NPU,global8,L0,0.0564,0.1333,0.0028,0.0096,0.1656,0.1975,0.0041,0.2127,0.3468,37.8362,37.6053,61.0667,15.2406
yolo11s,9.4,baseline,22,GPU,,L0,0.211,0.3635,0.0014,0.193,0.647,0.2189,0.0023,0.1946,0.682,8.7346,8.7428,0.0,4.1605
yolo11s,9.4,baseline,22,NPU,global8,L0,0.1793,0.3464,0.0007,0.1742,0.5666,0.1747,0.0022,0.1555,0.5688,37.4167,37.3877,56.7282,15.3022
yolo11s,9.4,baseline,23,GPU,,L0,0.1555,0.3045,0.0344,0.1692,0.4839,0.2616,0.0491,0.3623,0.6662,8.4672,8.4639,0.0,4.028
yolo11s,9.4,baseline,23,NPU,global8,L0,0.1131,0.2298,0.0261,0.1169,0.3738,0.2261,0.0413,0.3095,0.5932,32.189,32.4412,41.3043,14.4151
