bg_level,n_streams,placement_name,placement_spec,mean_sap,worst_sap,sap_var,mean_map,worst_map,mean_latency,frame_skip_total,n_active_streams,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_lat,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_lat,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_lat,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_lat,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_lat,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_lat,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_lat,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_lat,s7_skip
L1,3,Oracle,"[""NPU"", ""NPU"", ""NPU""]",0.1406,0.109,0.00131,0.2075,0.1329,17.98,0.0,3,8.6,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,18.06,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,18.01,0.0,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,17.88,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,Naive_allGPU+Oracle,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1253,0.0821,0.002135,0.2313,0.1408,32.84,171.6,4,14.8,GPU,2,0.0996,0.0145,0.1212,0.4348,0.1408,32.97,45.1,GPU,22,0.2024,0.0015,0.1912,0.6184,0.2057,33.03,44.6,GPU,3,0.1172,0.0026,0.217,0.2444,0.3127,32.69,40.3,GPU,21,0.0821,0.0087,0.016,0.2167,0.2661,32.68,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,SizeAware+Oracle,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1402,0.109,0.001123,0.2376,0.1329,22.43,14.1,4,11.9,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,20.0,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,20.44,0.0,GPU,3,0.1493,0.0034,0.2534,0.342,0.3315,24.7,7.0,GPU,21,0.1114,0.01,0.0432,0.2558,0.2865,24.57,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,SizeBlindRev+Oracle,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1336,0.0836,0.00219,0.2212,0.1492,21.67,12.4,4,11.5,GPU,2,0.119,0.016,0.1694,0.5724,0.1492,23.89,5.9,GPU,22,0.2104,0.0015,0.1926,0.6454,0.2189,23.95,6.3,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,19.62,0.2,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,19.21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,Oracle,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1384,0.1023,0.001706,0.2407,0.1329,25.09,52.6,4,12.9,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,19.95,0.0,GPU,22,0.2066,0.0014,0.1917,0.6345,0.2154,27.32,21.4,GPU,3,0.1359,0.0034,0.243,0.3152,0.3285,26.57,16.3,GPU,21,0.1023,0.0099,0.0335,0.2459,0.286,26.51,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,Oracle,"[""GPU"", ""NPU"", ""GPU"", ""GPU""]",0.1348,0.099,0.001245,0.2404,0.1487,25.69,58.4,4,13.1,GPU,2,0.1122,0.0156,0.1544,0.5276,0.1487,27.45,18.6,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,20.54,0.0,GPU,3,0.1367,0.003,0.2449,0.2938,0.3275,27.48,20.5,GPU,21,0.099,0.01,0.0306,0.2423,0.2858,27.3,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,Oracle,"[""GPU"", ""GPU"", ""NPU"", ""GPU""]",0.135,0.103,0.001749,0.2348,0.147,25.72,63.4,4,13.1,GPU,2,0.109,0.0163,0.1466,0.5038,0.147,28.07,22.3,GPU,22,0.2065,0.0014,0.1921,0.6321,0.2165,27.75,21.9,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,20.0,0.0,GPU,21,0.103,0.0099,0.0341,0.2464,0.2859,27.06,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,Oracle,"[""GPU"", ""GPU"", ""GPU"", ""NPU""]",0.1329,0.0836,0.001976,0.2303,0.1478,26.12,71.3,4,13.4,GPU,2,0.1096,0.015,0.1473,0.5026,0.1478,28.3,22.5,GPU,22,0.2031,0.0014,0.1925,0.6266,0.2159,28.09,24.3,GPU,3,0.1353,0.0035,0.2328,0.2977,0.3306,28.18,24.3,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,19.89,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,Oracle,"[""NPU"", ""GPU"", ""NPU"", ""GPU""]",0.1374,0.1088,0.001729,0.232,0.1329,22.05,15.2,4,11.6,NPU,2,0.1088,0.0113,0.1415,0.5606,0.1329,20.08,0.5,GPU,22,0.2089,0.0014,0.1926,0.6399,0.2189,24.31,8.5,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,19.87,0.0,GPU,21,0.1105,0.0099,0.0438,0.255,0.2865,23.92,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,Oracle,"[""NPU"", ""GPU"", ""GPU"", ""NPU""]",0.1372,0.0834,0.002255,0.2275,0.1329,21.78,14.4,4,11.5,NPU,2,0.109,0.0113,0.1425,0.5659,0.1329,19.93,0.2,GPU,22,0.2096,0.0014,0.1929,0.6415,0.2189,23.96,7.0,GPU,3,0.1468,0.0034,0.2502,0.3317,0.3315,23.83,7.0,NPU,21,0.0834,0.0014,0.0242,0.2126,0.2268,19.42,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
