detector,params_M,phase,n_streams,bg_level,infer_mode,placement_name,placement_spec,mean_sap,worst_sap,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_skip
yolo11l,25.3,multistream,4,L1_light,single,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1482,0.0852,15.8,NPU,2,0.1047,0.0242,0.1343,0.4327,61.2,NPU,22,0.2372,0.0136,0.2201,0.6116,56.8,GPU,3,0.1655,0.0357,0.3132,0.2343,74.3,GPU,21,0.0852,0.0149,0.0331,0.2154,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yolo11l,25.3,multistream,4,L1_light,single,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1533,0.0712,15.8,GPU,2,0.1096,0.0304,0.1422,0.4247,64.8,GPU,22,0.2924,0.0141,0.2919,0.6247,66.1,NPU,3,0.1399,0.0025,0.2642,0.2701,37.0,NPU,21,0.0712,0.0055,0.0322,0.2002,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yolo11l,25.3,multistream,8,L1_light,single,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.2184,0.0565,29.2,NPU,2,0.1014,0.0233,0.1265,0.4138,88.1,NPU,22,0.2351,0.0137,0.2199,0.6031,90.9,NPU,13,0.2093,0.0157,0.1419,0.4195,43.3,NPU,16,0.3557,0.0166,0.6115,0.5721,88.8,GPU,3,0.1077,0.0208,0.216,0.1138,100.0,GPU,21,0.0565,0.0082,0.0223,0.1508,100.0,GPU,14,0.3974,0.1217,0.2928,0.5754,48.8,GPU,4,0.2838,0.0,0.1482,0.6676,70.5
yolo11l,25.3,multistream,8,L1_light,single,SizeBlindRev_NPU4,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2024,0.0633,29.0,GPU,2,0.0827,0.0177,0.0929,0.3404,100.0,GPU,22,0.2627,0.0138,0.2839,0.5242,100.0,GPU,13,0.1395,0.0197,0.1181,0.3306,45.8,GPU,16,0.2145,0.016,0.5132,0.2949,100.0,NPU,3,0.1318,0.0057,0.2447,0.2532,83.0,NPU,21,0.0633,0.0048,0.0289,0.1807,84.6,NPU,14,0.4484,0.1076,0.2197,0.6004,41.3,NPU,4,0.2759,0.0,0.1528,0.6557,79.3
