table,tag,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,mean_map,worst_map,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
main-comparison,L1_light,4,L1_light,Oracle_k3_0_1_3,"[""NPU"", ""NPU"", ""GPU"", ""NPU""]",0.1339,0.0836,0.2225,0.1329,11.5,NPU,2,0.11,0.0113,0.1438,0.5658,0.1329,0.2,NPU,22,0.1913,0.001,0.1733,0.6142,0.1996,0.2,GPU,3,0.1507,0.0034,0.2528,0.3445,0.3306,5.9,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,Oracle_k3_0_2_3,"[""NPU"", ""GPU"", ""NPU"", ""NPU""]",0.1309,0.0836,0.2171,0.1329,11.5,NPU,2,0.1089,0.0113,0.1421,0.5656,0.1329,0.5,GPU,22,0.2095,0.0014,0.1928,0.642,0.2189,4.1,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,Oracle_k3_1_2_3,"[""GPU"", ""NPU"", ""NPU"", ""NPU""]",0.129,0.0836,0.2164,0.1492,11.3,GPU,2,0.12,0.0163,0.1712,0.5754,0.1492,3.2,NPU,22,0.1912,0.001,0.1733,0.6139,0.1996,0.2,NPU,3,0.1213,0.0004,0.1815,0.3388,0.2899,0.7,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1013,0.0593,0.1488,0.091,15.8,GPU,2,0.0815,0.0102,0.0839,0.3697,0.091,82.4,GPU,22,0.1846,0.001,0.1861,0.5595,0.1354,79.8,GPU,3,0.0798,0.0016,0.1664,0.1261,0.1982,83.4,GPU,21,0.0593,0.0074,0.0105,0.1608,0.1707,85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.079,0.0514,0.0988,0.0435,15.9,NPU,2,0.057,0.0053,0.0464,0.2798,0.0435,97.3,NPU,22,0.1408,0.0009,0.1613,0.4103,0.0607,99.1,GPU,3,0.0668,0.0014,0.1216,0.1117,0.1618,92.8,GPU,21,0.0514,0.0058,0.008,0.1427,0.1292,95.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.079,0.028,0.0829,0.0688,15.9,GPU,2,0.0741,0.0098,0.0719,0.341,0.0708,95.3,GPU,22,0.1777,0.001,0.1859,0.5349,0.1009,96.2,NPU,3,0.0361,0.0008,0.0862,0.0505,0.0911,96.6,NPU,21,0.028,0.0003,0.0017,0.0891,0.0688,97.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1145,0.069,0.2081,0.1325,14.7,NPU,2,0.0974,0.0108,0.1137,0.5164,0.1325,23.4,NPU,22,0.1819,0.001,0.1714,0.5748,0.1867,32.9,NPU,3,0.1097,0.0005,0.1734,0.3251,0.2887,8.3,NPU,21,0.069,0.0012,0.0147,0.1865,0.2246,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,Oracle_k1_0,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.0906,0.0571,0.1103,0.043,15.8,NPU,2,0.0587,0.0053,0.05,0.2902,0.043,98.2,GPU,22,0.1761,0.001,0.1865,0.5293,0.101,93.5,GPU,3,0.0704,0.0015,0.1409,0.1092,0.1638,92.5,GPU,21,0.0571,0.0065,0.0089,0.1552,0.1333,88.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,Oracle_k1_1,"[""GPU"", ""NPU"", ""GPU"", ""GPU""]",0.0857,0.0565,0.1084,0.0623,15.9,GPU,2,0.0762,0.0092,0.0755,0.3515,0.0761,90.8,NPU,22,0.141,0.0007,0.1637,0.4137,0.0623,96.5,GPU,3,0.0693,0.0012,0.15,0.0843,0.1522,89.1,GPU,21,0.0565,0.0065,0.0086,0.1508,0.1432,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,Oracle_k1_2,"[""GPU"", ""GPU"", ""NPU"", ""GPU""]",0.0865,0.0379,0.0999,0.068,15.9,GPU,2,0.0728,0.0097,0.0729,0.3355,0.068,90.7,GPU,22,0.1773,0.0009,0.1856,0.5326,0.101,94.7,NPU,3,0.0379,0.0002,0.0933,0.0682,0.0922,99.1,GPU,21,0.0579,0.0059,0.0102,0.1533,0.1385,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,Oracle_k1_3,"[""GPU"", ""GPU"", ""GPU"", ""NPU""]",0.0873,0.0288,0.1063,0.0715,15.9,GPU,2,0.0759,0.0089,0.0714,0.357,0.0715,89.6,GPU,22,0.1762,0.0011,0.1858,0.532,0.1083,90.2,GPU,3,0.0684,0.0019,0.1334,0.0874,0.1731,90.1,NPU,21,0.0288,0.0004,0.0017,0.092,0.0726,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,Oracle_k2_0_2,"[""NPU"", ""GPU"", ""NPU"", ""GPU""]",0.0799,0.0339,0.087,0.0398,16.0,NPU,2,0.0568,0.005,0.0446,0.2821,0.0398,100.0,GPU,22,0.1792,0.0013,0.1848,0.5288,0.0998,96.1,NPU,3,0.0339,0.0002,0.0849,0.0517,0.089,96.6,GPU,21,0.0496,0.0062,0.0073,0.1368,0.1196,98.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,Oracle_k2_0_3,"[""NPU"", ""GPU"", ""GPU"", ""NPU""]",0.0811,0.0294,0.091,0.0398,15.9,NPU,2,0.056,0.0053,0.0444,0.2757,0.0398,99.0,GPU,22,0.1747,0.001,0.1853,0.5272,0.1007,96.8,GPU,3,0.0642,0.0011,0.1246,0.0857,0.1554,96.7,NPU,21,0.0294,0.0003,0.0018,0.0879,0.0681,98.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,Oracle_k2_1_2,"[""GPU"", ""NPU"", ""NPU"", ""GPU""]",0.075,0.0342,0.0878,0.0594,15.9,GPU,2,0.0755,0.0096,0.0728,0.3482,0.0731,92.9,NPU,22,0.1384,0.0011,0.1606,0.3968,0.0594,98.2,NPU,3,0.0342,0.0007,0.0806,0.0639,0.0913,96.4,GPU,21,0.0521,0.0056,0.0081,0.1456,0.1275,95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,Oracle_k2_1_3,"[""GPU"", ""NPU"", ""GPU"", ""NPU""]",0.0782,0.0276,0.09,0.0678,15.9,GPU,2,0.0732,0.0091,0.0689,0.337,0.0695,95.1,NPU,22,0.1492,0.0007,0.1634,0.4396,0.0678,96.7,GPU,3,0.0629,0.002,0.1218,0.103,0.1474,95.7,NPU,21,0.0276,0.0003,0.0022,0.0908,0.0754,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,Oracle_k3_0_1_2,"[""NPU"", ""NPU"", ""NPU"", ""GPU""]",0.109,0.0724,0.2031,0.1314,15.5,NPU,2,0.0968,0.0099,0.1129,0.4788,0.1314,31.8,NPU,22,0.1809,0.0011,0.1722,0.5698,0.1875,35.8,NPU,3,0.086,0.0002,0.1566,0.2679,0.2729,34.5,GPU,21,0.0724,0.0086,0.013,0.1918,0.2207,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,Oracle_k3_0_1_3,"[""NPU"", ""NPU"", ""GPU"", ""NPU""]",0.1088,0.0617,0.1993,0.1321,15.7,NPU,2,0.0947,0.01,0.1063,0.4862,0.1321,30.7,NPU,22,0.1811,0.0011,0.1707,0.5725,0.1869,43.1,GPU,3,0.0977,0.0018,0.1992,0.1971,0.2619,70.0,NPU,21,0.0617,0.0014,0.0109,0.1724,0.2162,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,Oracle_k3_0_2_3,"[""NPU"", ""GPU"", ""NPU"", ""NPU""]",0.1172,0.0723,0.2035,0.1294,15.7,NPU,2,0.0966,0.0103,0.1085,0.47,0.1294,29.4,GPU,22,0.1933,0.0011,0.1906,0.5869,0.1751,69.1,NPU,3,0.1065,0.0004,0.1722,0.3051,0.2846,24.6,NPU,21,0.0723,0.0014,0.0203,0.1899,0.2249,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,Oracle_k3_1_2_3,"[""GPU"", ""NPU"", ""NPU"", ""NPU""]",0.1067,0.0733,0.1973,0.1132,15.6,GPU,2,0.088,0.012,0.0984,0.3944,0.1132,77.3,NPU,22,0.1782,0.0009,0.1707,0.5669,0.182,31.5,NPU,3,0.0871,0.0003,0.1264,0.2512,0.2684,42.2,NPU,21,0.0733,0.0006,0.0184,0.1955,0.2254,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
