sid,log_id,device,infer_mode,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
2,1d676737-4110-3f7e-bec0-0c90f74c248f,NPU,global8,L1_light,0.1089,0.1667,0.0113,0.1426,0.5656,0.1329,0.0122,0.2126,0.7629,12.4788,12.419,0.6834,5.8359
3,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,NPU,global8,L1_light,0.1213,0.2979,0.0005,0.1816,0.3389,0.2899,0.0008,0.2598,0.5274,12.0884,12.2312,0.2247,5.8227
8,64724064-6472-6472-6472-764725145600,NPU,global8,L1_light,0.0721,0.129,0.0072,0.0826,0.3958,0.0883,0.0096,0.0995,0.5197,12.4165,12.4621,0.5814,11.1127
10,70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,NPU,global8,L1_light,0.1456,0.2531,0.0178,0.1437,0.3226,0.2022,0.0205,0.2342,0.4614,11.9825,11.9919,0.6881,5.5991
13,aeb73d7a-8257-3225-972e-99307b3a5cb0,NPU,global8,L1_light,0.1874,0.2745,0.0038,0.0861,0.3991,0.2209,0.0045,0.1216,0.4815,11.6199,11.7586,0.0,10.546
17,cb762bb1-7ce1-3ba5-b53d-13c159b532c8,NPU,global8,L1_light,0.2074,0.3161,0.0104,0.1877,0.6043,0.233,0.0112,0.2117,0.6666,12.2803,12.3134,0.2247,5.8603
21,e9a96218-365b-3ecd-a800-ed2c4c306c78,NPU,global8,L1_light,0.0835,0.1994,0.0014,0.0244,0.2125,0.2268,0.0016,0.2486,0.3958,11.9918,12.1191,0.2278,5.695
22,f1008c18-e76e-3c24-adcc-da9858fac145,NPU,global8,L1_light,0.1912,0.3412,0.001,0.1733,0.6141,0.1996,0.0024,0.1751,0.6538,12.6211,12.7085,0.6742,6.0482
