detector,params_M,binary,rel_Q_s,rel_Q_m,rel_Q_l,rel_L_s,rel_L_m,rel_L_l
yolo11s,9.4,legacy b2441f9d,-0.5635504201680672,-0.3523574325395926,-0.20980102589197555,0.10661764705882354,0.14013186215646736,0.15130595873712177
yolo11m,20.1,single 0c95402b7fab,-0.5079787234042553,-0.3757114647461959,-0.32594441457131174,0.18203309692671396,0.22654586285670034,0.2237863259524402
yolo11l,25.3,single 471971b30869,-0.4689798921039725,-0.4091271740864848,-0.35147282963700266,0.22081902893575278,0.2598266049678209,0.26636131761485576
yolo11x,56.9,single 11ccf20f1843,-0.5617443012884044,-0.46793634313709576,-0.40739565627950897,0.2533201189296333,0.2677838521811073,0.2820472143531633
