detector,params_M,phase,n_streams,bg_level,infer_mode,placement_name,placement_spec,mean_sap,worst_sap,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_skip
yolo11x,56.9,multistream,4,L1_light,single,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1537,0.0943,15.9,NPU,2,0.0943,0.0248,0.1321,0.3633,100.0,NPU,22,0.2654,0.0261,0.2342,0.6001,100.0,GPU,3,0.1575,0.02,0.3088,0.2458,78.6,GPU,21,0.0977,0.0191,0.0391,0.2274,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yolo11x,56.9,multistream,4,L1_light,single,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1597,0.0666,15.9,GPU,2,0.1187,0.0408,0.1692,0.4132,87.0,GPU,22,0.3444,0.0369,0.3239,0.6947,82.0,NPU,3,0.109,0.0005,0.2098,0.1549,100.0,NPU,21,0.0666,0.0015,0.0311,0.1739,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yolo11x,56.9,multistream,8,L1_light,single,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.2052,0.0753,29.9,NPU,2,0.0885,0.021,0.1224,0.3441,100.0,NPU,22,0.2593,0.025,0.233,0.5725,100.0,NPU,13,0.1571,0.0153,0.1107,0.3314,100.0,NPU,16,0.2515,0.0164,0.5221,0.3646,100.0,GPU,3,0.1172,0.0122,0.2392,0.1304,99.5,GPU,21,0.0753,0.0138,0.0301,0.1797,98.5,GPU,14,0.418,0.1179,0.312,0.623,62.5,GPU,4,0.2749,0.0161,0.1613,0.641,87.2
yolo11x,56.9,multistream,8,L1_light,single,SizeBlindRev_NPU4,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2014,0.062,30.1,GPU,2,0.0964,0.0291,0.1287,0.3587,99.1,GPU,22,0.324,0.0349,0.3186,0.634,99.1,GPU,13,0.2034,0.0285,0.1514,0.4275,48.6,GPU,16,0.1931,0.0188,0.5075,0.2909,98.1,NPU,3,0.0945,0.0002,0.1843,0.125,100.0,NPU,21,0.062,0.0013,0.0276,0.1583,100.0,NPU,14,0.3534,0.086,0.277,0.5735,100.0,NPU,4,0.2845,0.0029,0.1597,0.6777,100.0
