part,composition,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,sap_var,mean_map,worst_map,mean_latency,frame_skip_total,n_active_streams,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_lat,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_lat,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_lat,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_lat,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_lat,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_lat,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_lat,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_lat,s7_skip
A,B_medium_mixed,8,L1_light,MiniOracle,"[""GPU"", ""GPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1711,0.0752,0.010912,0.2034,0.0753,38.92,322.0,6,26.8,GPU,17,0.1653,0.0151,0.1707,0.4221,0.1493,63.48,94.4,GPU,8,0.0752,0.0067,0.1163,0.3057,0.0978,39.24,42.0,NPU,10,0.1423,0.0179,0.137,0.3137,0.2022,24.82,6.0,GPU,11,0.2519,0.0023,0.1044,0.4341,0.2133,38.68,40.9,GPU,2,0.0767,0.0114,0.078,0.351,0.0753,64.33,95.2,GPU,13,0.1278,0.0084,0.0813,0.325,0.1494,38.9,40.4,NPU,3,0.1195,0.0006,0.1785,0.3378,0.2888,21.94,2.3,NPU,14,0.4104,0.0136,0.1988,0.6546,0.4509,19.95,1.0
A,B_medium_mixed,8,L1_light,MiniOracle,"[""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1907,0.072,0.010551,0.2405,0.0883,24.2,83.3,7,19.6,GPU,17,0.2137,0.018,0.2263,0.5313,0.246,36.2,55.6,NPU,8,0.072,0.0072,0.0824,0.3945,0.0883,21.24,1.9,NPU,10,0.1427,0.0177,0.141,0.3134,0.2019,24.62,6.9,NPU,11,0.2788,0.0054,0.1597,0.5897,0.2927,21.54,2.8,NPU,2,0.1065,0.0112,0.1364,0.5487,0.1329,24.37,6.6,NPU,13,0.1866,0.0038,0.0853,0.3946,0.2209,20.88,2.1,NPU,3,0.1174,0.0004,0.1812,0.3347,0.2899,24.15,5.4,NPU,14,0.408,0.0138,0.1988,0.6522,0.4512,20.62,2.1
A,B_medium_mixed,8,L1_light,MiniOracle,"[""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU"", ""NPU""]",0.1792,0.0717,0.011427,0.2162,0.0883,31.41,236.0,6,25.2,NPU,17,0.2045,0.0099,0.1841,0.598,0.233,24.43,4.9,NPU,8,0.0717,0.0073,0.0813,0.3949,0.0883,21.89,2.0,NPU,10,0.1423,0.0172,0.1365,0.3166,0.2022,24.17,4.1,GPU,11,0.2569,0.0027,0.1133,0.4481,0.236,33.43,36.5,GPU,2,0.0825,0.0117,0.087,0.3705,0.0925,53.16,91.9,NPU,13,0.1828,0.0038,0.0853,0.3949,0.2209,21.13,2.3,GPU,3,0.0829,0.0017,0.1702,0.1595,0.2055,51.99,92.6,NPU,14,0.4098,0.0136,0.1988,0.6532,0.4512,21.08,1.6
A,C_diverse,8,L1_light,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0945,0.0475,0.007231,0.1164,0.0662,59.79,580.1,3,26.8,GPU,15,0.062,0.009,0.0562,0.1753,0.1328,40.3,36.7,GPU,19,0.0559,0.0073,0.0443,0.1505,0.085,72.56,97.8,GPU,23,0.0555,0.0134,0.0638,0.1754,0.1252,71.36,93.7,GPU,0,0.0475,0.0137,0.1043,0.3101,0.0662,39.87,35.6,GPU,1,0.0584,0.0025,0.0729,0.1528,0.0939,39.43,35.8,GPU,20,0.0559,0.0072,0.0474,0.1304,0.0791,69.85,92.7,GPU,5,0.3151,0.0126,0.1623,0.4158,0.2097,75.31,93.9,GPU,7,0.1055,0.0,0.0876,0.1765,0.1397,69.67,93.8
A,C_diverse,8,L1_light,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1307,0.0583,0.008185,0.1633,0.0722,32.71,288.6,5,24.2,NPU,15,0.1085,0.0092,0.1121,0.3863,0.1654,19.0,0.0,NPU,19,0.1054,0.0082,0.0882,0.3775,0.1478,21.43,0.5,NPU,23,0.1438,0.0267,0.147,0.4753,0.2307,21.33,0.2,NPU,0,0.0583,0.0115,0.1034,0.4347,0.0722,19.34,0.1,GPU,1,0.066,0.0028,0.0802,0.176,0.0989,30.94,33.7,GPU,20,0.0684,0.0083,0.0518,0.175,0.1088,48.62,80.5,GPU,5,0.3561,0.0135,0.183,0.4726,0.2803,51.57,88.0,GPU,7,0.1392,0.0,0.1172,0.2403,0.2023,49.47,85.6
A,C_diverse,8,L1_light,SizeAware_NPU6,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1404,0.0583,0.009123,0.1823,0.0722,25.61,136.3,6,17.7,NPU,15,0.108,0.0093,0.1117,0.3853,0.1654,19.53,0.5,NPU,19,0.1051,0.0085,0.0885,0.375,0.1478,22.73,1.8,NPU,23,0.1413,0.0259,0.143,0.4727,0.2307,22.81,2.9,NPU,0,0.0583,0.0115,0.1029,0.4346,0.0722,19.56,0.6,NPU,1,0.0634,0.0014,0.0651,0.2252,0.0889,18.93,0.2,NPU,20,0.1041,0.0076,0.0694,0.3139,0.1515,23.43,3.0,GPU,5,0.3771,0.0145,0.1958,0.5082,0.3562,39.43,65.8,GPU,7,0.1661,0.0005,0.1408,0.2947,0.2461,38.45,61.5
A,C_diverse,8,L1_light,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1524,0.0583,0.013352,0.1957,0.0722,20.04,4.5,8,16.6,NPU,15,0.1084,0.0092,0.1121,0.386,0.1654,18.11,0.1,NPU,19,0.1047,0.0082,0.0869,0.3753,0.1478,21.21,1.4,NPU,23,0.1433,0.0267,0.1457,0.4756,0.2307,21.22,0.4,NPU,0,0.0583,0.0115,0.1034,0.4343,0.0722,18.22,0.3,NPU,1,0.0634,0.0014,0.0651,0.225,0.0889,17.9,0.1,NPU,20,0.1045,0.0076,0.0694,0.3155,0.1515,21.59,0.7,NPU,5,0.4375,0.0098,0.1727,0.6218,0.4626,21.15,0.7,NPU,7,0.199,0.0,0.1467,0.4002,0.2467,20.9,0.7
A,C_diverse,8,L1_light,SizeBlindRev_NPU4,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.135,0.0528,0.015055,0.1842,0.0723,30.65,232.6,6,24.3,GPU,15,0.079,0.011,0.0767,0.2428,0.1567,31.78,32.9,GPU,19,0.0693,0.0096,0.0583,0.189,0.1178,50.35,84.8,GPU,23,0.0719,0.0151,0.0786,0.2452,0.1773,48.91,79.9,GPU,0,0.0528,0.0155,0.11,0.3482,0.0723,31.43,33.1,NPU,1,0.0634,0.0014,0.0651,0.2252,0.0889,18.74,0.1,NPU,20,0.1046,0.0076,0.0693,0.3164,0.1515,21.44,0.7,NPU,5,0.4381,0.0098,0.1729,0.6223,0.4626,21.6,0.7,NPU,7,0.2009,0.0,0.1473,0.4066,0.2467,20.93,0.5
A,C_diverse,8,L1_light,MiniOracle,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU""]",0.153,0.0583,0.013253,0.1976,0.0722,22.47,30.8,8,22.8,NPU,15,0.1081,0.0092,0.112,0.3857,0.1654,19.44,0.3,NPU,19,0.1049,0.008,0.0879,0.3752,0.1478,24.59,2.5,NPU,23,0.1425,0.027,0.1456,0.4728,0.2307,22.18,1.1,NPU,0,0.0583,0.0114,0.1032,0.4342,0.0722,19.66,0.8,GPU,1,0.0685,0.0032,0.0822,0.1924,0.1042,26.11,20.5,NPU,20,0.1039,0.0073,0.0685,0.3136,0.1515,22.7,2.5,NPU,5,0.4372,0.0098,0.1726,0.6214,0.4626,23.0,1.5,NPU,7,0.2009,0.0,0.1472,0.4071,0.2467,22.08,1.6
A,C_diverse,8,L1_light,MiniOracle,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU""]",0.1471,0.0583,0.01052,0.1888,0.0722,22.43,51.7,8,17.1,NPU,15,0.1079,0.0092,0.1112,0.3794,0.1654,18.84,0.3,NPU,19,0.1046,0.0082,0.0876,0.376,0.1478,22.83,1.4,NPU,23,0.1435,0.0267,0.1468,0.4716,0.2307,22.02,0.9,NPU,0,0.0583,0.0115,0.1034,0.4348,0.0722,18.87,0.2,NPU,1,0.0634,0.0014,0.0651,0.2251,0.0889,18.43,0.1,NPU,20,0.1044,0.0077,0.0697,0.3143,0.1515,22.53,2.5,GPU,5,0.3947,0.0148,0.2034,0.5355,0.4071,33.94,45.1,NPU,7,0.1997,0.0,0.1471,0.4027,0.2467,21.95,1.1
A,C_diverse,8,L1_light,MiniOracle,"[""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU""]",0.1372,0.0583,0.013882,0.1871,0.0722,28.8,204.1,6,23.8,GPU,15,0.0795,0.0117,0.0795,0.2428,0.1588,30.99,33.6,GPU,19,0.0716,0.0091,0.0641,0.2019,0.1247,47.37,81.5,NPU,23,0.142,0.0263,0.1447,0.4703,0.2307,21.87,2.0,NPU,0,0.0583,0.0115,0.1032,0.4346,0.0722,19.5,0.3,NPU,1,0.063,0.0014,0.0651,0.2246,0.0889,18.92,0.5,NPU,20,0.104,0.0076,0.069,0.3108,0.1515,22.45,1.8,NPU,5,0.4382,0.0098,0.1729,0.6225,0.4626,22.03,0.7,GPU,7,0.1411,0.0005,0.1201,0.2378,0.2072,47.28,83.7
A,C_diverse,8,L1_light,MiniOracle,"[""GPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU"", ""GPU""]",0.1266,0.0516,0.006862,0.1604,0.071,33.56,254.6,6,25.7,GPU,15,0.0769,0.0103,0.0723,0.2391,0.1534,34.05,32.2,NPU,19,0.1055,0.0082,0.0882,0.3777,0.1478,20.71,0.0,NPU,23,0.1438,0.0267,0.1471,0.4753,0.2307,20.51,0.2,GPU,0,0.0516,0.0153,0.1059,0.3424,0.071,34.15,31.8,GPU,1,0.0644,0.0028,0.0785,0.1701,0.0956,33.64,31.7,NPU,20,0.1047,0.0076,0.0698,0.3161,0.1515,20.47,0.0,GPU,5,0.3306,0.0117,0.1775,0.4423,0.2407,54.55,82.3,GPU,7,0.1356,0.0,0.1172,0.2252,0.1923,50.44,76.4
A,C_diverse,8,L1_light,MiniOracle,"[""NPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1417,0.0555,0.014353,0.1902,0.0748,27.55,174.7,6,23.7,NPU,15,0.1082,0.0092,0.1117,0.3851,0.1654,19.13,0.2,GPU,19,0.0772,0.0095,0.0668,0.221,0.1331,43.26,71.2,GPU,23,0.0867,0.0175,0.0895,0.2935,0.1984,43.28,68.9,GPU,0,0.0555,0.0161,0.1137,0.364,0.0748,29.53,30.7,NPU,1,0.0631,0.0014,0.0646,0.2249,0.0889,18.94,0.6,NPU,20,0.1045,0.0076,0.0699,0.3154,0.1515,22.19,0.9,NPU,5,0.4385,0.0097,0.1726,0.6211,0.4626,22.66,1.2,NPU,7,0.2,0.0,0.147,0.4011,0.2467,21.45,0.9
A,C_diverse,8,L1_light,MiniOracle,"[""NPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU"", ""NPU"", ""GPU"", ""GPU""]",0.1125,0.0583,0.007148,0.1378,0.0722,43.16,417.4,4,24.1,NPU,15,0.1084,0.0092,0.112,0.3863,0.1654,18.72,0.1,GPU,19,0.062,0.0087,0.0507,0.1754,0.0954,63.02,96.3,GPU,23,0.0615,0.0148,0.0689,0.205,0.1407,61.84,93.2,NPU,0,0.0583,0.0115,0.1034,0.4344,0.0722,19.15,0.1,GPU,1,0.0638,0.0029,0.079,0.1678,0.0952,33.88,31.8,NPU,20,0.1045,0.0076,0.0695,0.316,0.1515,20.98,1.1,GPU,5,0.3285,0.0111,0.1691,0.437,0.2279,64.72,98.5,GPU,7,0.1131,0.0005,0.0941,0.1905,0.1541,62.98,96.3
