detector,params_M,Q_small,Q_medium,Q_large,L_small,L_medium,L_large
yolov8n,3.2,-0.002170833333333333,-0.03925833333333333,-0.11515416666666667,0.0,8.333333333332993e-06,2.0833333333333353e-05
yolov8s,11.2,-0.007575000000000001,-0.05845,-0.11279583333333333,-4.166666666666659e-06,3.3333333333332556e-05,2.9166666666669238e-05
yolov8m,25.9,-0.013229166666666667,-0.08861249999999998,-0.16236666666666666,8.333333333333283e-06,8.749999999999962e-05,0.0002375000000000016
yolov8l,43.7,-0.016408333333333334,-0.09173333333333333,-0.1986416666666667,1.6666666666666566e-05,0.0001125000000000038,0.0003791666666666596
yolov8x,68.2,-0.020358333333333336,-0.12109166666666667,-0.2374875,4.1666666666666415e-06,0.0001249999999999978,0.0005666666666666644
yolo11s,9.4,-0.0072125,-0.036000000000000004,0.0009166666666666617,-0.0005041666666666667,0.0012833333333333375,-0.002837500000000003
