resnet_k,gpu_skip,strategy,worst_sap,worst_std,npu_skip,reps
0,1.1,All-GPU,0.0764,0.0,0.0,3
0,0.0,All-NPU,0.0604,0.0,0.2,3
1,14.1,All-GPU,0.072,0.0011,0.0,3
1,0.0,All-NPU,0.0604,0.0,0.2,3
2,34.3,All-GPU,0.0613,0.0012,0.0,3
2,0.0,All-NPU,0.0604,0.0,0.2,3
4,46.9,All-GPU,0.0556,0.0024,0.0,3
4,0.0,All-NPU,0.0604,0.0,0.2,3
8,62.3,All-GPU,0.0492,0.0021,0.0,3
8,0.0,All-NPU,0.0604,0.0,0.2,3
