detector,params_M,phase,rep_idx,sid,device,infer_mode,mxq_path,mxq_sha8,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11s,9.4,a1,0,14,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L0,0.3547,0.5129,0.0136,0.1891,0.5747,0.398,0.013,0.1895,0.632,35.8847,35.855,54.4021,28.3793
yolo11s,9.4,a1,0,15,GPU,,,,L0,0.1172,0.2263,0.0196,0.1353,0.3795,0.1787,0.0246,0.2084,0.6261,8.2049,8.2206,0.0,7.3222
yolo11s,9.4,a1,0,15,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L0,0.0753,0.1696,0.0075,0.0768,0.2398,0.145,0.0102,0.1636,0.5502,35.2103,35.2719,52.2427,27.8117
yolo11s,9.4,a1,0,16,GPU,,,,L0,0.246,0.3781,0.0077,0.643,0.492,0.2698,0.0086,0.6372,0.6,8.4871,8.5085,0.0,3.9979
yolo11s,9.4,a1,0,16,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L0,0.3158,0.4791,0.0049,0.418,0.5575,0.3433,0.0042,0.4515,0.6992,35.8645,36.0447,53.1579,14.7873
yolo11s,9.4,a1,0,17,GPU,,,,L0,0.2481,0.3782,0.0213,0.2504,0.6281,0.277,0.0216,0.2789,0.7011,8.3496,8.3695,0.0,3.9831
yolo11s,9.4,a1,0,17,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L0,0.1703,0.3009,0.0093,0.1482,0.5071,0.2068,0.0101,0.1876,0.593,35.7885,36.0807,54.1026,15.1631
yolo11s,9.4,a1,0,18,GPU,,,,L0,0.2034,0.2543,0.0179,0.0974,0.7561,0.2208,0.0201,0.1206,0.8401,8.0334,8.0512,0.0,7.268
yolo11s,9.4,a1,0,18,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L0,0.1652,0.2221,0.0062,0.069,0.6309,0.1802,0.0073,0.1033,0.7198,34.4778,34.3977,49.2976,27.9828
yolo11s,9.4,a1,0,19,GPU,,,,L0,0.1208,0.2035,0.0127,0.1223,0.3753,0.1831,0.0182,0.2346,0.6045,8.288,8.3154,0.0,3.8825
yolo11s,9.4,a1,0,19,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L0,0.0807,0.1451,0.0079,0.0643,0.255,0.1303,0.0085,0.1401,0.5001,35.6691,35.4531,55.6136,14.6514
yolo11s,9.4,a1,0,20,GPU,,,,L0,0.1058,0.1787,0.0083,0.0795,0.3138,0.1607,0.0091,0.1798,0.5289,8.2649,8.2604,0.0,3.8815
yolo11s,9.4,a1,0,20,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L0,0.0794,0.1401,0.0085,0.0543,0.2081,0.1311,0.0062,0.1317,0.3926,37.5772,37.4828,58.1081,15.002
yolo11s,9.4,a1,0,21,GPU,,,,L0,0.1149,0.2931,0.01,0.0469,0.2617,0.2865,0.0117,0.2904,0.5051,8.3973,8.4023,0.0,3.9481
yolo11s,9.4,a1,0,21,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L0,0.055,0.1228,0.0004,0.007,0.1605,0.1899,0.0017,0.2008,0.358,36.4511,36.353,55.7333,14.7321
yolo11s,9.4,a1,0,22,GPU,,,,L0,0.211,0.3635,0.0014,0.193,0.647,0.2189,0.0023,0.1946,0.682,8.7982,8.8133,0.0,4.1946
yolo11s,9.4,a1,0,22,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L0,0.1772,0.3345,0.0011,0.1713,0.5542,0.1709,0.0023,0.154,0.5576,36.8111,36.7019,59.0078,15.1665
yolo11s,9.4,a1,0,23,GPU,,,,L0,0.1555,0.3045,0.0344,0.1692,0.4839,0.2616,0.0491,0.3623,0.6662,8.3335,8.3604,0.0,3.9785
yolo11s,9.4,a1,0,23,NPU,global8,models/mobilint_backup/yolo11s.mxq,b2441f9d,L0,0.095,0.2044,0.0197,0.0943,0.3214,0.2012,0.0318,0.2765,0.5438,36.765,36.7955,57.6316,15.0953
yolo11m,20.1,a1,0,0,GPU,,,,L0,0.0833,0.1525,0.0241,0.1545,0.5102,0.1091,0.0297,0.1955,0.643,10.1087,10.1069,0.0,9.1204
yolo11m,20.1,a1,0,0,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.0412,0.0943,0.0056,0.0965,0.2991,0.0699,0.019,0.13,0.418,49.2158,49.4649,89.4097,29.9899
yolo11m,20.1,a1,0,1,GPU,,,,L0,0.1087,0.208,0.0123,0.1242,0.3485,0.1585,0.0128,0.1757,0.5864,9.9804,9.9956,0.0,9.0199
yolo11m,20.1,a1,0,1,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.0393,0.0871,0.0062,0.0521,0.0991,0.0728,0.0053,0.0699,0.2831,51.123,51.2697,93.7163,30.1094
yolo11m,20.1,a1,0,2,GPU,,,,L0,0.1409,0.2265,0.0336,0.2159,0.5985,0.1775,0.0369,0.3171,0.8463,10.3878,10.407,0.0,4.888
yolo11m,20.1,a1,0,2,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.087,0.1384,0.0157,0.1008,0.3734,0.1023,0.0192,0.1777,0.5457,52.9005,53.113,93.1818,15.6222
yolo11m,20.1,a1,0,3,GPU,,,,L0,0.2089,0.4514,0.01,0.3674,0.379,0.4123,0.0143,0.4903,0.5805,10.3998,10.4199,0.0,4.9569
yolo11m,20.1,a1,0,3,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.1052,0.2399,0.002,0.1946,0.1724,0.2405,0.0018,0.245,0.4008,52.0884,52.8386,92.5926,15.8585
yolo11m,20.1,a1,0,4,GPU,,,,L0,0.2544,0.3209,0.0003,0.159,0.6164,0.2544,0.0003,0.1589,0.617,10.4136,10.4276,0.0,6.9969
yolo11m,20.1,a1,0,4,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.2592,0.3376,0.0,0.1601,0.6284,0.1667,0.0,0.1034,0.4043,51.858,51.836,95.2736,22.4035
yolo11m,20.1,a1,0,5,GPU,,,,L0,0.4462,0.534,0.0323,0.2411,0.594,0.4747,0.0342,0.2524,0.6428,10.4716,10.501,0.0,4.6483
yolo11m,20.1,a1,0,5,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.3779,0.5325,0.0164,0.1849,0.5172,0.31,0.0151,0.1508,0.4412,50.3613,50.4159,92.0152,14.7789
yolo11m,20.1,a1,0,6,GPU,,,,L0,0.1232,0.2239,0.0234,0.1065,0.4083,0.1911,0.0295,0.1861,0.6718,10.107,10.1117,0.0,4.7495
yolo11m,20.1,a1,0,6,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.058,0.1367,0.0102,0.0533,0.1743,0.112,0.0155,0.1074,0.3945,52.4742,52.0965,93.7037,15.636
yolo11m,20.1,a1,0,7,GPU,,,,L0,0.2995,0.4658,0.001,0.2902,0.486,0.3822,0.0025,0.351,0.6642,9.9688,9.9892,0.0,4.6825
yolo11m,20.1,a1,0,7,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.1532,0.3276,0.0,0.1408,0.2497,0.2042,0.0,0.1754,0.3849,51.793,51.8079,92.6199,15.6017
yolo11m,20.1,a1,0,8,GPU,,,,L0,0.1438,0.2793,0.0333,0.217,0.4651,0.1762,0.0402,0.2692,0.6326,10.6137,10.6074,0.0,9.4541
yolo11m,20.1,a1,0,8,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.07,0.1875,0.0163,0.0852,0.2388,0.0954,0.0222,0.133,0.381,50.9331,50.8335,92.5859,29.6501
yolo11m,20.1,a1,0,9,GPU,,,,L0,0.1293,0.1921,0.0091,0.1416,0.2649,0.1635,0.0113,0.2106,0.3909,10.4763,10.4646,0.0,6.8858
yolo11m,20.1,a1,0,9,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11m.mxq,0c95402b,L0,0.1081,0.1817,0.0016,0.0795,0.2069,0.1266,0.0035,0.1471,0.2786,51.6487,51.6046,93.6548,21.8904
yolo11m,20.1,a1,0,10,GPU,,,,L0,0.2051,0.3603,0.0528,0.1954,0.3954,0.2946,0.0672,0.3341,0.5734,10.0867,10.1105,0.0,4.7187
