detector,params_M,phase,sid,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolov8n,3.2,ladder,7,GPU,L2_lm,0.1527,0.2831,0.0005,0.1101,0.2903,0.1927,0.0015,0.1335,0.3891,26.9895,27.0988,14.1553,12.6965
yolov8n,3.2,ladder,7,GPU,L3_vlm,0.0209,0.0645,0.0,0.016,0.0393,0.0232,0.0,0.0154,0.0493,369.6489,347.5826,100.0,15.9904
yolov8n,3.2,ladder,8,GPU,L1_light,0.0664,0.1182,0.0049,0.087,0.3439,0.0801,0.0074,0.1035,0.4442,17.2177,17.2305,0.0,15.3519
yolov8n,3.2,ladder,8,GPU,L1_heavy,0.0662,0.1182,0.0049,0.087,0.3436,0.0801,0.0074,0.1035,0.4442,18.9183,18.8921,0.4651,16.8333
yolov8n,3.2,ladder,8,GPU,L2_lm,0.0572,0.1093,0.0048,0.0728,0.2889,0.0795,0.0074,0.1022,0.4418,29.5895,29.658,24.2673,26.2101
yolov8n,3.2,ladder,8,GPU,L3_vlm,0.0021,0.0123,0.0025,0.0022,0.0071,0.0092,0.002,0.0124,0.0372,361.2902,372.5531,100.0,29.807
yolov8n,3.2,ladder,9,GPU,L1_light,0.0929,0.147,0.0022,0.0953,0.2097,0.116,0.0027,0.1469,0.3254,17.144,17.1342,0.0,11.2695
yolov8n,3.2,ladder,9,GPU,L1_heavy,0.0929,0.147,0.0022,0.0953,0.2097,0.116,0.0027,0.1469,0.3254,18.6805,18.6945,0.1595,12.2955
yolov8n,3.2,ladder,9,GPU,L2_lm,0.0845,0.1378,0.0022,0.0732,0.1941,0.116,0.0027,0.1467,0.3252,28.2867,28.2314,18.2109,18.5333
yolov8n,3.2,ladder,9,GPU,L3_vlm,0.0047,0.0187,0.0012,0.0046,0.0082,0.0135,0.0015,0.0138,0.0297,344.8995,372.971,100.0,22.0074
yolov8n,3.2,ladder,10,GPU,L1_light,0.0977,0.1799,0.0059,0.0943,0.2392,0.1285,0.0072,0.156,0.3441,17.9279,17.9038,0.0,8.3525
yolov8n,3.2,ladder,10,GPU,L1_heavy,0.0979,0.18,0.0059,0.0943,0.2398,0.1285,0.0072,0.156,0.3441,18.8386,18.7806,0.9174,8.7612
yolov8n,3.2,ladder,10,GPU,L2_lm,0.0924,0.1732,0.0058,0.0861,0.2202,0.1285,0.0072,0.156,0.3441,28.1431,28.1618,17.7011,13.105
yolov8n,3.2,ladder,10,GPU,L3_vlm,0.0051,0.0239,0.0003,0.0036,0.0107,0.0131,0.0026,0.0153,0.0292,344.9346,401.2261,100.0,15.6492
yolov8n,3.2,ladder,11,GPU,L1_light,0.2046,0.2831,0.0028,0.1058,0.5249,0.2142,0.0028,0.1309,0.6327,17.9886,17.9974,0.0,16.2331
yolov8n,3.2,ladder,11,GPU,L1_heavy,0.2046,0.2831,0.0028,0.1057,0.5234,0.2142,0.0028,0.1309,0.6327,19.0108,19.0141,0.1148,17.1502
yolov8n,3.2,ladder,11,GPU,L2_lm,0.1983,0.2766,0.0021,0.0902,0.4815,0.2142,0.0028,0.1309,0.6327,28.9241,28.9266,20.4363,26.0896
yolov8n,3.2,ladder,11,GPU,L3_vlm,0.1248,0.2075,0.0014,0.0308,0.2305,0.0226,0.0013,0.0159,0.0487,406.6903,398.6496,100.0,30.3
yolov8n,3.2,ladder,12,GPU,L1_light,0.3538,0.4848,0.025,0.244,0.8272,0.3593,0.0251,0.2449,0.8502,17.6655,17.6328,0.0,8.2787
yolov8n,3.2,ladder,12,GPU,L1_heavy,0.3536,0.4848,0.025,0.244,0.8272,0.3593,0.0251,0.2449,0.8502,18.9559,19.1111,0.4556,8.9736
yolov8n,3.2,ladder,12,GPU,L2_lm,0.3514,0.4848,0.0244,0.2434,0.822,0.358,0.025,0.2438,0.8422,29.4614,29.5118,23.6239,13.7701
yolov8n,3.2,ladder,12,GPU,L3_vlm,0.2162,0.4309,0.0204,0.1561,0.4586,0.0394,0.003,0.0282,0.0807,397.2837,377.321,100.0,15.8489
yolov8n,3.2,ladder,13,GPU,L1_light,0.1037,0.1866,0.0033,0.0592,0.2357,0.12,0.0033,0.075,0.2845,17.3808,17.362,0.1156,15.5574
