size,gpu_mean,npu_mean,gap,rel_gap_pct,gpu_std,npu_std,reps,npu_skip,npu_infer_ms
small,0.0051,0.0032,-0.0019,-36.3,0.0,0.0,3,0.0,8.8
medium,0.0988,0.076,-0.0228,-23.1,0.0,0.0,3,0.0,8.8
large,0.3961,0.364,-0.032,-8.1,0.0,0.0,3,0.0,8.8
