detector,params_M,phase,sid,device,infer_mode,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11x,56.9,baseline,17,NPU,global8,L0,0.208,0.3643,0.0234,0.2085,0.561,0.2197,0.0241,0.2219,0.5671,47.8208,47.9636,87.6667,15.8357
yolo11x,56.9,baseline,18,GPU,,L0,0.2307,0.2979,0.0321,0.1256,0.7862,0.263,0.038,0.2046,0.8803,14.0856,14.0992,0.0,12.7175
yolo11x,56.9,baseline,18,NPU,global8,L0,0.1858,0.2534,0.0113,0.075,0.6511,0.1766,0.0164,0.1298,0.6291,46.2851,46.4479,84.6656,29.8818
yolo11x,56.9,baseline,19,GPU,,L0,0.1477,0.2647,0.0346,0.1784,0.3933,0.2537,0.0601,0.3776,0.6745,14.3388,14.3547,0.0,6.6966
yolo11x,56.9,baseline,19,NPU,global8,L0,0.0786,0.1697,0.0183,0.0738,0.2125,0.1375,0.0268,0.1804,0.4119,49.851,49.0183,89.8246,15.4485
yolo11x,56.9,baseline,20,GPU,,L0,0.1292,0.2201,0.0175,0.1175,0.3627,0.2053,0.02,0.2651,0.6307,14.2644,14.2691,0.0,6.6996
yolo11x,56.9,baseline,20,NPU,global8,L0,0.0799,0.1557,0.0169,0.0754,0.1796,0.1331,0.0131,0.1674,0.3867,48.5167,48.8763,87.8893,15.599
yolo11x,56.9,baseline,21,GPU,,L0,0.1483,0.3512,0.0241,0.0815,0.2964,0.3641,0.0285,0.4136,0.5544,14.456,14.4706,0.0,6.7942
yolo11x,56.9,baseline,21,NPU,global8,L0,0.0751,0.1739,0.0019,0.0333,0.1924,0.1995,0.0044,0.2269,0.3809,47.0794,47.4556,84.6154,15.6208
yolo11x,56.9,baseline,22,GPU,,L0,0.3633,0.5237,0.0364,0.33,0.7555,0.371,0.0361,0.3319,0.7907,14.6817,14.6916,0.0,6.986
yolo11x,56.9,baseline,22,NPU,global8,L0,0.2764,0.4626,0.0267,0.237,0.631,0.2216,0.0192,0.1698,0.543,47.9372,47.7843,85.7143,15.8242
yolo11x,56.9,baseline,23,GPU,,L0,0.2088,0.4027,0.0809,0.2263,0.5179,0.3742,0.1231,0.5266,0.7151,14.3577,14.3684,0.0,6.8324
yolo11x,56.9,baseline,23,NPU,global8,L0,0.0935,0.2122,0.0366,0.1027,0.2576,0.2175,0.0625,0.3051,0.4672,49.5782,49.2138,90.0344,15.8055
