detector,params_M,phase,sid,device,infer_mode,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11l,25.3,baseline,17,NPU,global8,L0,0.213,0.3683,0.0226,0.2242,0.5093,0.2439,0.0238,0.2535,0.5869,39.4663,38.9327,66.3912,15.3094
yolo11l,25.3,baseline,18,GPU,,L0,0.219,0.2773,0.0272,0.1182,0.7716,0.2451,0.0313,0.1698,0.8638,11.8507,11.8668,0.0,10.7058
yolo11l,25.3,baseline,18,NPU,global8,L0,0.1824,0.2496,0.0127,0.0758,0.6558,0.1846,0.0158,0.1197,0.686,41.2281,41.2564,69.4444,29.4732
yolo11l,25.3,baseline,19,GPU,,L0,0.1324,0.2404,0.0266,0.1617,0.3704,0.2242,0.0405,0.3441,0.6289,12.3618,12.3845,0.0,5.7783
yolo11l,25.3,baseline,19,NPU,global8,L0,0.0784,0.1648,0.0185,0.0748,0.2259,0.1514,0.0258,0.1981,0.5066,38.745,38.6444,61.9444,15.0799
yolo11l,25.3,baseline,20,GPU,,L0,0.1229,0.2103,0.0117,0.1062,0.3769,0.193,0.0135,0.2376,0.6615,12.0005,12.0021,0.0,5.6361
yolo11l,25.3,baseline,20,NPU,global8,L0,0.0839,0.1562,0.0138,0.0738,0.2159,0.1476,0.0135,0.1747,0.4562,40.0643,40.1601,65.9091,15.3497
yolo11l,25.3,baseline,21,GPU,,L0,0.1371,0.3262,0.0185,0.0769,0.2847,0.3442,0.0215,0.3905,0.5561,12.2187,12.2221,0.0,5.7395
yolo11l,25.3,baseline,21,NPU,global8,L0,0.0616,0.139,0.0051,0.028,0.1758,0.199,0.0065,0.2358,0.2954,41.6249,41.6124,71.1765,15.4046
yolo11l,25.3,baseline,22,GPU,,L0,0.3076,0.4729,0.0144,0.295,0.6797,0.3214,0.0148,0.2978,0.7287,12.4644,12.4746,0.0,5.9329
yolo11l,25.3,baseline,22,NPU,global8,L0,0.2315,0.4026,0.0135,0.2184,0.5943,0.2046,0.0105,0.1753,0.5488,42.6603,42.7573,76.8546,15.7003
yolo11l,25.3,baseline,23,GPU,,L0,0.1959,0.3829,0.0602,0.2201,0.5199,0.3575,0.1004,0.5089,0.7222,12.1083,12.1228,0.0,5.7656
yolo11l,25.3,baseline,23,NPU,global8,L0,0.1039,0.2342,0.0348,0.1127,0.3155,0.2535,0.0619,0.3584,0.5819,40.0965,39.9842,68.8022,15.5626
