detector,params_M,phase,sid,device,infer_mode,mxq_path,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11x,56.9,baseline,14,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,L0,0.3538,0.6126,0.0862,0.2733,0.5636,0.2771,0.0472,0.1646,0.4179,70.235,71.0118,100.0,30.0508
yolo11x,56.9,baseline,15,GPU,,,L0,0.1537,0.2801,0.0359,0.179,0.4015,0.2498,0.0573,0.2973,0.7147,13.6118,13.6247,0.0,12.1276
yolo11x,56.9,baseline,15,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,L0,0.0483,0.1284,0.0077,0.0467,0.1226,0.1031,0.0162,0.1234,0.3243,70.9009,70.7361,100.0,29.7227
yolo11x,56.9,baseline,16,GPU,,,L0,0.299,0.4356,0.0275,0.6609,0.5364,0.3377,0.0302,0.704,0.6605,13.8865,13.904,0.0,6.5293
yolo11x,56.9,baseline,16,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,L0,0.2541,0.4855,0.0171,0.5226,0.3694,0.1929,0.0114,0.3173,0.3661,72.8319,73.2704,100.0,15.6865
yolo11x,56.9,baseline,17,GPU,,,L0,0.3196,0.4714,0.0394,0.349,0.7416,0.3572,0.0434,0.3879,0.827,13.9371,13.9374,0.0,6.6287
yolo11x,56.9,baseline,17,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,L0,0.1723,0.3199,0.0199,0.1704,0.4871,0.1457,0.017,0.1473,0.3809,72.2737,72.7287,100.0,15.8614
yolo11x,56.9,baseline,18,GPU,,,L0,0.2307,0.2979,0.0321,0.1256,0.7862,0.263,0.038,0.2046,0.8803,13.4997,13.5181,0.0,12.1961
yolo11x,56.9,baseline,18,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,L0,0.1679,0.2424,0.0078,0.0571,0.5814,0.1194,0.0116,0.0882,0.4261,69.1485,69.1399,100.0,30.0891
yolo11x,56.9,baseline,19,GPU,,,L0,0.1477,0.2647,0.0346,0.1784,0.3933,0.2537,0.0601,0.3776,0.6745,13.7004,13.7136,0.0,6.3988
yolo11x,56.9,baseline,19,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,L0,0.0565,0.1452,0.0116,0.05,0.1439,0.0941,0.0177,0.118,0.2939,72.7959,73.7213,100.0,15.5618
yolo11x,56.9,baseline,20,GPU,,,L0,0.1292,0.2201,0.0175,0.1175,0.3627,0.2053,0.02,0.2651,0.6307,13.7219,13.7126,0.0,6.4394
yolo11x,56.9,baseline,20,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,L0,0.0637,0.1352,0.0154,0.0623,0.1387,0.092,0.0099,0.1102,0.2704,70.1818,71.1426,100.0,15.658
yolo11x,56.9,baseline,21,GPU,,,L0,0.1483,0.3512,0.0241,0.0815,0.2964,0.3641,0.0285,0.4136,0.5544,13.7405,13.7522,0.0,6.4579
yolo11x,56.9,baseline,21,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,L0,0.0622,0.1495,0.0008,0.0278,0.1618,0.1382,0.0031,0.1594,0.2534,70.7946,71.4078,100.0,15.645
yolo11x,56.9,baseline,22,GPU,,,L0,0.3633,0.5237,0.0364,0.33,0.7555,0.371,0.0361,0.3319,0.7907,14.1358,14.1491,0.0,6.7292
yolo11x,56.9,baseline,22,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,L0,0.2617,0.4563,0.0259,0.233,0.5795,0.1543,0.0134,0.1171,0.3784,69.7332,70.3093,100.0,15.8966
yolo11x,56.9,baseline,23,GPU,,,L0,0.2088,0.4027,0.0809,0.2263,0.5179,0.3742,0.1231,0.5266,0.7151,13.7702,13.7857,0.0,6.5566
yolo11x,56.9,baseline,23,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,L0,0.069,0.1661,0.0268,0.0829,0.1839,0.1534,0.0427,0.218,0.3242,71.9273,72.4493,100.0,15.873
