detector,params_M,binary,mode,Q_s,Q_m,Q_l,L_s,L_m,L_l,GPU_baseline_s,GPU_baseline_m,GPU_baseline_l,rel_Q_s,rel_Q_m,rel_Q_l,rel_L_s,rel_L_m,rel_L_l
yolo11s,9.4,legacy b2441f9d,global8 (single-stream); single (multistream),-0.008941666666666667,-0.0648,-0.10003750000000002,0.0016916666666666668,0.025770833333333337,0.07214583333333334,0.015866666666666668,0.18390416666666667,0.4768208333333333,-0.5635504201680672,-0.3523574325395926,-0.20980102589197555,0.10661764705882354,0.14013186215646736,0.15130595873712177
yolo11m,20.1,single 0c95402b7fab,single,-0.014325,-0.0808625,-0.16922083333333335,0.0051333333333333335,0.04875833333333333,0.11618333333333332,0.0282,0.215225,0.5191708333333332,-0.5079787234042553,-0.3757114647461959,-0.32594441457131174,0.18203309692671396,0.22654586285670034,0.2237863259524402
yolo11l,25.3,single 471971b30869,single,-0.0159375,-0.09615,-0.188325,0.007504166666666666,0.0610625,0.14272083333333332,0.03398333333333334,0.23501249999999999,0.5358166666666667,-0.4689798921039725,-0.4091271740864848,-0.35147282963700266,0.22081902893575278,0.2598266049678209,0.26636131761485576
yolo11x,56.9,single 11ccf20f1843,single,-0.023616666666666664,-0.1201875,-0.2247041666666667,0.01065,0.06877916666666667,0.15556666666666666,0.042041666666666665,0.2568458333333334,0.5515625000000001,-0.5617443012884044,-0.46793634313709576,-0.40739565627950897,0.2533201189296333,0.2677838521811073,0.2820472143531633
