detector,params_M,phase,sid,device,infer_mode,mxq_path,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11s,9.4,ladder,7,GPU,,,L1_heavy,0.2213,0.3799,0.0005,0.1772,0.4129,0.2845,0.0035,0.2164,0.5623,22.1279,22.0527,2.5114,10.3316
yolo11s,9.4,ladder,7,GPU,,,L2_lm,0.1788,0.334,0.0005,0.1485,0.3158,0.2832,0.0035,0.2151,0.5603,32.0905,32.1144,40.2299,14.9692
yolo11s,9.4,ladder,7,GPU,,,L3_vlm,0.0187,0.054,0.0,0.0127,0.0339,0.0247,0.0035,0.0184,0.0442,380.7617,438.5592,100.0,15.7894
yolo11s,9.4,ladder,8,GPU,,,L1_light,0.1025,0.1793,0.0096,0.1526,0.4325,0.1269,0.0121,0.1874,0.5863,19.8416,19.846,1.2791,17.6823
yolo11s,9.4,ladder,8,GPU,,,L1_heavy,0.1009,0.1777,0.0088,0.1514,0.4285,0.1269,0.0121,0.1874,0.5863,22.4649,22.383,3.0233,19.9419
yolo11s,9.4,ladder,8,GPU,,,L2_lm,0.0785,0.16,0.0077,0.1109,0.3184,0.1236,0.0119,0.1822,0.5692,33.1224,33.1657,45.4545,28.7584
yolo11s,9.4,ladder,8,GPU,,,L3_vlm,0.0021,0.009,0.0032,0.0022,0.0085,0.0133,0.0021,0.0174,0.0542,434.1712,444.894,97.2973,29.8102
yolo11s,9.4,ladder,9,GPU,,,L1_light,0.1127,0.1733,0.0044,0.1258,0.2356,0.1443,0.0063,0.1889,0.3525,18.9814,18.9713,1.1164,12.478
yolo11s,9.4,ladder,9,GPU,,,L1_heavy,0.1124,0.1731,0.0043,0.1273,0.2333,0.1443,0.0063,0.1889,0.3525,21.8487,21.8556,2.7113,14.3759
yolo11s,9.4,ladder,9,GPU,,,L2_lm,0.0927,0.1539,0.0043,0.0927,0.1842,0.1414,0.0062,0.1854,0.3481,31.9177,31.8803,36.7742,20.7593
yolo11s,9.4,ladder,9,GPU,,,L3_vlm,0.0055,0.0188,0.0006,0.0038,0.0096,0.013,0.0014,0.0153,0.0254,460.0726,450.4139,100.0,22.072
yolo11s,9.4,ladder,10,GPU,,,L1_light,0.1536,0.2742,0.023,0.142,0.3339,0.2113,0.028,0.2429,0.4881,18.7292,18.7268,0.2294,8.7367
yolo11s,9.4,ladder,10,GPU,,,L1_heavy,0.1506,0.2697,0.0225,0.1377,0.3289,0.2113,0.028,0.2429,0.4881,22.655,22.5015,5.0459,10.4976
yolo11s,9.4,ladder,10,GPU,,,L2_lm,0.1242,0.2468,0.0183,0.1033,0.267,0.2094,0.0279,0.2398,0.4854,31.7306,32.2157,39.8126,14.7551
yolo11s,9.4,ladder,10,GPU,,,L3_vlm,0.0055,0.0285,0.0008,0.0028,0.0112,0.0204,0.0035,0.023,0.037,436.5767,482.387,100.0,15.92
yolo11s,9.4,ladder,11,GPU,,,L1_light,0.288,0.3988,0.006,0.1849,0.6158,0.3017,0.0065,0.2226,0.7415,18.9176,18.9394,0.5741,17.085
yolo11s,9.4,ladder,11,GPU,,,L1_heavy,0.2877,0.3986,0.006,0.1839,0.6111,0.3017,0.0065,0.2226,0.7415,22.0489,22.0002,2.7555,19.8432
yolo11s,9.4,ladder,11,GPU,,,L2_lm,0.2724,0.3842,0.0043,0.1475,0.5189,0.2943,0.0065,0.2199,0.7292,33.0397,32.9994,41.2043,28.9868
yolo11s,9.4,ladder,11,GPU,,,L3_vlm,0.1766,0.2903,0.0011,0.0614,0.2921,0.0304,0.0022,0.0235,0.0714,408.2569,407.6991,100.0,30.5801
yolo11s,9.4,ladder,12,GPU,,,L1_light,0.482,0.6272,0.0678,0.4774,0.8865,0.4935,0.0686,0.4349,0.9175,19.8574,19.8565,0.6834,9.3238
yolo11s,9.4,ladder,12,GPU,,,L1_heavy,0.4807,0.6271,0.0671,0.4771,0.883,0.4928,0.0685,0.4338,0.9136,23.7115,24.0685,4.8165,11.2295
yolo11s,9.4,ladder,12,GPU,,,L2_lm,0.4721,0.6263,0.0653,0.4708,0.8549,0.4742,0.0643,0.421,0.8768,33.8585,33.8269,47.7435,15.2844
yolo11s,9.4,ladder,12,GPU,,,L3_vlm,0.313,0.5481,0.0573,0.279,0.4787,0.0497,0.0084,0.0423,0.0915,426.7226,379.9856,91.6667,15.961
yolo11s,9.4,ladder,13,GPU,,,L1_light,0.1979,0.2917,0.0096,0.1095,0.4092,0.2415,0.0097,0.155,0.5245,20.2001,20.1812,1.8497,18.0871
yolo11s,9.4,ladder,13,GPU,,,L1_heavy,0.195,0.2911,0.0094,0.1072,0.3998,0.2415,0.0097,0.155,0.5245,22.9296,22.9095,5.896,20.5317
yolo11s,9.4,ladder,13,GPU,,,L2_lm,0.1603,0.2746,0.0084,0.0811,0.3394,0.2305,0.0093,0.1494,0.5021,33.8105,33.971,47.9419,29.1472
yolo11s,9.4,ladder,13,GPU,,,L3_vlm,0.009,0.0227,0.0016,0.0075,0.0199,0.0276,0.0015,0.015,0.0549,451.8726,422.3703,100.0,30.4134
yolo11s,9.4,ladder,14,GPU,,,L1_light,0.4497,0.5737,0.0569,0.2148,0.6726,0.4963,0.0591,0.23,0.7463,20.7688,20.7524,1.1481,18.7226
yolo11s,9.4,ladder,14,GPU,,,L1_heavy,0.4451,0.5737,0.0572,0.2152,0.6663,0.4963,0.0591,0.23,0.7463,22.5122,22.4754,5.5109,20.2768
yolo11s,9.4,ladder,14,GPU,,,L2_lm,0.3999,0.5722,0.0561,0.2059,0.6045,0.482,0.0552,0.2235,0.7219,32.8448,32.844,42.1801,28.7687
yolo11s,9.4,ladder,14,GPU,,,L3_vlm,0.0894,0.1588,0.0376,0.0968,0.2268,0.0436,0.007,0.0204,0.0661,427.3998,438.467,100.0,30.2569
yolo11s,9.4,ladder,15,GPU,,,L1_light,0.1172,0.2263,0.0195,0.1353,0.3794,0.1787,0.0246,0.2084,0.6261,20.2512,20.3576,0.1164,18.1246
yolo11s,9.4,ladder,15,GPU,,,L1_heavy,0.1158,0.2233,0.0193,0.1324,0.3738,0.1787,0.0246,0.2084,0.6261,22.8039,22.778,3.8417,20.2757
yolo11s,9.4,ladder,15,GPU,,,L2_lm,0.0829,0.1997,0.0152,0.0948,0.2404,0.1737,0.0234,0.2032,0.6069,33.3636,33.3313,44.5115,28.6988
yolo11s,9.4,ladder,15,GPU,,,L3_vlm,0.0033,0.0149,0.002,0.0054,0.0044,0.0202,0.0034,0.0212,0.0651,386.4952,404.2249,100.0,29.9155
yolo11s,9.4,ladder,16,GPU,,,L1_light,0.2455,0.3779,0.0077,0.6422,0.4905,0.2698,0.0086,0.6372,0.6,20.1892,20.1704,0.6834,9.4731
yolo11s,9.4,ladder,16,GPU,,,L1_heavy,0.2445,0.373,0.0077,0.6443,0.4898,0.2698,0.0086,0.6372,0.6,21.5542,21.7461,1.8223,10.2099
yolo11s,9.4,ladder,16,GPU,,,L2_lm,0.2224,0.365,0.0079,0.6163,0.4225,0.2694,0.0086,0.636,0.5969,31.3518,31.2706,35.8447,14.6715
yolo11s,9.4,ladder,16,GPU,,,L3_vlm,0.0236,0.1017,0.0035,0.0513,0.0428,0.0275,0.002,0.0515,0.0569,410.0339,434.6908,100.0,16.0849
yolo11s,9.4,ladder,17,GPU,,,L1_light,0.2479,0.3782,0.0213,0.2502,0.6276,0.277,0.0216,0.2789,0.7011,18.5283,18.4797,0.4494,8.7888
yolo11s,9.4,ladder,17,GPU,,,L1_heavy,0.2474,0.3779,0.0214,0.2501,0.6262,0.277,0.0216,0.2789,0.7011,21.1684,21.0264,1.573,9.9992
yolo11s,9.4,ladder,17,GPU,,,L2_lm,0.2207,0.3713,0.0192,0.2229,0.5618,0.2728,0.0212,0.2755,0.6916,31.9632,31.8856,39.9543,14.9476
