detector,params_M,phase,sid,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolov8x,68.2,baseline,18,GPU,L0,0.2246,0.2902,0.0299,0.1252,0.7798,0.2609,0.0353,0.2306,0.8721,12.7717,12.7958,0.0,11.5435
yolov8x,68.2,baseline,18,NPU,L0,0.1649,0.2421,0.0076,0.0504,0.5651,0.1121,0.0115,0.1013,0.3863,77.5544,77.6826,100.0,30.074
yolov8x,68.2,baseline,19,GPU,L0,0.1537,0.2732,0.0286,0.1735,0.4095,0.2526,0.0478,0.3633,0.6899,12.9945,13.0063,0.0,6.0684
yolov8x,68.2,baseline,19,NPU,L0,0.0578,0.1398,0.0125,0.0476,0.1425,0.0877,0.0123,0.1165,0.2546,81.1612,81.4095,100.0,15.5546
yolov8x,68.2,baseline,20,GPU,L0,0.1381,0.2384,0.0197,0.1138,0.4192,0.2166,0.0217,0.2638,0.7148,12.9346,12.9256,0.0,6.0695
yolov8x,68.2,baseline,20,NPU,L0,0.0631,0.1376,0.0144,0.059,0.1482,0.0884,0.0082,0.1027,0.3177,74.8139,75.3003,100.0,15.6683
yolov8x,68.2,baseline,21,GPU,L0,0.1524,0.3735,0.0288,0.0818,0.295,0.3593,0.0309,0.3905,0.5682,13.0413,13.0536,0.0,6.1295
yolov8x,68.2,baseline,21,NPU,L0,0.0521,0.1245,0.002,0.0253,0.1411,0.1413,0.0046,0.1628,0.2397,78.4566,78.6921,100.0,15.6653
yolov8x,68.2,baseline,22,GPU,L0,0.3531,0.518,0.0261,0.316,0.7425,0.3606,0.0264,0.3188,0.7761,13.376,13.3915,0.0,6.3687
yolov8x,68.2,baseline,22,NPU,L0,0.2515,0.4307,0.0133,0.2523,0.5468,0.1378,0.0065,0.1147,0.3252,77.2932,77.3794,100.0,15.8685
yolov8x,68.2,baseline,23,GPU,L0,0.2045,0.4005,0.0697,0.2249,0.5213,0.3708,0.1162,0.5184,0.7202,13.0827,13.1224,0.0,6.2409
yolov8x,68.2,baseline,23,NPU,L0,0.0694,0.1615,0.0215,0.0729,0.2109,0.1494,0.0409,0.2101,0.3227,76.5046,77.1044,100.0,15.8893
