table,tag,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,mean_map,worst_map,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
natural,B_medium_mixed_N8,8,L1_heavy,Oracle_k1_p6,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU""]",0.1439,0.0558,0.165,0.066,29.7,GPU,17,0.1507,0.0155,0.1565,0.3806,0.1269,93.3,GPU,8,0.0558,0.0055,0.0773,0.2231,0.0831,75.4,GPU,10,0.0757,0.0089,0.043,0.1692,0.1029,90.1,GPU,11,0.2483,0.0022,0.0992,0.4305,0.1823,74.3,GPU,2,0.0716,0.0093,0.0708,0.3323,0.066,93.2,GPU,13,0.1039,0.0082,0.0642,0.2765,0.1293,72.3,NPU,3,0.1213,0.0005,0.1816,0.3264,0.2899,0.4,GPU,14,0.3235,0.0539,0.1975,0.5117,0.34,71.3
natural,B_medium_mixed_N8,8,L1_heavy,Oracle_k1_p3,"[""GPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1305,0.0555,0.1507,0.058,28.9,GPU,17,0.1443,0.0141,0.1477,0.374,0.1138,98.1,GPU,8,0.0555,0.0058,0.0838,0.2166,0.0844,60.3,GPU,10,0.0608,0.0079,0.0346,0.1342,0.0835,100.0,NPU,11,0.2808,0.0048,0.1643,0.6064,0.2927,0.3,GPU,2,0.0678,0.0089,0.0588,0.3205,0.058,96.5,GPU,13,0.0976,0.0075,0.067,0.2805,0.1317,55.4,GPU,3,0.057,0.0013,0.1072,0.0945,0.1219,97.3,GPU,14,0.2803,0.0565,0.1927,0.4504,0.3194,54.0
natural,B_medium_mixed_N8,8,L1_heavy,Oracle_k1_p1,"[""GPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1297,0.0583,0.1386,0.0602,29.4,GPU,17,0.1431,0.0134,0.1444,0.3765,0.1134,97.5,NPU,8,0.0718,0.0072,0.0817,0.3956,0.0883,0.8,GPU,10,0.0693,0.0096,0.04,0.1521,0.0912,99.4,GPU,11,0.2466,0.0024,0.0996,0.4256,0.1842,64.6,GPU,2,0.07,0.0093,0.0665,0.327,0.0602,98.0,GPU,13,0.0924,0.0072,0.0647,0.2731,0.1228,62.8,GPU,3,0.0583,0.0012,0.1216,0.0812,0.1329,95.7,GPU,14,0.286,0.056,0.1954,0.4526,0.3156,60.2
natural,B_medium_mixed_N8,8,L1_heavy,Oracle_k2_p0_6,"[""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU""]",0.1463,0.0544,0.1763,0.0628,29.8,NPU,17,0.2069,0.0104,0.1871,0.6026,0.233,2.0,GPU,8,0.0544,0.0057,0.0807,0.215,0.0827,74.5,GPU,10,0.0732,0.007,0.0379,0.17,0.105,91.1,GPU,11,0.2437,0.0018,0.0933,0.4191,0.1805,75.1,GPU,2,0.0701,0.0095,0.0725,0.3191,0.0628,92.4,GPU,13,0.0947,0.0067,0.0622,0.271,0.1249,75.0,NPU,3,0.1204,0.0005,0.1811,0.3294,0.2899,1.3,GPU,14,0.3073,0.0539,0.1933,0.5046,0.3316,69.4
natural,B_medium_mixed_N8,8,L1_heavy,Oracle_k2_p0_2,"[""NPU"", ""GPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1482,0.0527,0.1654,0.0623,29.7,NPU,17,0.2065,0.0104,0.187,0.5986,0.233,2.2,GPU,8,0.0527,0.0055,0.0795,0.1908,0.0784,77.7,NPU,10,0.1428,0.018,0.1405,0.3107,0.2022,3.2,GPU,11,0.2458,0.0017,0.0972,0.4191,0.1788,73.4,GPU,2,0.0703,0.0096,0.0751,0.3261,0.0623,93.4,GPU,13,0.0997,0.0068,0.0635,0.2697,0.1274,72.6,GPU,3,0.0611,0.0026,0.1321,0.0826,0.1244,94.5,GPU,14,0.307,0.0565,0.1943,0.4844,0.3168,75.0
natural,B_medium_mixed_N8,8,L1_heavy,Oracle_k2_p3_5,"[""GPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU"", ""NPU"", ""GPU"", ""GPU""]",0.1353,0.0442,0.1516,0.0506,27.7,GPU,17,0.13,0.0131,0.1328,0.3373,0.0921,100.0,GPU,8,0.0584,0.0057,0.0923,0.2258,0.0853,44.3,GPU,10,0.0514,0.0074,0.0252,0.1141,0.0672,100.0,NPU,11,0.2801,0.0042,0.1632,0.6047,0.2927,1.7,GPU,2,0.0659,0.0084,0.0605,0.308,0.0506,100.0,NPU,13,0.1854,0.0038,0.0846,0.3946,0.2209,3.4,GPU,3,0.0442,0.0022,0.0843,0.0598,0.1008,100.0,GPU,14,0.2673,0.0541,0.1949,0.4361,0.303,42.2
natural,B_medium_mixed_N8,8,L1_heavy,Oracle_k3_p0_4_6,"[""NPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU"", ""NPU"", ""GPU""]",0.1597,0.0607,0.195,0.0886,29.6,NPU,17,0.2077,0.0104,0.1874,0.6045,0.233,0.2,GPU,8,0.0607,0.0062,0.0909,0.2342,0.0886,70.6,GPU,10,0.0815,0.0098,0.0499,0.1785,0.1209,83.0,GPU,11,0.2503,0.0026,0.1044,0.4367,0.2036,70.6,NPU,2,0.1098,0.0114,0.1439,0.5658,0.1329,0.5,GPU,13,0.1092,0.0072,0.0668,0.2668,0.1298,70.2,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,0.0,GPU,14,0.3372,0.0545,0.1988,0.5408,0.3612,70.5
natural,B_medium_mixed_N8,8,L1_heavy,Oracle_k3_p1_3_4,"[""GPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1423,0.0578,0.1657,0.0829,27.3,GPU,17,0.1471,0.0134,0.148,0.3715,0.1161,100.0,NPU,8,0.072,0.0073,0.0823,0.3945,0.0883,0.8,GPU,10,0.0612,0.0097,0.0316,0.1366,0.0829,99.4,NPU,11,0.28,0.0048,0.164,0.6065,0.2927,1.3,NPU,2,0.109,0.0113,0.1423,0.5658,0.1329,0.2,GPU,13,0.1188,0.0078,0.0763,0.3053,0.1474,41.9,GPU,3,0.0578,0.0015,0.1195,0.0783,0.1387,99.4,GPU,14,0.2922,0.0574,0.1976,0.47,0.3266,42.7
natural,B_medium_mixed_N8,8,L1_heavy,Oracle_k3_p3_6_7,"[""GPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1582,0.0612,0.1912,0.0614,27.0,GPU,17,0.1432,0.014,0.1467,0.3661,0.1137,97.5,GPU,8,0.0665,0.0054,0.1042,0.2716,0.0909,40.2,GPU,10,0.0612,0.01,0.0363,0.1315,0.0879,99.4,NPU,11,0.2812,0.0048,0.1643,0.6073,0.2927,1.1,GPU,2,0.0712,0.0088,0.0621,0.3358,0.0614,98.7,GPU,13,0.1105,0.0082,0.0776,0.2967,0.1423,39.8,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,0.0,NPU,14,0.4108,0.0136,0.1991,0.6548,0.4512,0.8
natural,B_medium_mixed_N8,8,L1_heavy,Oracle_k4_p1_2_5_6,"[""GPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU""]",0.164,0.0719,0.1917,0.0643,27.5,GPU,17,0.1554,0.0139,0.1582,0.3958,0.1271,98.3,NPU,8,0.0719,0.0072,0.0832,0.393,0.0883,1.2,NPU,10,0.1461,0.0178,0.1443,0.323,0.2022,0.0,GPU,11,0.2493,0.0022,0.1007,0.4306,0.1994,44.7,GPU,2,0.0729,0.0094,0.068,0.3418,0.0643,99.4,NPU,13,0.1871,0.0038,0.0853,0.3984,0.2209,1.3,NPU,3,0.1212,0.0005,0.1816,0.3389,0.2899,0.2,GPU,14,0.3081,0.0548,0.2003,0.4862,0.3412,40.6
