detector,params_M,phase,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_skip
yolov8l,43.7,multistream,4,L1_light,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1768,0.0986,15.9,NPU,2,0.0986,0.0237,0.1204,0.4181,100.0,NPU,22,0.229,0.0115,0.2037,0.6225,100.0,GPU,3,0.2183,0.006,0.356,0.3721,11.9,GPU,21,0.1612,0.0237,0.0765,0.3098,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yolov8l,43.7,multistream,4,L1_light,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1717,0.0881,15.9,GPU,2,0.141,0.039,0.2215,0.5561,13.0,GPU,22,0.31,0.0223,0.2898,0.6968,12.4,NPU,3,0.1475,0.0002,0.245,0.2669,100.0,NPU,21,0.0881,0.0022,0.0337,0.2137,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yolov8l,43.7,multistream,8,L1_light,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.2082,0.0939,29.9,NPU,2,0.0939,0.0216,0.113,0.3933,100.0,NPU,22,0.2235,0.0113,0.203,0.6037,100.0,NPU,13,0.214,0.0137,0.1563,0.3821,100.0,NPU,16,0.2856,0.0112,0.5646,0.4701,100.0,GPU,3,0.1272,0.0034,0.2397,0.1977,96.7,GPU,21,0.0964,0.0172,0.0288,0.2133,97.7,GPU,14,0.4046,0.1182,0.1939,0.4408,37.9,GPU,4,0.2207,0.0013,0.146,0.571,57.2
yolov8l,43.7,multistream,8,L1_light,SizeBlindRev_NPU4,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1991,0.0836,30.1,GPU,2,0.0959,0.0257,0.1232,0.378,96.2,GPU,22,0.2778,0.0219,0.281,0.5897,95.5,GPU,13,0.206,0.0239,0.152,0.4502,37.3,GPU,16,0.1732,0.0143,0.369,0.2887,96.1,NPU,3,0.1369,0.0,0.2334,0.231,100.0,NPU,21,0.0836,0.0021,0.0322,0.2032,100.0,NPU,14,0.3865,0.0759,0.1963,0.4437,100.0,NPU,4,0.2333,0.0002,0.1514,0.5914,100.0
