detector,params_M,phase,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_skip
yolov8m,25.9,multistream,4,L1_light,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1807,0.1221,13.7,NPU,2,0.1251,0.0201,0.1979,0.5715,3.4,NPU,22,0.2816,0.0133,0.2333,0.7045,4.0,GPU,3,0.194,0.0039,0.3434,0.3296,6.1,GPU,21,0.1221,0.0134,0.052,0.2679,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yolov8m,25.9,multistream,4,L1_light,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1844,0.0928,13.1,GPU,2,0.1385,0.0274,0.2348,0.5678,5.0,GPU,22,0.3302,0.0323,0.2997,0.7214,5.6,NPU,3,0.1761,0.0014,0.247,0.3738,0.4,NPU,21,0.0928,0.0012,0.0333,0.2374,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yolov8m,25.9,multistream,8,L1_light,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.2226,0.0687,25.6,NPU,2,0.114,0.0186,0.1729,0.4981,23.5,NPU,22,0.2742,0.0132,0.2318,0.6823,26.2,NPU,13,0.2291,0.0121,0.1397,0.4511,9.5,NPU,16,0.3136,0.0089,0.6368,0.5689,20.5,GPU,3,0.1199,0.0036,0.2557,0.1704,85.4,GPU,21,0.0687,0.0091,0.0184,0.1832,86.4,GPU,14,0.3965,0.0869,0.2008,0.4449,36.1,GPU,4,0.2651,0.0,0.1191,0.6453,54.3
yolov8m,25.9,multistream,8,L1_light,SizeBlindRev_NPU4,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2217,0.0762,25.8,GPU,2,0.0936,0.0177,0.1217,0.389,94.2,GPU,22,0.2983,0.0314,0.2924,0.6269,90.4,GPU,13,0.2019,0.0174,0.1409,0.4295,35.8,GPU,16,0.2433,0.0118,0.5849,0.3875,89.5,NPU,3,0.1534,0.0019,0.2335,0.3399,27.9,NPU,21,0.0762,0.0012,0.0189,0.2151,22.1,NPU,14,0.4374,0.067,0.1818,0.5152,13.0,NPU,4,0.2693,0.0,0.1302,0.6436,19.0
