table,tag,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,mean_map,worst_map,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
schedule-shift,N=8,8,L1_light,SizeAware_NPU6,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.2079,0.0836,0.2613,0.1329,23.9,NPU,2,0.1085,0.0112,0.1404,0.5566,0.1329,2.3,NPU,22,0.1908,0.001,0.1732,0.6128,0.1996,3.4,NPU,13,0.1863,0.0038,0.0855,0.3971,0.2209,1.2,NPU,16,0.3582,0.0051,0.4955,0.6806,0.3906,1.4,NPU,3,0.1206,0.0005,0.1811,0.3376,0.2899,1.6,NPU,21,0.0836,0.0014,0.0245,0.2125,0.2268,0.7,GPU,14,0.4009,0.0566,0.2115,0.6085,0.452,27.0,GPU,4,0.2143,0.0,0.1298,0.5332,0.178,38.3
schedule-shift,N=8,8,L1_light,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2082,0.0835,0.2647,0.1329,16.7,NPU,2,0.1089,0.0115,0.1418,0.5652,0.1329,0.7,NPU,22,0.1911,0.001,0.1733,0.6134,0.1996,0.9,NPU,13,0.1866,0.0038,0.0858,0.3986,0.2209,1.0,NPU,16,0.3591,0.0051,0.4957,0.6831,0.3906,0.2,NPU,3,0.1204,0.0005,0.1797,0.339,0.2899,0.4,NPU,21,0.0835,0.0014,0.0244,0.2127,0.2268,0.2,NPU,14,0.411,0.0136,0.199,0.6552,0.4512,0.8,NPU,4,0.2047,0.0,0.0815,0.5459,0.2059,0.3
schedule-shift,N=8,8,L1_heavy,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.149,0.0582,0.1559,0.0766,28.1,GPU,2,0.0777,0.0094,0.0776,0.358,0.0766,94.1,GPU,22,0.1774,0.0008,0.1841,0.5338,0.1081,91.5,GPU,13,0.1218,0.0082,0.0743,0.3083,0.1497,49.1,GPU,16,0.1597,0.0066,0.4976,0.2369,0.1259,94.4,GPU,3,0.0692,0.0019,0.1377,0.0996,0.1647,93.8,GPU,21,0.0582,0.0063,0.0105,0.1558,0.1464,93.9,GPU,14,0.3149,0.0567,0.2022,0.5058,0.3497,50.1,GPU,4,0.2131,0.0,0.1311,0.5308,0.126,73.0
schedule-shift,N=8,8,L1_heavy,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1906,0.0599,0.2186,0.1329,25.7,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,0.0,NPU,13,0.1874,0.0038,0.0859,0.3991,0.2209,0.1,NPU,16,0.3591,0.0051,0.4956,0.6831,0.3906,0.0,GPU,3,0.0697,0.0019,0.1533,0.1007,0.1566,90.6,GPU,21,0.0599,0.0067,0.0096,0.1633,0.1399,90.7,GPU,14,0.3352,0.054,0.2044,0.5326,0.3714,34.8,GPU,4,0.2132,0.0,0.1297,0.5329,0.1366,57.4
schedule-shift,N=8,8,L1_heavy,SizeAware_NPU6,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.2038,0.0832,0.2553,0.1329,25.7,NPU,2,0.1087,0.011,0.1409,0.5656,0.1329,1.6,NPU,22,0.1904,0.001,0.1731,0.6126,0.1996,2.5,NPU,13,0.1861,0.0038,0.086,0.3975,0.2209,0.7,NPU,16,0.359,0.0051,0.4951,0.6823,0.3906,0.7,NPU,3,0.1203,0.0005,0.181,0.338,0.2899,1.8,NPU,21,0.0832,0.0014,0.0243,0.2118,0.2268,0.9,GPU,14,0.3688,0.0578,0.2059,0.5675,0.4219,34.5,GPU,4,0.2137,0.0,0.1323,0.5331,0.1601,51.3
schedule-shift,N=8,8,L1_heavy,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2062,0.0811,0.2647,0.1329,17.6,NPU,2,0.1069,0.0113,0.1375,0.5592,0.1329,6.2,NPU,22,0.1892,0.0009,0.1732,0.6064,0.1996,9.4,NPU,13,0.1862,0.0038,0.0856,0.3985,0.2209,1.6,NPU,16,0.3568,0.0051,0.4953,0.6761,0.3906,3.2,NPU,3,0.1186,0.0005,0.1765,0.3369,0.2899,4.9,NPU,21,0.0811,0.0013,0.022,0.2095,0.2268,4.3,NPU,14,0.4068,0.012,0.199,0.6501,0.4512,2.2,NPU,4,0.204,0.0,0.0816,0.5439,0.2059,2.8
schedule-shift,N=8,8,L2_lm,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1177,0.0458,0.1098,0.0451,29.9,GPU,2,0.0597,0.0075,0.0547,0.2787,0.0451,96.4,GPU,22,0.1484,0.0009,0.1762,0.4514,0.0672,93.6,GPU,13,0.0697,0.0072,0.0576,0.227,0.1054,74.8,GPU,16,0.1011,0.0061,0.2831,0.1476,0.0809,85.8,GPU,3,0.0552,0.0005,0.0927,0.1046,0.122,87.7,GPU,21,0.0458,0.0057,0.0079,0.1253,0.1027,91.4,GPU,14,0.2475,0.0504,0.1875,0.4213,0.2633,69.3,GPU,4,0.214,0.0,0.13,0.5326,0.0916,82.1
schedule-shift,N=8,8,L2_lm,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1495,0.0394,0.1461,0.0699,30.0,NPU,2,0.0815,0.0087,0.0798,0.3885,0.1041,74.3,NPU,22,0.1718,0.0008,0.1696,0.5356,0.1437,77.1,NPU,13,0.1301,0.0033,0.0398,0.258,0.1541,78.8,NPU,16,0.2977,0.0042,0.4413,0.5041,0.3052,71.7,GPU,3,0.0409,0.0011,0.0748,0.0705,0.0948,100.0,GPU,21,0.0394,0.0048,0.0056,0.1054,0.0699,97.7,GPU,14,0.2217,0.0492,0.1872,0.3718,0.2223,82.5,GPU,4,0.2126,0.0,0.1326,0.5311,0.0745,91.9
schedule-shift,N=8,8,L2_lm,SizeAware_NPU6,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1558,0.0503,0.1706,0.0889,29.9,NPU,2,0.0796,0.0084,0.0774,0.3872,0.0979,75.4,NPU,22,0.1746,0.0009,0.1701,0.5396,0.1401,81.6,NPU,13,0.1106,0.0034,0.0373,0.2316,0.1343,79.8,NPU,16,0.2956,0.0043,0.4525,0.4988,0.2859,76.8,NPU,3,0.0641,0.0003,0.1243,0.1452,0.2033,73.3,NPU,21,0.0503,0.0004,0.0058,0.1473,0.165,73.3,GPU,14,0.258,0.0536,0.1895,0.4348,0.2496,81.4,GPU,4,0.214,0.0,0.1302,0.5328,0.0889,93.1
schedule-shift,N=8,8,L2_lm,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1664,0.0533,0.2094,0.1076,29.8,NPU,2,0.0832,0.009,0.0792,0.4256,0.1076,73.7,NPU,22,0.1754,0.0008,0.1705,0.5468,0.1599,71.5,NPU,13,0.1368,0.0032,0.0573,0.2422,0.1742,42.3,NPU,16,0.3049,0.0052,0.4212,0.5172,0.3181,71.6,NPU,3,0.075,0.0002,0.1461,0.1706,0.2411,67.9,NPU,21,0.0533,0.0004,0.0049,0.159,0.1886,58.0,NPU,14,0.2996,0.0117,0.1713,0.5124,0.306,72.6,NPU,4,0.2026,0.0,0.084,0.5398,0.1797,43.5
schedule-shift,N=8,8,L3_vlm,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0716,0.0167,0.0331,0.0192,30.2,GPU,2,0.0263,0.0032,0.0277,0.1252,0.0192,95.2,GPU,22,0.1276,0.0005,0.1588,0.3407,0.0288,100.0,GPU,13,0.0167,0.0027,0.0126,0.0864,0.024,100.0,GPU,16,0.0451,0.0028,0.2279,0.0669,0.036,100.0,GPU,3,0.0201,0.0,0.04,0.0242,0.0444,100.0,GPU,21,0.0207,0.0026,0.0026,0.0558,0.031,100.0,GPU,14,0.1036,0.0355,0.1119,0.2495,0.0558,100.0,GPU,4,0.2124,0.0,0.1331,0.525,0.0259,100.0
schedule-shift,N=8,8,L3_vlm,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.151,0.02,0.1383,0.0245,30.2,NPU,2,0.1089,0.0113,0.1422,0.5655,0.1329,0.7,NPU,22,0.1911,0.001,0.1733,0.6137,0.1996,0.4,NPU,13,0.1871,0.0038,0.0853,0.3986,0.2209,2.1,NPU,16,0.3591,0.0051,0.4956,0.6831,0.3906,0.0,GPU,3,0.02,0.001,0.0468,0.0221,0.0486,100.0,GPU,21,0.02,0.0031,0.0032,0.0538,0.0375,100.0,GPU,14,0.1063,0.0386,0.105,0.2526,0.0521,100.0,GPU,4,0.2157,0.0,0.1303,0.5381,0.0245,100.0
schedule-shift,N=8,8,L3_vlm,SizeAware_NPU6,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1696,0.0833,0.1907,0.02,30.0,NPU,2,0.1088,0.0113,0.1412,0.5658,0.1329,0.9,NPU,22,0.1909,0.001,0.1732,0.6136,0.1996,0.9,NPU,13,0.1848,0.0038,0.0851,0.3944,0.2207,2.5,NPU,16,0.3588,0.0051,0.4957,0.6811,0.3906,0.9,NPU,3,0.1207,0.0005,0.1803,0.3381,0.2899,0.7,NPU,21,0.0833,0.0014,0.0245,0.2123,0.2268,0.2,GPU,14,0.096,0.0351,0.106,0.2244,0.0452,97.8,GPU,4,0.2136,0.0,0.1314,0.5353,0.02,100.0
schedule-shift,N=8,8,L3_vlm,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2083,0.0836,0.2644,0.1329,17.0,NPU,2,0.1087,0.0112,0.1404,0.5624,0.1329,2.3,NPU,22,0.1916,0.001,0.1732,0.6146,0.1996,1.3,NPU,13,0.1875,0.0038,0.0855,0.4002,0.22,1.2,NPU,16,0.3591,0.0051,0.4957,0.6825,0.3906,0.2,NPU,3,0.1203,0.0005,0.181,0.3374,0.2899,0.9,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,NPU,14,0.4107,0.0137,0.1989,0.6543,0.4492,1.0,NPU,4,0.2045,0.0,0.0816,0.5441,0.2059,0.5
