size,gpu_mean,npu_mean,diff,table1_target,within_tol
sap_small,0.0159,0.0069,-0.0089,-0.007,True
sap_medium,0.1839,0.1191,-0.0648,-0.036,False
sap_large,0.4768,0.3768,-0.1,0.001,False
