part,composition,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,sap_var,mean_map,worst_map,mean_latency,frame_skip_total,n_active_streams,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_lat,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_lat,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_lat,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_lat,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_lat,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_lat,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_lat,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_lat,s7_skip
I,C_diverse,8,L1_heavy,Oracle,"[""NPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""NPU""]",0.1172,0.0578,0.008568,0.139,0.0722,42.01,390.4,4,16.4,NPU,15,0.1084,0.0092,0.1119,0.3863,0.1654,17.87,0.1,GPU,19,0.0613,0.0087,0.0485,0.1607,0.0923,66.27,98.5,GPU,23,0.0582,0.0146,0.0653,0.19,0.1326,66.37,96.1,NPU,0,0.0584,0.0115,0.1034,0.4349,0.0722,18.15,0.1,NPU,1,0.0634,0.0014,0.0651,0.2251,0.0889,17.65,0.1,GPU,20,0.0578,0.0089,0.049,0.1352,0.0819,65.11,98.1,GPU,5,0.3291,0.0119,0.1687,0.4328,0.2324,65.99,97.4,NPU,7,0.2013,0.0,0.1478,0.4071,0.2467,18.69,0.0
I,C_diverse,8,L1_heavy,Oracle,"[""NPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU"", ""NPU"", ""GPU"", ""NPU""]",0.123,0.0583,0.007947,0.1483,0.0722,37.6,316.4,5,24.8,NPU,15,0.1085,0.0092,0.1121,0.3863,0.1654,17.52,0.0,GPU,19,0.0599,0.009,0.048,0.1616,0.0918,66.06,96.0,GPU,23,0.0616,0.0137,0.0702,0.2062,0.1409,61.54,92.8,NPU,0,0.0583,0.0115,0.1034,0.4348,0.0722,18.19,0.2,GPU,1,0.0635,0.0027,0.0773,0.1659,0.0947,34.83,32.8,NPU,20,0.1046,0.0076,0.0694,0.3159,0.1515,19.41,0.2,GPU,5,0.3265,0.0115,0.1697,0.4319,0.2236,64.37,94.4,NPU,7,0.2013,0.0,0.1478,0.4071,0.2467,18.92,0.0
I,C_diverse,8,L1_heavy,Oracle,"[""GPU"", ""GPU"", ""NPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU""]",0.1392,0.0462,0.01526,0.1889,0.0699,31.43,243.3,4,28.9,GPU,15,0.0665,0.0101,0.0618,0.2043,0.1471,40.13,55.9,GPU,19,0.0648,0.0089,0.052,0.1782,0.1104,53.82,80.6,NPU,23,0.1433,0.0266,0.1462,0.4752,0.2307,20.09,0.2,GPU,0,0.0462,0.0114,0.0984,0.3202,0.0699,38.98,54.8,GPU,1,0.0487,0.0028,0.062,0.1317,0.0925,39.36,51.5,NPU,20,0.1047,0.0076,0.0698,0.3161,0.1515,20.18,0.0,NPU,5,0.4381,0.0098,0.1729,0.6223,0.4626,19.77,0.2,NPU,7,0.2013,0.0,0.1478,0.4071,0.2467,19.11,0.0
I,C_diverse,8,L1_heavy,Oracle,"[""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU""]",0.1354,0.0484,0.014139,0.1791,0.0697,33.54,266.7,6,27.0,NPU,15,0.1085,0.0092,0.1121,0.3863,0.1654,17.72,0.0,NPU,19,0.1055,0.0082,0.0882,0.3777,0.1478,19.47,0.0,NPU,23,0.1435,0.0266,0.147,0.4757,0.2307,19.09,0.2,GPU,0,0.0484,0.0139,0.1017,0.3208,0.0697,37.53,42.1,GPU,1,0.0562,0.0026,0.0701,0.1442,0.0952,37.32,42.2,GPU,20,0.0591,0.0087,0.0505,0.1406,0.0901,59.57,91.9,NPU,5,0.4381,0.0098,0.1728,0.6224,0.4626,19.79,0.0,GPU,7,0.1237,0.0,0.1066,0.2012,0.171,57.81,90.2
I,C_diverse,8,L1_heavy,Oracle,"[""NPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1106,0.0584,0.006733,0.1336,0.0722,42.7,389.6,4,16.4,NPU,15,0.1085,0.0092,0.1121,0.3863,0.1654,18.02,0.0,GPU,19,0.0593,0.0082,0.0488,0.1608,0.0937,66.5,99.0,GPU,23,0.0593,0.0133,0.0656,0.1988,0.1346,65.4,93.2,NPU,0,0.0584,0.0115,0.1034,0.4349,0.0722,18.16,0.0,NPU,1,0.0634,0.0014,0.0651,0.2252,0.0889,17.65,0.0,NPU,20,0.1047,0.0076,0.0698,0.3161,0.1515,19.83,0.0,GPU,5,0.3194,0.0103,0.1648,0.4257,0.2144,69.21,98.9,GPU,7,0.1118,0.0,0.0934,0.1873,0.1482,66.86,98.5
I,C_diverse,8,L1_heavy,Oracle,"[""GPU"", ""NPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU""]",0.1315,0.0497,0.015538,0.1751,0.0699,33.27,263.4,6,26.9,GPU,15,0.0702,0.0101,0.0663,0.2075,0.1448,37.6,42.1,NPU,19,0.1055,0.0082,0.0882,0.3777,0.1478,19.12,0.0,GPU,23,0.0641,0.0135,0.0714,0.219,0.1497,58.58,89.3,GPU,0,0.0497,0.0141,0.1104,0.3236,0.0699,36.83,43.4,NPU,1,0.0634,0.0014,0.0651,0.2252,0.0889,17.19,0.0,GPU,20,0.0598,0.0083,0.0504,0.1428,0.0909,58.38,88.6,NPU,5,0.4381,0.0098,0.1728,0.6224,0.4626,19.74,0.0,NPU,7,0.2013,0.0,0.1478,0.4071,0.2467,18.69,0.0
I,C_diverse,8,L1_heavy,Oracle,"[""NPU"", ""NPU"", ""GPU"", ""NPU"", ""GPU"", ""NPU"", ""GPU"", ""NPU""]",0.1294,0.0583,0.007459,0.1583,0.0722,30.96,215.0,6,24.9,NPU,15,0.1081,0.0092,0.1114,0.3858,0.1654,18.17,0.2,NPU,19,0.1053,0.0082,0.0881,0.3765,0.1478,20.85,0.5,GPU,23,0.0664,0.0145,0.0758,0.2165,0.1582,55.24,86.5,NPU,0,0.0583,0.0115,0.1034,0.4347,0.0722,18.32,0.1,GPU,1,0.0632,0.0028,0.0785,0.1651,0.0957,34.06,34.7,NPU,20,0.1045,0.0072,0.0694,0.3154,0.1515,20.81,1.1,GPU,5,0.3281,0.0121,0.1732,0.4368,0.229,59.76,91.5,NPU,7,0.2013,0.0,0.1474,0.4073,0.2467,20.43,0.5
I,C_diverse,8,L1_heavy,Oracle,"[""NPU"", ""GPU"", ""NPU"", ""GPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU""]",0.1417,0.052,0.01487,0.1834,0.0704,30.41,213.8,6,25.0,NPU,15,0.1085,0.0092,0.1121,0.3863,0.1654,18.03,0.0,GPU,19,0.0638,0.009,0.0531,0.1715,0.1066,55.94,90.5,NPU,23,0.1438,0.0267,0.147,0.4757,0.2307,20.0,0.0,GPU,0,0.052,0.0154,0.1098,0.3395,0.0704,34.01,34.5,NPU,1,0.0634,0.0014,0.0651,0.2252,0.0889,17.59,0.0,GPU,20,0.063,0.0084,0.0525,0.1573,0.0961,57.31,88.7,NPU,5,0.4381,0.0098,0.1728,0.6224,0.4626,20.43,0.0,NPU,7,0.2013,0.0,0.1475,0.4071,0.2467,19.98,0.2
I,C_diverse,8,L1_heavy,Oracle,"[""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""NPU""]",0.1299,0.0583,0.007858,0.1583,0.0722,31.02,219.1,6,24.9,GPU,15,0.0745,0.0102,0.0701,0.2267,0.1491,34.64,34.8,NPU,19,0.1054,0.0082,0.0881,0.3777,0.1478,20.36,0.2,NPU,23,0.144,0.0267,0.1469,0.4752,0.2307,20.42,0.2,NPU,0,0.0583,0.0115,0.1034,0.4347,0.0722,18.71,0.1,NPU,1,0.0634,0.0014,0.0651,0.2252,0.0889,18.01,0.0,GPU,20,0.0627,0.0094,0.0517,0.1498,0.0957,56.72,91.2,GPU,5,0.3296,0.0127,0.1755,0.4412,0.2356,59.49,92.1,NPU,7,0.201,0.0,0.1477,0.4066,0.2467,19.78,0.5
I,C_diverse,8,L1_heavy,Oracle,"[""NPU"", ""NPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU""]",0.1293,0.0514,0.007927,0.1585,0.0706,30.55,216.5,6,24.8,NPU,15,0.1085,0.0092,0.1121,0.3863,0.1654,17.94,0.0,NPU,19,0.1053,0.0082,0.0882,0.3767,0.1478,20.41,0.5,GPU,23,0.0656,0.0142,0.0744,0.2181,0.1554,56.21,90.5,GPU,0,0.0514,0.0154,0.108,0.3392,0.0706,33.51,32.6,NPU,1,0.0634,0.0014,0.0651,0.2252,0.0889,17.72,0.0,NPU,20,0.1047,0.0076,0.0698,0.3161,0.1515,20.36,0.0,GPU,5,0.3347,0.0123,0.1761,0.4486,0.2417,58.3,92.7,NPU,7,0.2011,0.0,0.1478,0.4071,0.2467,19.95,0.2
I,C_diverse,8,L1_heavy,Oracle,"[""GPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1479,0.05,0.013943,0.1953,0.0734,24.33,85.6,8,26.8,GPU,15,0.0807,0.0113,0.076,0.2527,0.161,34.49,38.1,NPU,19,0.105,0.0082,0.088,0.3745,0.1478,21.73,2.1,NPU,23,0.1424,0.0263,0.1449,0.4735,0.2307,21.32,1.3,GPU,0,0.05,0.0115,0.1072,0.3396,0.0734,34.42,39.2,NPU,1,0.0634,0.0014,0.0651,0.2252,0.0889,17.87,0.2,NPU,20,0.1044,0.0078,0.0694,0.3151,0.1515,21.69,1.6,NPU,5,0.4375,0.0097,0.1728,0.6211,0.4626,21.9,1.7,NPU,7,0.1997,0.0,0.1472,0.4024,0.2467,21.25,1.4
I,C_diverse,8,L1_heavy,Oracle,"[""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1438,0.0583,0.014398,0.1902,0.0722,26.29,125.9,7,24.7,GPU,15,0.0768,0.0111,0.0745,0.2353,0.1547,33.21,35.6,GPU,19,0.068,0.0092,0.0585,0.1863,0.1146,50.97,83.7,NPU,23,0.1434,0.0267,0.1466,0.474,0.2307,21.16,0.9,NPU,0,0.0583,0.0115,0.1034,0.4344,0.0722,18.86,0.1,NPU,1,0.0634,0.0014,0.0651,0.2249,0.0889,18.26,0.1,NPU,20,0.1027,0.0076,0.0683,0.296,0.1515,25.25,4.3,NPU,5,0.4375,0.0098,0.1728,0.6221,0.4626,21.48,0.7,NPU,7,0.2004,0.0,0.1474,0.404,0.2467,21.15,0.5
I,C_diverse,8,L1_heavy,Oracle,"[""GPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU""]",0.149,0.0583,0.013837,0.1964,0.0722,24.37,83.6,8,26.6,GPU,15,0.081,0.011,0.0766,0.2633,0.1614,34.62,38.3,NPU,19,0.105,0.0082,0.088,0.3762,0.1478,21.58,1.4,NPU,23,0.1433,0.0272,0.146,0.4731,0.2307,21.26,1.1,NPU,0,0.0583,0.0115,0.1036,0.4339,0.0722,18.5,0.8,GPU,1,0.0618,0.0029,0.0772,0.1619,0.0981,33.88,37.6,NPU,20,0.1039,0.0072,0.0688,0.3122,0.1515,21.85,1.8,NPU,5,0.438,0.0098,0.1724,0.6225,0.4626,21.98,1.7,NPU,7,0.2011,0.0,0.1474,0.4065,0.2467,21.26,0.9
I,C_diverse,8,L1_heavy,Oracle,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU""]",0.1481,0.0583,0.013845,0.1918,0.0722,23.85,84.1,7,17.4,NPU,15,0.1072,0.0092,0.1111,0.3708,0.1654,19.09,0.8,NPU,19,0.1049,0.0084,0.0882,0.3742,0.1478,22.49,2.8,NPU,23,0.1432,0.0267,0.1464,0.4722,0.2307,21.93,1.8,NPU,0,0.0583,0.0115,0.1034,0.4345,0.0722,19.23,0.8,NPU,1,0.0634,0.0014,0.0651,0.225,0.0889,18.83,0.5,GPU,20,0.0716,0.0084,0.0541,0.1893,0.1201,44.36,73.2,NPU,5,0.437,0.0098,0.1713,0.6201,0.4626,22.93,2.7,NPU,7,0.1993,0.0,0.1463,0.3993,0.2467,21.9,1.6
I,C_diverse,8,L1_heavy,Oracle,"[""NPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1449,0.0583,0.013944,0.1919,0.0722,23.66,85.4,7,17.4,NPU,15,0.1085,0.0092,0.1121,0.3863,0.1654,18.96,0.2,NPU,19,0.1049,0.0082,0.0864,0.3768,0.1478,22.19,2.1,GPU,23,0.0834,0.0193,0.088,0.2783,0.2002,43.14,74.9,NPU,0,0.0583,0.0115,0.1033,0.4348,0.0722,19.17,0.3,NPU,1,0.0634,0.0014,0.0651,0.2254,0.0889,18.65,0.3,NPU,20,0.1042,0.0074,0.0697,0.3143,0.1515,22.79,3.0,NPU,5,0.4384,0.0098,0.1729,0.6223,0.4626,22.56,2.4,NPU,7,0.1985,0.0,0.146,0.3995,0.2467,21.85,2.1
I,C_diverse,8,L1_heavy,Oracle,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU""]",0.1516,0.0583,0.013295,0.1972,0.0722,22.97,48.5,8,24.6,NPU,15,0.1066,0.0092,0.1101,0.3755,0.1654,19.69,2.0,NPU,19,0.1046,0.0082,0.0862,0.3626,0.1478,22.85,3.4,NPU,23,0.1417,0.0259,0.1452,0.4714,0.2307,22.5,1.8,NPU,0,0.0583,0.0114,0.1036,0.4342,0.0722,19.14,0.8,GPU,1,0.0636,0.0034,0.0747,0.1783,0.1006,30.98,30.5,NPU,20,0.1024,0.0074,0.0683,0.3017,0.1515,23.16,4.8,NPU,5,0.4359,0.0098,0.1723,0.6187,0.4626,23.26,2.9,NPU,7,0.1996,0.0,0.147,0.4023,0.2467,22.17,2.3
I,C_diverse,8,L1_heavy,Oracle,"[""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1491,0.0583,0.013589,0.1956,0.0722,22.64,44.6,8,24.4,GPU,15,0.0861,0.013,0.0842,0.2849,0.1642,30.78,30.1,NPU,19,0.1046,0.0082,0.0861,0.366,0.1478,22.67,2.5,NPU,23,0.1412,0.0262,0.1443,0.4706,0.2307,22.09,2.2,NPU,0,0.0583,0.0115,0.103,0.4345,0.0722,19.19,0.6,NPU,1,0.0634,0.0014,0.0651,0.225,0.0889,18.64,0.7,NPU,20,0.1036,0.0072,0.0685,0.3127,0.1515,22.77,3.2,NPU,5,0.4365,0.0098,0.1726,0.6195,0.4626,23.11,2.9,NPU,7,0.1987,0.0,0.1463,0.3991,0.2467,21.85,2.3
