detector,params_M,phase,n_streams,bg_level,infer_mode,mxq_path,placement_name,placement_spec,mean_sap,worst_sap,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_skip
yolo11l,25.3,multistream,4,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1493,0.0901,15.9,NPU,2,0.1058,0.025,0.1347,0.4302,54.4,NPU,22,0.2338,0.0138,0.2201,0.6019,84.8,GPU,3,0.1676,0.0358,0.3117,0.2598,64.0,GPU,21,0.0901,0.0151,0.037,0.2217,64.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yolo11l,25.3,multistream,4,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1515,0.0653,15.8,GPU,2,0.111,0.0303,0.1438,0.4312,56.7,GPU,22,0.2912,0.0137,0.2917,0.6223,55.6,NPU,3,0.1385,0.0041,0.2582,0.2598,44.8,NPU,21,0.0653,0.0051,0.0298,0.1862,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yolo11l,25.3,multistream,8,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.2184,0.0544,28.8,NPU,2,0.1016,0.0238,0.1275,0.417,86.7,NPU,22,0.2336,0.0136,0.2194,0.5999,89.1,NPU,13,0.209,0.0156,0.1433,0.4181,44.3,NPU,16,0.3587,0.0157,0.6106,0.5781,84.0,GPU,3,0.0996,0.0226,0.1833,0.1027,99.4,GPU,21,0.0544,0.0082,0.0206,0.1458,100.0,GPU,14,0.4009,0.1232,0.3004,0.5772,40.7,GPU,4,0.2891,0.0,0.1474,0.6768,68.0
yolo11l,25.3,multistream,8,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,SizeBlindRev_NPU4,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2035,0.063,30.1,GPU,2,0.0845,0.0189,0.0936,0.3518,100.0,GPU,22,0.2583,0.0131,0.2821,0.5225,98.3,GPU,13,0.1599,0.0211,0.1325,0.3526,36.5,GPU,16,0.2259,0.0168,0.5155,0.313,99.4,NPU,3,0.1309,0.0041,0.2434,0.2513,84.5,NPU,21,0.063,0.0047,0.0287,0.18,87.0,NPU,14,0.426,0.1089,0.2144,0.5521,87.0,NPU,4,0.2791,0.0,0.153,0.6612,64.6
