table,tag,n_streams,bg_level,infer_mode,placement_name,placement_spec,mean_sap,worst_sap,mean_map,worst_map,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
capacity,N=5,5,L1_light,single,SizeBlindRev,"[""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.132,0.0823,0.2064,0.1223,21.9,GPU,2,0.0966,0.015,0.1243,0.4507,0.1223,42.0,GPU,22,0.2016,0.0014,0.1892,0.6169,0.1927,41.9,GPU,13,0.1594,0.0088,0.0983,0.3661,0.2003,20.2,NPU,3,0.12,0.0005,0.1808,0.3363,0.2899,3.6,NPU,21,0.0823,0.0014,0.0233,0.2102,0.2268,3.4,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=5,5,L1_light,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1383,0.0836,0.214,0.1329,16.0,NPU,2,0.1085,0.0113,0.1398,0.5632,0.1329,1.6,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,0.0,NPU,13,0.1865,0.0038,0.0845,0.3968,0.2209,2.8,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=6,6,L1_light,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1549,0.0658,0.2023,0.0998,23.9,GPU,2,0.0843,0.0119,0.0897,0.3813,0.0998,83.2,GPU,22,0.1887,0.0009,0.1898,0.5712,0.1377,84.7,GPU,13,0.1485,0.0085,0.0896,0.349,0.1848,32.1,GPU,3,0.0829,0.0021,0.1731,0.1133,0.2112,79.9,GPU,21,0.0658,0.0078,0.011,0.1771,0.1803,86.1,GPU,14,0.3588,0.0557,0.2073,0.5549,0.3998,32.8,,,,,,,,,,,,,,,,
capacity,N=6,6,L1_light,single,SizeAware,"[""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1752,0.0749,0.2505,0.1329,23.6,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,0.0,NPU,22,0.1911,0.001,0.1734,0.6136,0.1996,0.7,NPU,13,0.1874,0.0038,0.0861,0.3957,0.2209,0.3,GPU,3,0.096,0.0021,0.1913,0.1908,0.2628,66.0,GPU,21,0.0749,0.0085,0.0143,0.1982,0.2259,66.9,GPU,14,0.393,0.0563,0.2094,0.5996,0.4607,29.6,,,,,,,,,,,,,,,,
capacity,N=6,6,L1_light,single,SizeBlindRev,"[""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU""]",0.1748,0.0834,0.2435,0.1207,23.5,GPU,2,0.091,0.0135,0.105,0.4087,0.1207,65.7,GPU,22,0.1939,0.0014,0.1891,0.5913,0.1826,64.6,GPU,13,0.1486,0.0089,0.0953,0.3521,0.1896,29.7,NPU,3,0.1205,0.0005,0.1798,0.3377,0.2899,1.1,NPU,21,0.0834,0.0014,0.0245,0.2127,0.2268,0.2,NPU,14,0.4113,0.0136,0.1991,0.6552,0.4512,0.3,,,,,,,,,,,,,,,,
capacity,N=6,6,L1_light,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1837,0.0836,0.2536,0.1329,16.4,NPU,2,0.1089,0.0113,0.1422,0.5658,0.1329,0.2,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,0.2,NPU,13,0.1869,0.0038,0.0855,0.3986,0.2209,1.5,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,0.0,NPU,21,0.0836,0.0014,0.0244,0.2129,0.2268,0.2,NPU,14,0.41,0.0137,0.1988,0.6535,0.4512,1.6,,,,,,,,,,,,,,,,
capacity,N=8,8,L1_light,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1482,0.0543,0.1554,0.0747,24.7,GPU,2,0.0758,0.0101,0.0752,0.3514,0.0747,93.5,GPU,22,0.1777,0.0008,0.1852,0.5346,0.1088,94.1,GPU,13,0.1155,0.0083,0.085,0.314,0.1438,31.5,GPU,16,0.1523,0.0058,0.4935,0.2287,0.127,93.8,GPU,3,0.0699,0.0014,0.145,0.1144,0.1674,90.0,GPU,21,0.0543,0.0058,0.0084,0.149,0.1301,92.8,GPU,14,0.3262,0.0568,0.2022,0.5105,0.361,31.2,GPU,4,0.2142,0.0,0.1302,0.5351,0.1302,50.3
capacity,N=8,8,L1_light,single,SizeAware,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.194,0.0615,0.23,0.1329,24.2,NPU,2,0.1088,0.0113,0.1412,0.5653,0.1329,0.9,NPU,22,0.1911,0.001,0.1734,0.6126,0.1996,1.8,NPU,13,0.1873,0.0038,0.086,0.3987,0.2209,0.6,NPU,16,0.3589,0.0051,0.4948,0.6813,0.3906,0.7,GPU,3,0.0754,0.0022,0.1613,0.1488,0.1859,89.1,GPU,21,0.0615,0.0079,0.0109,0.1658,0.1629,92.7,GPU,14,0.3547,0.0559,0.2066,0.5503,0.3975,33.6,GPU,4,0.2139,0.0,0.1297,0.5347,0.15,51.2
capacity,N=8,8,L1_light,single,SizeBlindRev,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1737,0.0791,0.2097,0.0805,24.4,GPU,2,0.0791,0.01,0.0816,0.3601,0.0805,94.0,GPU,22,0.1772,0.0009,0.1866,0.5359,0.1151,94.9,GPU,13,0.1325,0.0083,0.0865,0.3329,0.1645,32.1,GPU,16,0.1833,0.0065,0.5208,0.2862,0.1435,96.8,NPU,3,0.1208,0.0005,0.1811,0.338,0.2899,0.7,NPU,21,0.0836,0.0014,0.0246,0.2127,0.2268,0.5,NPU,14,0.4084,0.0137,0.199,0.6528,0.4512,2.0,NPU,4,0.2048,0.0,0.0816,0.546,0.2059,1.7
capacity,N=8,8,L1_light,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2081,0.0829,0.2647,0.1329,17.2,NPU,2,0.1088,0.0113,0.1413,0.564,0.1329,1.4,NPU,22,0.1913,0.001,0.1733,0.6138,0.1996,1.8,NPU,13,0.1871,0.0038,0.0853,0.3989,0.2209,1.2,NPU,16,0.3591,0.0051,0.4958,0.6827,0.3906,0.7,NPU,3,0.121,0.0005,0.1816,0.338,0.2899,0.4,NPU,21,0.0829,0.0014,0.0244,0.212,0.2268,0.7,NPU,14,0.4103,0.0137,0.199,0.6547,0.4512,1.5,NPU,4,0.2042,0.0,0.0816,0.5438,0.2059,0.2
