bg,N,strategy,worst_sap,worst_std,mean_sap,gpu_skip,npu_skip,reps
L3_vlm,4,All-GPU,0.0157,0.0011,0.0476,98.4,0.0,3
L3_vlm,4,All-NPU,0.0816,0.0,0.1333,0.0,0.2,3
L1_light,4,All-GPU,0.0821,0.0023,0.1324,28.7,0.0,3
L1_light,4,All-NPU,0.0817,0.0,0.1331,0.0,0.3,3
L2_lm,4,All-GPU,0.0527,0.0006,0.1048,74.3,0.0,3
L2_lm,4,All-NPU,0.0428,0.001,0.0972,0.0,63.4,3
