detector,params_M,phase,rep_idx,n_streams,bg_level,infer_mode,mxq_path,placement_name,placement_spec,mean_sap,worst_sap,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_skip
yolo11l,25.3,a2,1,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1219,0.0564,15.9,NPU,2,0.0909,0.0191,0.1058,0.3787,100.0,NPU,22,0.2259,0.0131,0.2178,0.5704,100.0,NPU,3,0.1145,0.0048,0.2171,0.1811,100.0,NPU,21,0.0564,0.004,0.026,0.1618,100.0
yolo11l,25.3,a2,2,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1254,0.0555,15.9,GPU,2,0.0804,0.0184,0.0843,0.3359,94.2,GPU,22,0.2626,0.0143,0.2797,0.5209,96.2,GPU,3,0.1031,0.0208,0.2006,0.1278,96.6,GPU,21,0.0555,0.0075,0.0213,0.1487,95.5
yolo11l,25.3,a2,2,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1261,0.0673,15.9,NPU,2,0.0886,0.0184,0.1043,0.3683,100.0,NPU,22,0.2235,0.0139,0.2179,0.5639,99.6,GPU,3,0.1249,0.0274,0.2384,0.1636,97.4,GPU,21,0.0673,0.0106,0.0265,0.1759,98.7
yolo11l,25.3,a2,2,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.132,0.0549,15.9,GPU,2,0.0892,0.0215,0.1014,0.3631,95.3,GPU,22,0.2748,0.0136,0.2862,0.567,97.4,NPU,3,0.1089,0.0008,0.2108,0.1786,98.9,NPU,21,0.0549,0.004,0.0245,0.1586,99.3
yolo11l,25.3,a2,2,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1226,0.055,15.9,NPU,2,0.0912,0.0192,0.1108,0.3761,100.0,NPU,22,0.2269,0.0135,0.2191,0.5727,100.0,NPU,3,0.1171,0.0015,0.2197,0.1901,100.0,NPU,21,0.055,0.0042,0.0253,0.16,99.0
yolo11x,56.9,a2,0,4,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1674,0.0862,15.8,GPU,2,0.1069,0.0351,0.1473,0.379,96.0,GPU,22,0.3381,0.0365,0.3222,0.6732,91.6,GPU,3,0.1384,0.0158,0.2879,0.1377,95.5,GPU,21,0.0862,0.0172,0.0361,0.2021,96.4
yolo11x,56.9,a2,0,4,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.156,0.0938,15.9,NPU,2,0.0938,0.024,0.1284,0.3609,100.0,NPU,22,0.2673,0.0258,0.234,0.5977,100.0,GPU,3,0.1606,0.0209,0.3184,0.258,61.2,GPU,21,0.1024,0.0198,0.0413,0.2362,54.1
yolo11x,56.9,a2,0,4,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1603,0.0661,15.9,GPU,2,0.1227,0.0435,0.1775,0.4238,58.5,GPU,22,0.3452,0.0367,0.3251,0.6994,58.9,NPU,3,0.1071,0.0002,0.2029,0.1638,100.0,NPU,21,0.0661,0.0013,0.03,0.171,100.0
yolo11x,56.9,a2,0,4,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1254,0.0603,15.8,NPU,2,0.0867,0.0207,0.1176,0.3399,100.0,NPU,22,0.2595,0.0263,0.2331,0.5711,100.0,NPU,3,0.095,0.0007,0.1893,0.1148,100.0,NPU,21,0.0603,0.0008,0.0271,0.1564,100.0
yolo11x,56.9,a2,1,4,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.168,0.0867,15.8,GPU,2,0.1105,0.0356,0.1555,0.3913,94.8,GPU,22,0.3358,0.0361,0.3203,0.6656,95.5,GPU,3,0.1391,0.0156,0.2897,0.2054,95.6,GPU,21,0.0867,0.0166,0.0341,0.2054,96.8
yolo11x,56.9,a2,1,4,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1581,0.0947,15.9,NPU,2,0.0947,0.0243,0.131,0.3629,100.0,NPU,22,0.2656,0.0255,0.2357,0.597,100.0,GPU,3,0.1687,0.0214,0.3305,0.2673,55.2,GPU,21,0.1036,0.021,0.0414,0.2392,49.8
yolo11x,56.9,a2,1,4,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1612,0.0647,15.8,GPU,2,0.1256,0.0443,0.1813,0.4368,54.5,GPU,22,0.3474,0.0361,0.3263,0.7053,53.9,NPU,3,0.1071,0.0007,0.2057,0.1518,100.0,NPU,21,0.0647,0.0013,0.03,0.1689,100.0
yolo11x,56.9,a2,1,4,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1256,0.0598,15.9,NPU,2,0.0871,0.0216,0.1134,0.3438,100.0,NPU,22,0.2597,0.0244,0.2325,0.5775,100.0,NPU,3,0.0957,0.0002,0.1824,0.1188,100.0,NPU,21,0.0598,0.0007,0.0262,0.156,100.0
yolo11x,56.9,a2,2,4,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1647,0.0852,15.8,GPU,2,0.1073,0.035,0.1479,0.3871,95.0,GPU,22,0.3336,0.0366,0.3209,0.6638,96.4,GPU,3,0.1326,0.0154,0.269,0.1764,94.0,GPU,21,0.0852,0.0158,0.0338,0.2022,94.9
yolo11x,56.9,a2,2,4,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1561,0.0936,15.8,NPU,2,0.0936,0.0239,0.1267,0.3602,100.0,NPU,22,0.2643,0.0266,0.2339,0.5949,100.0,GPU,3,0.1634,0.0195,0.3115,0.2497,56.1,GPU,21,0.1033,0.02,0.0425,0.2371,55.6
yolo11x,56.9,a2,2,4,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1627,0.0672,15.9,GPU,2,0.1251,0.0447,0.1841,0.439,51.7,GPU,22,0.3491,0.0362,0.3255,0.7061,50.2,NPU,3,0.1095,0.0007,0.2059,0.1502,100.0,NPU,21,0.0672,0.0011,0.0295,0.1735,100.0
yolo11x,56.9,a2,2,4,L1_light,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1261,0.0597,15.9,NPU,2,0.0884,0.0216,0.1196,0.3447,100.0,NPU,22,0.2582,0.026,0.23,0.5688,100.0,NPU,3,0.0981,0.0007,0.1923,0.1278,100.0,NPU,21,0.0597,0.0011,0.0271,0.1556,100.0
yolo11x,56.9,a2,0,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1369,0.0658,15.9,GPU,2,0.0837,0.0236,0.1073,0.3224,100.0,GPU,22,0.3045,0.0368,0.3118,0.5751,100.0,GPU,3,0.0937,0.0102,0.1975,0.0971,97.4,GPU,21,0.0658,0.011,0.0253,0.1577,100.0
yolo11x,56.9,a2,0,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1355,0.0776,15.9,NPU,2,0.085,0.0205,0.1149,0.3337,100.0,NPU,22,0.2601,0.0249,0.231,0.5738,100.0,GPU,3,0.1193,0.0139,0.2462,0.1422,99.1,GPU,21,0.0776,0.0146,0.0328,0.1836,99.1
yolo11x,56.9,a2,0,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1442,0.059,15.9,GPU,2,0.099,0.0309,0.1349,0.3644,100.0,GPU,22,0.3282,0.0373,0.3163,0.6408,98.2,NPU,3,0.0909,0.0017,0.1799,0.1114,100.0,NPU,21,0.059,0.001,0.0254,0.1533,100.0
yolo11x,56.9,a2,0,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1201,0.0569,15.9,NPU,2,0.0841,0.0195,0.1058,0.3368,100.0,NPU,22,0.2513,0.0256,0.2325,0.5444,100.0,NPU,3,0.0883,0.0,0.1752,0.1184,100.0,NPU,21,0.0569,0.0012,0.0246,0.1476,100.0
yolo11x,56.9,a2,1,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1375,0.0652,15.9,GPU,2,0.0868,0.0246,0.1123,0.3245,99.3,GPU,22,0.3075,0.0378,0.3096,0.588,100.0,GPU,3,0.0907,0.0064,0.1989,0.1087,99.3,GPU,21,0.0652,0.0115,0.0239,0.1568,98.7
yolo11x,56.9,a2,1,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.135,0.0789,15.9,NPU,2,0.0853,0.02,0.1169,0.3359,100.0,NPU,22,0.2531,0.0253,0.2318,0.5517,100.0,GPU,3,0.1226,0.0168,0.2517,0.1447,97.3,GPU,21,0.0789,0.0152,0.0323,0.1865,97.8
yolo11x,56.9,a2,1,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1431,0.0585,15.9,GPU,2,0.0988,0.0303,0.1359,0.3622,98.2,GPU,22,0.3232,0.0375,0.3181,0.6304,98.2,NPU,3,0.092,0.0002,0.1766,0.1101,100.0,NPU,21,0.0585,0.0008,0.0258,0.1527,100.0
yolo11x,56.9,a2,1,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1188,0.0563,15.9,NPU,2,0.0826,0.0189,0.1077,0.3305,100.0,NPU,22,0.2496,0.026,0.2306,0.5414,100.0,NPU,3,0.0868,0.0001,0.1626,0.1173,100.0,NPU,21,0.0563,0.001,0.0247,0.1473,100.0
yolo11x,56.9,a2,2,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1354,0.0642,15.9,GPU,2,0.0848,0.0215,0.1051,0.3288,96.7,GPU,22,0.309,0.0359,0.31,0.5834,99.3,GPU,3,0.0838,0.0083,0.1614,0.0966,95.9,GPU,21,0.0642,0.0114,0.0267,0.1509,98.7
yolo11x,56.9,a2,2,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1358,0.0793,15.9,NPU,2,0.0853,0.0199,0.1153,0.3344,100.0,NPU,22,0.2608,0.0263,0.2335,0.5672,100.0,GPU,3,0.1179,0.0109,0.2412,0.1337,96.9,GPU,21,0.0793,0.0152,0.032,0.1886,96.5
yolo11x,56.9,a2,2,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1431,0.0594,15.9,GPU,2,0.0977,0.0299,0.1307,0.3596,99.1,GPU,22,0.3251,0.0366,0.3187,0.6377,96.0,NPU,3,0.0903,0.0001,0.1819,0.1075,100.0,NPU,21,0.0594,0.001,0.0249,0.1544,100.0
yolo11x,56.9,a2,2,4,L2_lm,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11x.mxq,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1205,0.0582,15.9,NPU,2,0.0849,0.0199,0.1152,0.335,100.0,NPU,22,0.2497,0.0254,0.2295,0.5439,100.0,NPU,3,0.0891,0.0001,0.1655,0.1059,100.0,NPU,21,0.0582,0.001,0.0252,0.1513,100.0
