detector,params_M,phase,sid,device,infer_mode,mxq_path,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
yolo11l,25.3,baseline,14,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.3735,0.6108,0.1075,0.2035,0.4896,0.3398,0.0692,0.158,0.4495,55.2137,55.5001,96.6797,30.094
yolo11l,25.3,baseline,15,GPU,,,L0,0.149,0.266,0.0302,0.1667,0.4257,0.2358,0.0466,0.2729,0.7174,11.9878,12.0008,0.0,10.6825
yolo11l,25.3,baseline,15,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.0668,0.1707,0.0115,0.0597,0.1862,0.1356,0.0187,0.1517,0.4424,52.3228,52.5062,96.2617,29.6792
yolo11l,25.3,baseline,16,GPU,,,L0,0.3453,0.4943,0.0225,0.6977,0.6089,0.385,0.025,0.7432,0.7374,12.3136,12.3389,0.0,5.7944
yolo11l,25.3,baseline,16,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.3151,0.5437,0.014,0.5464,0.4824,0.2697,0.013,0.408,0.4971,57.3828,57.2123,98.7705,15.6827
yolo11l,25.3,baseline,17,GPU,,,L0,0.2737,0.4054,0.0303,0.3019,0.6374,0.3091,0.0343,0.336,0.7218,12.2728,12.2738,0.0,5.8374
yolo11l,25.3,baseline,17,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.186,0.3419,0.0187,0.1985,0.4409,0.1793,0.0184,0.1873,0.4361,55.8047,56.4957,97.6096,15.882
yolo11l,25.3,baseline,18,GPU,,,L0,0.219,0.2773,0.0272,0.1182,0.7716,0.2451,0.0313,0.1698,0.8638,11.8571,11.8769,0.0,10.7154
yolo11l,25.3,baseline,18,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.1707,0.2442,0.011,0.0642,0.6068,0.1482,0.0135,0.1014,0.5451,52.8641,53.0782,97.2015,30.0557
yolo11l,25.3,baseline,19,GPU,,,L0,0.1324,0.2404,0.0266,0.1617,0.3704,0.2242,0.0405,0.3441,0.6289,12.1212,12.1445,0.0,5.6667
yolo11l,25.3,baseline,19,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.0597,0.1441,0.0157,0.0553,0.153,0.1058,0.0184,0.1365,0.3651,56.9454,57.0379,98.3539,15.5782
yolo11l,25.3,baseline,20,GPU,,,L0,0.1229,0.2103,0.0117,0.1062,0.3769,0.193,0.0135,0.2376,0.6615,12.027,12.0327,0.0,5.6506
yolo11l,25.3,baseline,20,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.0711,0.1424,0.0133,0.0645,0.1686,0.1118,0.0109,0.1333,0.338,54.6984,55.2566,97.2332,15.6443
yolo11l,25.3,baseline,21,GPU,,,L0,0.1371,0.3262,0.0185,0.0769,0.2847,0.3442,0.0215,0.3905,0.5561,12.1743,12.184,0.0,5.7217
yolo11l,25.3,baseline,21,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.0518,0.1181,0.0038,0.024,0.1521,0.1507,0.0042,0.1724,0.265,54.296,54.4198,95.3488,15.6798
yolo11l,25.3,baseline,22,GPU,,,L0,0.3076,0.4729,0.0144,0.295,0.6797,0.3214,0.0148,0.2978,0.7287,12.4992,12.5032,0.0,5.9465
yolo11l,25.3,baseline,22,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.2218,0.3967,0.014,0.2179,0.5573,0.1642,0.0091,0.1404,0.4388,53.7824,54.4486,97.7099,15.906
yolo11l,25.3,baseline,23,GPU,,,L0,0.1959,0.3829,0.0602,0.2201,0.5199,0.3575,0.1004,0.5089,0.7222,12.1878,12.1997,0.0,5.8024
yolo11l,25.3,baseline,23,NPU,single,/home/msyu/.mblt_model_zoo/vision/aries/single/yolo11l.mxq,L0,0.0818,0.1951,0.0292,0.0913,0.2433,0.1864,0.0478,0.2586,0.4187,56.235,56.7775,97.5904,15.8477
