n_streams,infer_mode,bg_level,stream_id,init_success,latency_mean,latency_p95,frame_skip_pct,sap_5095,wall_sec,init_err
3,single,L1,0,True,16.2,18.98,0.0,0.4381,7.2,
3,single,L1,1,True,16.3,19.06,0.0,0.4381,7.2,
3,single,L1,2,True,16.26,19.1,0.0,0.4381,7.2,
4,single,L0,0,True,21.16,24.07,0.24,0.4381,9.3,
4,single,L0,1,True,16.97,20.15,0.0,0.4381,9.3,
4,single,L0,2,True,16.98,20.22,0.0,0.4381,9.3,
4,single,L0,3,True,17.41,20.57,0.0,0.4381,9.3,
4,single,L1,0,True,16.96,19.63,0.0,0.4381,7.5,
4,single,L1,1,True,16.94,19.94,0.0,0.4381,7.5,
4,single,L1,2,True,16.97,20.11,0.0,0.4381,7.5,
4,single,L1,3,True,16.96,20.14,0.0,0.4381,7.5,
5,single,L0,0,True,17.18,19.91,0.0,0.4381,7.7,
5,single,L0,1,True,17.09,20.05,0.0,0.4381,7.7,
5,single,L0,2,True,17.21,19.98,0.0,0.4381,7.7,
5,single,L0,3,True,17.3,20.11,0.0,0.4381,7.7,
5,single,L0,4,True,17.27,20.36,0.0,0.4381,7.7,
5,single,L1,0,True,17.85,21.51,0.0,0.4381,8.0,
5,single,L1,1,True,18.01,21.65,0.0,0.4381,8.0,
5,single,L1,2,True,18.04,21.4,0.0,0.4381,8.0,
5,single,L1,3,True,17.98,21.05,0.0,0.4381,8.0,
5,single,L1,4,True,17.79,20.96,0.0,0.4381,8.0,
6,single,L0,0,True,21.0,25.86,0.0,0.4381,9.7,
6,single,L0,1,True,19.19,22.82,0.0,0.4381,9.7,
6,single,L0,2,True,22.24,26.54,0.0,0.4381,9.7,
6,single,L0,3,True,18.6,22.49,0.0,0.4381,9.7,
6,single,L0,4,True,18.6,22.15,0.0,0.4381,9.7,
6,single,L0,5,True,18.52,22.07,0.0,0.4381,9.7,
6,single,L1,0,True,18.79,22.69,0.0,0.4381,8.5,
6,single,L1,1,True,19.04,22.92,0.0,0.4381,8.5,
6,single,L1,2,True,19.04,22.84,0.0,0.4381,8.5,
6,single,L1,3,True,19.12,23.34,0.0,0.4381,8.5,
6,single,L1,4,True,18.91,22.69,0.0,0.4381,8.5,
6,single,L1,5,True,18.9,22.19,0.0,0.4381,8.5,
7,single,L0,0,True,19.8,24.31,0.0,0.4381,10.2,
7,single,L0,1,True,19.63,23.96,0.0,0.4381,10.2,
7,single,L0,2,True,19.98,24.48,0.0,0.4381,10.2,
7,single,L0,3,True,19.52,24.22,0.0,0.4381,10.2,
7,single,L0,4,True,19.77,24.29,0.0,0.4381,10.2,
7,single,L0,5,True,23.2,27.32,0.24,0.4382,10.2,
7,single,L0,6,True,19.6,23.61,0.0,0.4381,10.2,
7,single,L1,0,True,20.14,25.71,0.49,0.4377,9.0,
7,single,L1,1,True,20.15,25.77,0.0,0.4381,9.0,
7,single,L1,2,True,20.31,26.17,0.49,0.4376,9.0,
7,single,L1,3,True,20.31,25.55,0.0,0.4381,9.0,
7,single,L1,4,True,20.14,26.23,0.24,0.4371,9.0,
7,single,L1,5,True,20.14,25.03,0.24,0.4371,9.0,
7,single,L1,6,True,20.18,25.41,0.24,0.4381,9.0,
8,single,L0,0,True,20.52,25.32,0.0,0.4381,9.1,
8,single,L0,1,True,20.6,25.89,0.24,0.4381,9.1,
8,single,L0,2,True,20.52,25.22,0.24,0.4382,9.1,
8,single,L0,3,True,20.56,24.83,0.0,0.4381,9.1,
8,single,L0,4,True,20.59,25.85,0.24,0.4376,9.1,
8,single,L0,5,True,20.35,25.48,0.0,0.4381,9.1,
8,single,L0,6,True,20.54,25.49,0.0,0.4381,9.1,
8,single,L0,7,True,20.42,25.53,0.49,0.4381,9.1,
8,single,L1,0,True,21.96,29.76,2.18,0.4367,9.8,
8,single,L1,1,True,22.06,29.7,1.94,0.4371,9.8,
8,single,L1,2,True,22.28,29.63,2.91,0.4372,9.8,
8,single,L1,3,True,22.25,30.51,3.16,0.437,9.8,
8,single,L1,4,True,22.11,30.18,2.18,0.4368,9.8,
8,single,L1,5,True,22.18,30.92,1.7,0.4366,9.8,
8,single,L1,6,True,22.1,29.57,1.46,0.4376,9.8,
8,single,L1,7,True,21.79,28.63,1.7,0.4372,9.8,
