detector,params_M,family,Q_s,Q_m,Q_l,L_s,L_m,L_l
yolo11s,9.4,YOLO11,-0.006308333333333333,-0.06245833333333334,-0.09752500000000001,0.0014833333333333337,0.024641666666666673,0.0661375
yolo11m,20.1,YOLO11,-0.012533333333333332,-0.06257083333333334,-0.12594999999999998,0.005058333333333334,0.0499,0.11517499999999999
yolo11l,25.3,YOLO11,-0.014008333333333333,-0.07895833333333331,-0.14032916666666664,0.0075875,0.06081249999999999,0.1387125
yolo11x,56.9,YOLO11,-0.020195833333333333,-0.09400833333333335,-0.16614583333333335,0.010249999999999999,0.06775416666666667,0.14797916666666666
yolov8n,3.2,YOLOv8,-0.002170833333333333,-0.03925833333333333,-0.11515416666666667,0.0001458333333333333,0.005395833333333332,0.022154166666666666
yolov8s,11.2,YOLOv8,-0.007575000000000001,-0.05845,-0.11279583333333333,0.0007875,0.015525000000000004,0.04541666666666667
yolov8m,25.9,YOLOv8,-0.013229166666666667,-0.08861249999999998,-0.16236666666666666,0.004483333333333333,0.04740833333333333,0.10713750000000001
yolov8l,43.7,YOLOv8,-0.016408333333333334,-0.09173333333333333,-0.1986416666666667,0.006154166666666666,0.05758750000000001,0.12666249999999998
yolov8x,68.2,YOLOv8,-0.020358333333333336,-0.12109166666666667,-0.2374875,0.007762500000000001,0.057175,0.12492083333333333
