rep,N,resnet_k,bg_level,strategy,placement,worst_sap,mean_sap,gpu_skip,npu_skip
0,2,2,SWEEP2,All-NPU,NN,0.0836,0.0963,0.0,0.0
1,2,2,SWEEP2,All-GPU,GG,0.1108,0.1151,4.7,0.0
1,2,2,SWEEP2,All-NPU,NN,0.0836,0.0963,0.0,0.0
2,2,2,SWEEP2,All-GPU,GG,0.1126,0.1162,4.2,0.0
2,2,2,SWEEP2,All-NPU,NN,0.0836,0.0963,0.0,0.0
0,2,3,SWEEP3,All-GPU,GG,0.107,0.1112,12.4,0.0
0,2,3,SWEEP3,All-NPU,NN,0.0836,0.0963,0.0,0.0
1,2,3,SWEEP3,All-GPU,GG,0.1061,0.1106,13.7,0.0
1,2,3,SWEEP3,All-NPU,NN,0.0836,0.0963,0.0,0.0
2,2,3,SWEEP3,All-GPU,GG,0.1035,0.1094,14.7,0.0
2,2,3,SWEEP3,All-NPU,NN,0.0836,0.0963,0.0,0.0
0,2,4,SWEEP4,All-GPU,GG,0.103,0.1061,22.7,0.0
0,2,4,SWEEP4,All-NPU,NN,0.0836,0.0963,0.0,0.0
1,2,4,SWEEP4,All-GPU,GG,0.099,0.1043,23.0,0.0
1,2,4,SWEEP4,All-NPU,NN,0.0836,0.0963,0.0,0.0
2,2,4,SWEEP4,All-GPU,GG,0.1074,0.1081,23.5,0.0
2,2,4,SWEEP4,All-NPU,NN,0.0836,0.0963,0.0,0.0
0,2,6,SWEEP6,All-GPU,GG,0.0934,0.0977,36.4,0.0
0,2,6,SWEEP6,All-NPU,NN,0.0836,0.0963,0.0,0.0
1,2,6,SWEEP6,All-GPU,GG,0.0857,0.0929,44.5,0.0
1,2,6,SWEEP6,All-NPU,NN,0.0836,0.0963,0.0,0.0
2,2,6,SWEEP6,All-GPU,GG,0.0865,0.0926,42.7,0.0
2,2,6,SWEEP6,All-NPU,NN,0.0836,0.0963,0.0,0.0
0,2,8,SWEEP8,All-GPU,GG,0.0795,0.0865,56.3,0.0
0,2,8,SWEEP8,All-NPU,NN,0.0836,0.0963,0.0,0.0
1,2,8,SWEEP8,All-GPU,GG,0.0791,0.0871,54.4,0.0
1,2,8,SWEEP8,All-NPU,NN,0.0836,0.0963,0.0,0.0
2,2,8,SWEEP8,All-GPU,GG,0.0794,0.0878,52.7,0.0
2,2,8,SWEEP8,All-NPU,NN,0.0836,0.0963,0.0,0.0
0,8,0,SWEEP0,All-GPU,GGGGGGGG,0.0683,0.1735,64.7,0.0
0,8,0,SWEEP0,All-NPU,NNNNNNNN,0.0836,0.2085,0.0,0.1
1,8,0,SWEEP0,All-GPU,GGGGGGGG,0.0703,0.1757,63.7,0.0
1,8,0,SWEEP0,All-NPU,NNNNNNNN,0.0836,0.2082,0.0,0.3
2,8,0,SWEEP0,All-GPU,GGGGGGGG,0.0716,0.1756,62.9,0.0
2,8,0,SWEEP0,All-NPU,NNNNNNNN,0.0836,0.2085,0.0,0.2
0,8,1,SWEEP1,All-GPU,GGGGGGGG,0.0561,0.1523,71.7,0.0
0,8,1,SWEEP1,All-NPU,NNNNNNNN,0.0834,0.2081,0.0,1.1
1,8,1,SWEEP1,All-GPU,GGGGGGGG,0.056,0.154,71.9,0.0
1,8,1,SWEEP1,All-NPU,NNNNNNNN,0.083,0.2082,0.0,1.1
2,8,1,SWEEP1,All-GPU,GGGGGGGG,0.0548,0.1518,72.1,0.0
2,8,1,SWEEP1,All-NPU,NNNNNNNN,0.0835,0.2081,0.0,0.9
0,8,2,SWEEP2,All-GPU,GGGGGGGG,0.0552,0.1511,75.7,0.0
0,8,2,SWEEP2,All-NPU,NNNNNNNN,0.0806,0.2072,0.0,2.9
1,8,2,SWEEP2,All-GPU,GGGGGGGG,0.0565,0.1539,76.3,0.0
1,8,2,SWEEP2,All-NPU,NNNNNNNN,0.082,0.2071,0.0,2.8
2,8,2,SWEEP2,All-GPU,GGGGGGGG,0.0546,0.1542,75.7,0.0
2,8,2,SWEEP2,All-NPU,NNNNNNNN,0.0817,0.207,0.0,3.2
0,8,3,SWEEP3,All-GPU,GGGGGGGG,0.0552,0.1499,78.9,0.0
0,8,3,SWEEP3,All-NPU,NNNNNNNN,0.0779,0.2055,0.0,5.0
1,8,3,SWEEP3,All-GPU,GGGGGGGG,0.0556,0.1501,78.3,0.0
1,8,3,SWEEP3,All-NPU,NNNNNNNN,0.0813,0.2068,0.0,4.4
2,8,3,SWEEP3,All-GPU,GGGGGGGG,0.0569,0.1502,78.1,0.0
2,8,3,SWEEP3,All-NPU,NNNNNNNN,0.0814,0.2067,0.0,3.1
0,8,4,SWEEP4,All-GPU,GGGGGGGG,0.0569,0.1477,82.0,0.0
0,8,4,SWEEP4,All-NPU,NNNNNNNN,0.081,0.2065,0.0,4.7
1,8,4,SWEEP4,All-GPU,GGGGGGGG,0.0551,0.1461,82.5,0.0
1,8,4,SWEEP4,All-NPU,NNNNNNNN,0.0812,0.2059,0.0,4.4
2,8,4,SWEEP4,All-GPU,GGGGGGGG,0.0562,0.1455,81.6,0.0
2,8,4,SWEEP4,All-NPU,NNNNNNNN,0.0793,0.2058,0.0,4.9
0,8,6,SWEEP6,All-GPU,GGGGGGGG,0.0516,0.1424,82.4,0.0
0,8,6,SWEEP6,All-NPU,NNNNNNNN,0.0829,0.2069,0.0,3.7
1,8,6,SWEEP6,All-GPU,GGGGGGGG,0.055,0.1427,84.9,0.0
1,8,6,SWEEP6,All-NPU,NNNNNNNN,0.0804,0.2066,0.0,4.5
2,8,6,SWEEP6,All-GPU,GGGGGGGG,0.0529,0.143,84.4,0.0
2,8,6,SWEEP6,All-NPU,NNNNNNNN,0.0811,0.2072,0.0,4.2
0,8,8,SWEEP8,All-GPU,GGGGGGGG,0.0516,0.1372,88.3,0.0
0,8,8,SWEEP8,All-NPU,NNNNNNNN,0.081,0.2057,0.0,4.2
1,8,8,SWEEP8,All-GPU,GGGGGGGG,0.0516,0.1388,88.9,0.0
1,8,8,SWEEP8,All-NPU,NNNNNNNN,0.0822,0.2058,0.0,4.8
2,8,8,SWEEP8,All-GPU,GGGGGGGG,0.049,0.1382,86.6,0.0
2,8,8,SWEEP8,All-NPU,NNNNNNNN,0.08,0.206,0.0,5.0
