table,tag,n_streams,bg_level,infer_mode,placement_name,placement_spec,mean_sap,worst_sap,mean_map,worst_map,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
schedule-shift,N=8,8,L1_heavy,single,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1891,0.0556,0.2167,0.1296,26.1,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,0.0,NPU,22,0.1914,0.001,0.1732,0.614,0.1996,0.2,NPU,13,0.1874,0.0038,0.0861,0.3989,0.2209,0.1,NPU,16,0.3576,0.0051,0.496,0.6753,0.3906,1.8,GPU,3,0.0707,0.0018,0.1462,0.1239,0.1623,93.6,GPU,21,0.0556,0.0068,0.0088,0.1524,0.1333,94.9,GPU,14,0.3274,0.055,0.2032,0.5124,0.3643,38.4,GPU,4,0.2138,0.0,0.1326,0.5342,0.1296,61.2
schedule-shift,N=8,8,L1_heavy,single,SizeAware_NPU6,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.201,0.0809,0.2528,0.1329,26.6,NPU,2,0.1084,0.0113,0.1404,0.5648,0.1329,2.7,NPU,22,0.1896,0.001,0.1734,0.6093,0.1996,3.4,NPU,13,0.1857,0.0038,0.0853,0.3976,0.2209,1.8,NPU,16,0.3572,0.0051,0.4941,0.6785,0.3906,2.1,NPU,3,0.1197,0.0005,0.1812,0.3365,0.2899,2.2,NPU,21,0.0809,0.0014,0.0229,0.2073,0.2263,3.9,GPU,14,0.3536,0.0564,0.2041,0.5481,0.4074,39.8,GPU,4,0.2128,0.0,0.1298,0.533,0.1546,59.9
schedule-shift,N=8,8,L1_heavy,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2061,0.0796,0.2647,0.1329,17.6,NPU,2,0.1074,0.0114,0.1377,0.5616,0.1329,4.3,NPU,22,0.1891,0.0009,0.1731,0.6079,0.1996,8.5,NPU,13,0.1842,0.0038,0.085,0.3957,0.2209,2.4,NPU,16,0.3573,0.005,0.493,0.6735,0.3906,3.9,NPU,3,0.1198,0.0004,0.1826,0.3212,0.2899,4.7,NPU,21,0.0796,0.0006,0.0201,0.2096,0.2268,5.0,NPU,14,0.4052,0.0135,0.199,0.6479,0.4512,3.3,NPU,4,0.2059,0.0,0.0815,0.5481,0.2059,3.1
schedule-shift,N=8,8,L2_lm,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.122,0.0431,0.1096,0.0466,29.9,GPU,2,0.0596,0.0081,0.0573,0.2778,0.0466,96.3,GPU,22,0.1687,0.0013,0.1806,0.5031,0.0897,90.3,GPU,13,0.0801,0.0073,0.0523,0.2535,0.1063,75.6,GPU,16,0.1227,0.0064,0.2983,0.1804,0.1011,96.2,GPU,3,0.0485,0.0008,0.1015,0.0761,0.1058,95.5,GPU,21,0.0431,0.0049,0.0064,0.1174,0.0849,91.7,GPU,14,0.2372,0.0542,0.1863,0.4046,0.2502,75.6,GPU,4,0.216,0.0,0.1317,0.5359,0.0926,88.4
schedule-shift,N=8,8,L2_lm,single,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1482,0.0382,0.1401,0.0757,29.8,NPU,2,0.0803,0.0088,0.0811,0.3834,0.0991,76.2,NPU,22,0.1676,0.0009,0.1701,0.5181,0.1245,90.7,NPU,13,0.1186,0.003,0.0407,0.2215,0.1297,73.9,NPU,16,0.2926,0.0047,0.4211,0.5002,0.2879,73.5,GPU,3,0.0382,0.0007,0.0757,0.0514,0.0944,97.0,GPU,21,0.0457,0.0043,0.0062,0.1213,0.0814,99.0,GPU,14,0.2282,0.0535,0.1844,0.4004,0.2281,75.9,GPU,4,0.2146,0.0,0.1298,0.5361,0.0757,89.9
schedule-shift,N=8,8,L2_lm,single,SizeAware_NPU6,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1525,0.0475,0.1635,0.0817,29.7,NPU,2,0.0762,0.0087,0.075,0.3675,0.0868,76.8,NPU,22,0.1689,0.0011,0.1673,0.5207,0.1285,83.1,NPU,13,0.1171,0.0027,0.0398,0.2305,0.1464,75.9,NPU,16,0.2873,0.0054,0.3942,0.4968,0.2707,76.6,NPU,3,0.0649,0.0002,0.1344,0.1281,0.1945,75.6,NPU,21,0.0475,0.0004,0.0039,0.1437,0.1513,82.7,GPU,14,0.2437,0.051,0.188,0.41,0.2483,66.3,GPU,4,0.2142,0.0,0.1334,0.5354,0.0817,94.4
schedule-shift,N=8,8,L2_lm,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1727,0.0535,0.217,0.1037,28.5,NPU,2,0.0812,0.0086,0.0791,0.3887,0.1037,78.2,NPU,22,0.1745,0.001,0.171,0.5483,0.1602,71.4,NPU,13,0.1363,0.0038,0.0545,0.2513,0.1696,50.4,NPU,16,0.3037,0.0047,0.4572,0.5282,0.3127,71.4,NPU,3,0.0734,0.0002,0.1436,0.1694,0.2338,62.1,NPU,21,0.0535,0.0004,0.0065,0.1571,0.1865,64.3,NPU,14,0.3523,0.0131,0.1801,0.5926,0.3868,39.7,NPU,4,0.2066,0.0,0.0817,0.5473,0.1829,44.5
schedule-shift,N=8,8,L3_vlm,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0729,0.017,0.0387,0.0228,30.1,GPU,2,0.0323,0.0036,0.027,0.158,0.0228,100.0,GPU,22,0.1354,0.0004,0.161,0.3693,0.0335,100.0,GPU,13,0.017,0.0027,0.0118,0.0345,0.0357,97.1,GPU,16,0.0361,0.0045,0.2735,0.0462,0.0419,100.0,GPU,3,0.0232,0.0003,0.0461,0.0268,0.0488,100.0,GPU,21,0.0225,0.0022,0.0032,0.0586,0.0404,100.0,GPU,14,0.1044,0.0369,0.1037,0.2147,0.0587,100.0,GPU,4,0.2125,0.0,0.1342,0.5288,0.0282,100.0
schedule-shift,N=8,8,L3_vlm,single,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1494,0.0172,0.1371,0.0243,30.2,NPU,2,0.1087,0.0113,0.1407,0.5575,0.1329,1.4,NPU,22,0.1912,0.001,0.1733,0.6137,0.1996,0.7,NPU,13,0.1865,0.0038,0.0855,0.399,0.2209,2.1,NPU,16,0.3563,0.0051,0.4952,0.6773,0.3906,0.9,GPU,3,0.0172,0.0001,0.0383,0.0205,0.0439,100.0,GPU,21,0.0188,0.0012,0.0021,0.0483,0.0324,100.0,GPU,14,0.0992,0.0372,0.0983,0.2285,0.0518,100.0,GPU,4,0.2172,0.0,0.1295,0.5402,0.0243,100.0
schedule-shift,N=8,8,L3_vlm,single,SizeAware_NPU6,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1706,0.0836,0.1914,0.0244,30.6,NPU,2,0.1089,0.0114,0.1417,0.5653,0.1329,0.9,NPU,22,0.1907,0.001,0.1733,0.6112,0.1986,1.8,NPU,13,0.1857,0.0038,0.0841,0.3927,0.2209,3.1,NPU,16,0.3591,0.0051,0.4956,0.6821,0.3906,0.5,NPU,3,0.121,0.0004,0.1834,0.3387,0.2899,1.1,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.7,GPU,14,0.0987,0.0411,0.0947,0.2788,0.0471,100.0,GPU,4,0.2172,0.0,0.123,0.542,0.0244,100.0
schedule-shift,N=8,8,L3_vlm,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2073,0.0811,0.2647,0.1329,17.3,NPU,2,0.1078,0.0109,0.1398,0.5616,0.1329,2.1,NPU,22,0.192,0.0009,0.1734,0.6127,0.1996,3.1,NPU,13,0.1837,0.0038,0.0855,0.3952,0.2209,1.6,NPU,16,0.359,0.0051,0.4949,0.6817,0.3906,1.4,NPU,3,0.1205,0.0005,0.1816,0.3372,0.2899,0.7,NPU,21,0.0811,0.0004,0.0222,0.2088,0.2268,2.3,NPU,14,0.4093,0.0138,0.1989,0.653,0.4512,2.0,NPU,4,0.2047,0.0,0.0816,0.5458,0.2059,0.6
