gpu_skip,isolated_worst,oracle_worst,gap
0.1,0.1149,0.1149,0.0
42.0,0.0879,0.0879,0.0
57.9,0.0765,0.0836,0.0071
67.3,0.0739,0.0836,0.0097
71.5,0.0719,0.0836,0.0117
73.5,0.07,0.0836,0.0136
79.2,0.0663,0.0836,0.0173
