table,tag,n_streams,bg_level,infer_mode,placement_name,placement_spec,mean_sap,worst_sap,mean_map,worst_map,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
natural,C_diverse_N4,4,L1_light,single,Oracle_k4_p0_1_2_3,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2014,0.058,0.2366,0.0721,16.2,NPU,15,0.1082,0.0092,0.1121,0.3846,0.1649,1.0,NPU,0,0.058,0.011,0.1032,0.4331,0.0721,2.1,NPU,5,0.4381,0.0098,0.1728,0.6224,0.4626,0.0,NPU,7,0.2013,0.0,0.1478,0.4071,0.2467,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_heavy,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1659,0.0544,0.2088,0.0776,27.0,GPU,15,0.0819,0.0138,0.0882,0.2381,0.1641,39.0,GPU,0,0.0544,0.0147,0.1129,0.3628,0.0776,38.7,GPU,5,0.3765,0.0135,0.19,0.5085,0.3624,70.5,GPU,7,0.1508,0.0005,0.1298,0.2627,0.2309,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_heavy,single,SizeAware,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1689,0.0551,0.1974,0.0746,24.9,NPU,15,0.1085,0.0092,0.1121,0.3863,0.1654,0.0,GPU,0,0.0551,0.0159,0.1145,0.365,0.0746,34.9,GPU,5,0.3643,0.0131,0.1849,0.4883,0.3267,78.2,GPU,7,0.1478,0.0,0.1238,0.261,0.2229,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_heavy,single,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1975,0.0577,0.2394,0.0773,25.6,GPU,15,0.0943,0.0137,0.0952,0.31,0.1709,29.5,GPU,0,0.0577,0.0163,0.1175,0.3792,0.0773,29.7,NPU,5,0.4386,0.0098,0.1729,0.6213,0.4626,1.2,NPU,7,0.1995,0.0,0.1469,0.4019,0.2467,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_heavy,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2015,0.0583,0.2367,0.0722,15.3,NPU,15,0.1082,0.0092,0.1124,0.3864,0.1654,0.7,NPU,0,0.0583,0.0116,0.103,0.4351,0.0722,1.0,NPU,5,0.4381,0.0098,0.1728,0.6224,0.4626,0.0,NPU,7,0.2013,0.0,0.1478,0.4071,0.2467,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_heavy,single,Oracle_k0_pnone,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.168,0.0554,0.2111,0.0775,27.0,GPU,15,0.0819,0.0136,0.0852,0.2446,0.1608,41.6,GPU,0,0.0554,0.0148,0.1216,0.3655,0.0775,37.7,GPU,5,0.3813,0.0166,0.1889,0.5115,0.3703,68.9,GPU,7,0.1534,0.0005,0.1303,0.261,0.2358,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_heavy,single,Oracle_k1_p0,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1702,0.055,0.1978,0.0749,24.8,NPU,15,0.1085,0.0092,0.1121,0.3863,0.1654,0.0,GPU,0,0.055,0.0135,0.1136,0.3685,0.0749,33.0,GPU,5,0.3665,0.0145,0.1881,0.4902,0.3273,79.6,GPU,7,0.1509,0.0,0.1253,0.2818,0.2237,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_heavy,single,Oracle_k1_p2,"[""GPU"", ""GPU"", ""NPU"", ""GPU""]",0.183,0.0551,0.2385,0.0775,27.0,GPU,15,0.0852,0.0135,0.0923,0.254,0.1697,36.7,GPU,0,0.0551,0.0147,0.1165,0.3618,0.0775,39.0,NPU,5,0.4381,0.0098,0.1728,0.6223,0.4626,0.2,GPU,7,0.1535,0.0005,0.1323,0.2556,0.2444,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_heavy,single,Oracle_k2_p0_1,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1658,0.0582,0.1855,0.0722,15.5,NPU,15,0.107,0.0092,0.1109,0.3836,0.1654,1.3,NPU,0,0.0582,0.0115,0.1028,0.4339,0.0722,1.3,GPU,5,0.3618,0.0137,0.1828,0.4832,0.3082,88.2,GPU,7,0.1362,0.0,0.1132,0.2421,0.1964,84.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,C_diverse_N4,4,L1_heavy,single,Oracle_k2_p1_2,"[""GPU"", ""NPU"", ""NPU"", ""GPU""]",0.1829,0.0583,0.2328,0.0722,24.5,GPU,15,0.0858,0.0131,0.0874,0.2672,0.1651,32.0,NPU,0,0.0583,0.0115,0.1033,0.4342,0.0722,0.6,NPU,5,0.437,0.0098,0.1727,0.6206,0.4626,1.7,GPU,7,0.1504,0.0,0.1286,0.268,0.2314,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
