alpha,avg_score_ge3,top1_acc_ge3,top5_acc_ge3
0.1,0.7975,0.4375,0.75
0.2,0.7975,0.4375,0.75
0.3,0.7975,0.4375,0.75
0.4,0.7975,0.4375,0.75
0.5,0.7975,0.4375,0.75
0.6,0.7994,0.5,0.75
0.7,0.7988,0.5,0.75
0.8,0.7912,0.4375,0.75
0.9,0.7669,0.25,0.625
1.0,0.7756,0.3125,0.625
