point,cotenant,c,placement,rep,t_start,t_end,worst_sap,mean_sap,median_sap,p10_sap,sap_small,sap_medium,sap_large,gpu_skip_pct,npu_skip_pct,deadline_margin_ms_mean,cpu_pct_mean,cpu_nbusy_mean,gpu_util_mean,power_w_mean,per_stream_json
c8,cpu_stress,8,AllGPU,2,1783075622.486,1783075634.129,0.11489,0.15073,0.13845,0.11684,0.00783,0.16802,0.45857,0.0,0.0,-14.91,46.6,11.3,35.4,98.3,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.1214, ""sap_s"": 0.01643, ""sap_m"": 0.17496, ""sap_l"": 0.57719, ""skip"": 0.0, ""eff_mean_ms"": 18.563, ""infer_mean_ms"": 18.562}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21113, ""sap_s"": 0.00143, ""sap_m"": 0.19297, ""sap_l"": 0.64695, ""skip"": 0.0, ""eff_mean_ms"": 18.789, ""infer_mean_ms"": 18.789}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.1555, ""sap_s"": 0.00345, ""sap_m"": 0.25732, ""sap_l"": 0.34877, ""skip"": 0.0, ""eff_mean_ms"": 18.426, ""infer_mean_ms"": 18.426}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11489, ""sap_s"": 0.01001, ""sap_m"": 0.04685, ""sap_l"": 0.26138, ""skip"": 0.0, ""eff_mean_ms"": 17.917, ""infer_mean_ms"": 17.916}]"
c8,cpu_stress,8,AllNPU,0,1783075634.13,1783075646.273,0.0836,0.12629,0.1152,0.0912,0.00356,0.13037,0.43261,0.0,0.28,-13.109,46.9,11.7,7.0,62.1,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10895, ""sap_s"": 0.01134, ""sap_m"": 0.14217, ""sap_l"": 0.56511, ""skip"": 0.23, ""eff_mean_ms"": 19.953, ""infer_mean_ms"": 19.953}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19116, ""sap_s"": 0.001, ""sap_m"": 0.17326, ""sap_l"": 0.61362, ""skip"": 0.9, ""eff_mean_ms"": 21.082, ""infer_mean_ms"": 21.081}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12145, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33898, ""skip"": 0.0, ""eff_mean_ms"": 20.214, ""infer_mean_ms"": 20.213}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0836, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.21271, ""skip"": 0.0, ""eff_mean_ms"": 19.648, ""infer_mean_ms"": 19.647}]"
c8,cpu_stress,8,AllNPU,1,1783075646.275,1783075659.122,0.08366,0.12625,0.11514,0.09121,0.00356,0.13011,0.43119,0.0,0.51,-12.597,46.4,11.6,4.6,29.1,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10884, ""sap_s"": 0.01133, ""sap_m"": 0.14114, ""sap_l"": 0.5592, ""skip"": 1.59, ""eff_mean_ms"": 22.951, ""infer_mean_ms"": 22.951}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19104, ""sap_s"": 0.00101, ""sap_m"": 0.17329, ""sap_l"": 0.61367, ""skip"": 0.22, ""eff_mean_ms"": 21.316, ""infer_mean_ms"": 21.315}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12145, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33898, ""skip"": 0.0, ""eff_mean_ms"": 19.488, ""infer_mean_ms"": 19.488}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08366, ""sap_s"": 0.0014, ""sap_m"": 0.02443, ""sap_l"": 0.21289, ""skip"": 0.23, ""eff_mean_ms"": 19.19, ""infer_mean_ms"": 19.19}]"
c8,cpu_stress,8,AllNPU,2,1783075659.124,1783075671.063,0.0836,0.12632,0.11522,0.09122,0.00356,0.13045,0.43267,0.0,0.11,-13.786,46.6,11.7,8.0,15.6,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10899, ""sap_s"": 0.01133, ""sap_m"": 0.1424, ""sap_l"": 0.5651, ""skip"": 0.23, ""eff_mean_ms"": 20.771, ""infer_mean_ms"": 20.77}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19124, ""sap_s"": 0.00101, ""sap_m"": 0.17334, ""sap_l"": 0.61387, ""skip"": 0.22, ""eff_mean_ms"": 19.598, ""infer_mean_ms"": 19.597}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12145, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33898, ""skip"": 0.0, ""eff_mean_ms"": 18.912, ""infer_mean_ms"": 18.911}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0836, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.21271, ""skip"": 0.0, ""eff_mean_ms"": 18.91, ""infer_mean_ms"": 18.909}]"
c16,cpu_stress,16,AllGPU,0,1783075672.071,1783075683.761,0.11489,0.15073,0.13845,0.11684,0.00783,0.16802,0.45857,0.0,0.0,-15.05,80.0,19.3,42.7,92.8,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.1214, ""sap_s"": 0.01643, ""sap_m"": 0.17496, ""sap_l"": 0.57719, ""skip"": 0.0, ""eff_mean_ms"": 18.969, ""infer_mean_ms"": 18.969}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21113, ""sap_s"": 0.00143, ""sap_m"": 0.19297, ""sap_l"": 0.64695, ""skip"": 0.0, ""eff_mean_ms"": 18.2, ""infer_mean_ms"": 18.2}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.1555, ""sap_s"": 0.00345, ""sap_m"": 0.25732, ""sap_l"": 0.34877, ""skip"": 0.0, ""eff_mean_ms"": 18.1, ""infer_mean_ms"": 18.1}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11489, ""sap_s"": 0.01001, ""sap_m"": 0.04685, ""sap_l"": 0.26138, ""skip"": 0.0, ""eff_mean_ms"": 17.865, ""infer_mean_ms"": 17.864}]"
c16,cpu_stress,16,AllGPU,1,1783075683.763,1783075696.202,0.11283,0.14696,0.13203,0.11453,0.00781,0.16466,0.43513,3.25,0.0,-13.438,81.9,19.8,39.5,93.5,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.11848, ""sap_s"": 0.01639, ""sap_m"": 0.16898, ""sap_l"": 0.5461, ""skip"": 3.9, ""eff_mean_ms"": 20.651, ""infer_mean_ms"": 20.651}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21095, ""sap_s"": 0.00143, ""sap_m"": 0.19295, ""sap_l"": 0.64608, ""skip"": 2.49, ""eff_mean_ms"": 19.912, ""infer_mean_ms"": 19.911}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.14557, ""sap_s"": 0.00345, ""sap_m"": 0.25125, ""sap_l"": 0.29169, ""skip"": 3.61, ""eff_mean_ms"": 19.705, ""infer_mean_ms"": 19.705}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11283, ""sap_s"": 0.00998, ""sap_m"": 0.04547, ""sap_l"": 0.25667, ""skip"": 2.98, ""eff_mean_ms"": 19.312, ""infer_mean_ms"": 19.312}]"
c16,cpu_stress,16,AllGPU,2,1783075696.203,1783075708.766,0.11383,0.14893,0.13634,0.11533,0.00774,0.16668,0.455,4.56,0.0,-13.049,82.1,19.9,37.0,93.1,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.11883, ""sap_s"": 0.01617, ""sap_m"": 0.16979, ""sap_l"": 0.5737, ""skip"": 5.73, ""eff_mean_ms"": 20.999, ""infer_mean_ms"": 20.999}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.20918, ""sap_s"": 0.00145, ""sap_m"": 0.19312, ""sap_l"": 0.64206, ""skip"": 4.51, ""eff_mean_ms"": 20.211, ""infer_mean_ms"": 20.21}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.15386, ""sap_s"": 0.00339, ""sap_m"": 0.25696, ""sap_l"": 0.34578, ""skip"": 3.85, ""eff_mean_ms"": 20.063, ""infer_mean_ms"": 20.062}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11383, ""sap_s"": 0.00996, ""sap_m"": 0.04686, ""sap_l"": 0.25846, ""skip"": 4.14, ""eff_mean_ms"": 19.864, ""infer_mean_ms"": 19.864}]"
c16,cpu_stress,16,AllNPU,0,1783075708.768,1783075721.903,0.08367,0.12629,0.11519,0.09123,0.00356,0.13017,0.43273,0.0,1.64,-11.993,79.9,19.8,9.2,60.5,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10887, ""sap_s"": 0.01134, ""sap_m"": 0.14134, ""sap_l"": 0.56579, ""skip"": 0.91, ""eff_mean_ms"": 21.188, ""infer_mean_ms"": 21.187}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19109, ""sap_s"": 0.00102, ""sap_m"": 0.17333, ""sap_l"": 0.61327, ""skip"": 2.93, ""eff_mean_ms"": 22.812, ""infer_mean_ms"": 22.812}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12151, ""sap_s"": 0.00049, ""sap_m"": 0.18138, ""sap_l"": 0.33931, ""skip"": 1.8, ""eff_mean_ms"": 20.955, ""infer_mean_ms"": 20.955}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08367, ""sap_s"": 0.0014, ""sap_m"": 0.02465, ""sap_l"": 0.21257, ""skip"": 0.91, ""eff_mean_ms"": 20.405, ""infer_mean_ms"": 20.404}]"
c16,cpu_stress,16,AllNPU,1,1783075721.905,1783075734.447,0.08354,0.12627,0.11514,0.09118,0.00356,0.13048,0.43273,0.0,0.4,-12.316,78.1,19.6,12.1,24.1,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10899, ""sap_s"": 0.01134, ""sap_m"": 0.14252, ""sap_l"": 0.56585, ""skip"": 0.46, ""eff_mean_ms"": 21.223, ""infer_mean_ms"": 21.223}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19124, ""sap_s"": 0.00101, ""sap_m"": 0.17333, ""sap_l"": 0.61395, ""skip"": 0.0, ""eff_mean_ms"": 21.17, ""infer_mean_ms"": 21.169}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.1213, ""sap_s"": 0.00049, ""sap_m"": 0.18163, ""sap_l"": 0.33871, ""skip"": 0.45, ""eff_mean_ms"": 20.757, ""infer_mean_ms"": 20.757}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08354, ""sap_s"": 0.0014, ""sap_m"": 0.02444, ""sap_l"": 0.2124, ""skip"": 0.68, ""eff_mean_ms"": 20.921, ""infer_mean_ms"": 20.921}]"
c16,cpu_stress,16,AllNPU,2,1783075734.449,1783075747.374,0.08152,0.12466,0.11331,0.08912,0.00353,0.12769,0.42878,0.0,2.37,-11.719,78.8,19.6,10.5,17.4,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10684, ""sap_s"": 0.01124, ""sap_m"": 0.13722, ""sap_l"": 0.55528, ""skip"": 2.73, ""eff_mean_ms"": 22.471, ""infer_mean_ms"": 22.47}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19053, ""sap_s"": 0.00099, ""sap_m"": 0.17286, ""sap_l"": 0.61089, ""skip"": 4.05, ""eff_mean_ms"": 22.489, ""infer_mean_ms"": 22.488}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.11977, ""sap_s"": 0.00049, ""sap_m"": 0.17804, ""sap_l"": 0.33785, ""skip"": 1.57, ""eff_mean_ms"": 20.75, ""infer_mean_ms"": 20.749}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08152, ""sap_s"": 0.0014, ""sap_m"": 0.02264, ""sap_l"": 0.21109, ""skip"": 1.14, ""eff_mean_ms"": 20.749, ""infer_mean_ms"": 20.749}]"
c24,cpu_stress,24,AllGPU,0,1783075748.389,1783075768.518,0.08195,0.12234,0.10397,0.08686,0.00606,0.13193,0.37014,59.73,0.0,2.318,100.0,24.0,24.1,77.8,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.0983, ""sap_s"": 0.01323, ""sap_m"": 0.11612, ""sap_l"": 0.45883, ""skip"": 52.9, ""eff_mean_ms"": 34.085, ""infer_mean_ms"": 34.085}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.19947, ""sap_s"": 0.00115, ""sap_m"": 0.19008, ""sap_l"": 0.60894, ""skip"": 56.4, ""eff_mean_ms"": 34.727, ""infer_mean_ms"": 34.726}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.10965, ""sap_s"": 0.00197, ""sap_m"": 0.19902, ""sap_l"": 0.20698, ""skip"": 60.66, ""eff_mean_ms"": 36.165, ""infer_mean_ms"": 36.165}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.08195, ""sap_s"": 0.0079, ""sap_m"": 0.02252, ""sap_l"": 0.20581, ""skip"": 68.95, ""eff_mean_ms"": 37.628, ""infer_mean_ms"": 37.628}]"
c24,cpu_stress,24,AllGPU,1,1783075768.519,1783075788.941,0.07341,0.11788,0.09817,0.07891,0.00628,0.13125,0.35724,62.64,0.0,4.044,100.0,24.0,22.0,79.2,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.09174, ""sap_s"": 0.0132, ""sap_m"": 0.10652, ""sap_l"": 0.42972, ""skip"": 70.83, ""eff_mean_ms"": 38.955, ""infer_mean_ms"": 38.954}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.20176, ""sap_s"": 0.00144, ""sap_m"": 0.19249, ""sap_l"": 0.61602, ""skip"": 45.24, ""eff_mean_ms"": 33.191, ""infer_mean_ms"": 33.19}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.10459, ""sap_s"": 0.0023, ""sap_m"": 0.21276, ""sap_l"": 0.1843, ""skip"": 68.31, ""eff_mean_ms"": 39.035, ""infer_mean_ms"": 39.035}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.07341, ""sap_s"": 0.00818, ""sap_m"": 0.01323, ""sap_l"": 0.19893, ""skip"": 66.2, ""eff_mean_ms"": 38.329, ""infer_mean_ms"": 38.328}]"
c24,cpu_stress,24,AllGPU,2,1783075788.947,1783075810.386,0.07456,0.11729,0.09937,0.07898,0.00602,0.12651,0.36182,65.46,0.0,4.655,100.0,24.0,21.9,78.8,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.08929, ""sap_s"": 0.01249, ""sap_m"": 0.09753, ""sap_l"": 0.39982, ""skip"": 74.71, ""eff_mean_ms"": 40.896, ""infer_mean_ms"": 40.896}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.19586, ""sap_s"": 0.00138, ""sap_m"": 0.19087, ""sap_l"": 0.59488, ""skip"": 61.88, ""eff_mean_ms"": 37.489, ""infer_mean_ms"": 37.488}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.10946, ""sap_s"": 0.00173, ""sap_m"": 0.20417, ""sap_l"": 0.25432, ""skip"": 60.41, ""eff_mean_ms"": 36.614, ""infer_mean_ms"": 36.614}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.07456, ""sap_s"": 0.00849, ""sap_m"": 0.01347, ""sap_l"": 0.19825, ""skip"": 64.85, ""eff_mean_ms"": 36.955, ""infer_mean_ms"": 36.954}]"
c24,cpu_stress,24,AllNPU,0,1783075810.392,1783075830.113,0.06804,0.11455,0.10478,0.07742,0.00328,0.11968,0.39843,0.0,26.25,-3.125,100.0,24.0,13.4,54.6,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.09929, ""sap_s"": 0.01046, ""sap_m"": 0.12027, ""sap_l"": 0.52589, ""skip"": 20.82, ""eff_mean_ms"": 29.021, ""infer_mean_ms"": 29.02}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.18063, ""sap_s"": 0.00098, ""sap_m"": 0.17209, ""sap_l"": 0.57159, ""skip"": 46.21, ""eff_mean_ms"": 33.193, ""infer_mean_ms"": 33.193}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.11026, ""sap_s"": 0.00043, ""sap_m"": 0.17225, ""sap_l"": 0.30824, ""skip"": 12.16, ""eff_mean_ms"": 27.704, ""infer_mean_ms"": 27.704}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.06804, ""sap_s"": 0.00125, ""sap_m"": 0.01413, ""sap_l"": 0.18799, ""skip"": 25.8, ""eff_mean_ms"": 30.916, ""infer_mean_ms"": 30.915}]"
c24,cpu_stress,24,AllNPU,1,1783075830.116,1783075849.821,0.07555,0.11356,0.09734,0.08192,0.0032,0.11862,0.37865,0.0,24.83,-3.255,100.0,24.0,4.3,19.4,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.09791, ""sap_s"": 0.01018, ""sap_m"": 0.11508, ""sap_l"": 0.48239, ""skip"": 24.83, ""eff_mean_ms"": 30.361, ""infer_mean_ms"": 30.36}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.18403, ""sap_s"": 0.00088, ""sap_m"": 0.17249, ""sap_l"": 0.58499, ""skip"": 37.59, ""eff_mean_ms"": 31.877, ""infer_mean_ms"": 31.877}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.09677, ""sap_s"": 0.00029, ""sap_m"": 0.16926, ""sap_l"": 0.24501, ""skip"": 24.15, ""eff_mean_ms"": 30.484, ""infer_mean_ms"": 30.483}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.07555, ""sap_s"": 0.00143, ""sap_m"": 0.01764, ""sap_l"": 0.20221, ""skip"": 12.76, ""eff_mean_ms"": 27.592, ""infer_mean_ms"": 27.591}]"
c24,cpu_stress,24,AllNPU,2,1783075849.823,1783075869.294,0.08073,0.11546,0.09884,0.08453,0.00328,0.1196,0.40146,0.0,29.06,-3.43,100.0,24.0,5.0,18.6,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10428, ""sap_s"": 0.01132, ""sap_m"": 0.12687, ""sap_l"": 0.51401, ""skip"": 9.79, ""eff_mean_ms"": 27.193, ""infer_mean_ms"": 27.193}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.18344, ""sap_s"": 0.00099, ""sap_m"": 0.17371, ""sap_l"": 0.58303, ""skip"": 29.09, ""eff_mean_ms"": 30.233, ""infer_mean_ms"": 30.233}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.0934, ""sap_s"": 0.00025, ""sap_m"": 0.15711, ""sap_l"": 0.30066, ""skip"": 71.21, ""eff_mean_ms"": 36.703, ""infer_mean_ms"": 36.703}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08073, ""sap_s"": 0.00057, ""sap_m"": 0.02072, ""sap_l"": 0.20813, ""skip"": 6.15, ""eff_mean_ms"": 25.483, ""infer_mean_ms"": 25.482}]"
anchor_llmcpu,tinyllama_cpu,-1,AllGPU,0,1783075869.3,1783075880.933,0.11487,0.15058,0.13815,0.11669,0.00777,0.16739,0.45797,0.57,0.0,-13.859,44.5,10.7,36.1,93.0,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12095, ""sap_s"": 0.0162, ""sap_m"": 0.17435, ""sap_l"": 0.57483, ""skip"": 0.68, ""eff_mean_ms"": 19.932, ""infer_mean_ms"": 19.931}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21117, ""sap_s"": 0.00143, ""sap_m"": 0.19294, ""sap_l"": 0.64714, ""skip"": 0.45, ""eff_mean_ms"": 19.73, ""infer_mean_ms"": 19.73}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.15535, ""sap_s"": 0.00344, ""sap_m"": 0.25541, ""sap_l"": 0.34865, ""skip"": 0.45, ""eff_mean_ms"": 19.195, ""infer_mean_ms"": 19.195}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11487, ""sap_s"": 0.01002, ""sap_m"": 0.04684, ""sap_l"": 0.26128, ""skip"": 0.68, ""eff_mean_ms"": 19.042, ""infer_mean_ms"": 19.042}]"
anchor_llmcpu,tinyllama_cpu,-1,AllGPU,1,1783075880.934,1783075892.25,0.11489,0.15073,0.13845,0.11684,0.00783,0.16802,0.45857,0.0,0.0,-14.435,41.1,10.1,39.1,98.9,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.1214, ""sap_s"": 0.01643, ""sap_m"": 0.17496, ""sap_l"": 0.57719, ""skip"": 0.0, ""eff_mean_ms"": 19.077, ""infer_mean_ms"": 19.076}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21113, ""sap_s"": 0.00143, ""sap_m"": 0.19297, ""sap_l"": 0.64695, ""skip"": 0.0, ""eff_mean_ms"": 19.138, ""infer_mean_ms"": 19.138}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.1555, ""sap_s"": 0.00345, ""sap_m"": 0.25732, ""sap_l"": 0.34877, ""skip"": 0.0, ""eff_mean_ms"": 18.778, ""infer_mean_ms"": 18.778}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11489, ""sap_s"": 0.01001, ""sap_m"": 0.04685, ""sap_l"": 0.26138, ""skip"": 0.0, ""eff_mean_ms"": 18.601, ""infer_mean_ms"": 18.601}]"
anchor_llmcpu,tinyllama_cpu,-1,AllGPU,2,1783075892.252,1783075903.891,0.11487,0.15037,0.13782,0.11667,0.00784,0.16769,0.45405,1.02,0.0,-13.614,44.4,10.7,35.4,99.1,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12087, ""sap_s"": 0.01642, ""sap_m"": 0.17351, ""sap_l"": 0.56056, ""skip"": 1.14, ""eff_mean_ms"": 19.94, ""infer_mean_ms"": 19.939}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21097, ""sap_s"": 0.00143, ""sap_m"": 0.19308, ""sap_l"": 0.64668, ""skip"": 1.35, ""eff_mean_ms"": 19.95, ""infer_mean_ms"": 19.949}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.15476, ""sap_s"": 0.00352, ""sap_m"": 0.25722, ""sap_l"": 0.34754, ""skip"": 1.12, ""eff_mean_ms"": 19.793, ""infer_mean_ms"": 19.793}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11487, ""sap_s"": 0.01001, ""sap_m"": 0.04695, ""sap_l"": 0.26144, ""skip"": 0.46, ""eff_mean_ms"": 19.194, ""infer_mean_ms"": 19.194}]"
anchor_llmcpu,tinyllama_cpu,-1,AllNPU,0,1783075903.893,1783075915.809,0.08355,0.12628,0.11518,0.09117,0.00356,0.13039,0.43278,0.0,0.62,-12.438,43.0,10.7,7.7,61.5,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10895, ""sap_s"": 0.01134, ""sap_m"": 0.14218, ""sap_l"": 0.56622, ""skip"": 0.46, ""eff_mean_ms"": 21.182, ""infer_mean_ms"": 21.182}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.1912, ""sap_s"": 0.00101, ""sap_m"": 0.17333, ""sap_l"": 0.61345, ""skip"": 0.9, ""eff_mean_ms"": 21.326, ""infer_mean_ms"": 21.325}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12141, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33883, ""skip"": 0.67, ""eff_mean_ms"": 20.471, ""infer_mean_ms"": 20.47}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08355, ""sap_s"": 0.0014, ""sap_m"": 0.02444, ""sap_l"": 0.2126, ""skip"": 0.46, ""eff_mean_ms"": 20.602, ""infer_mean_ms"": 20.602}]"
anchor_llmcpu,tinyllama_cpu,-1,AllNPU,1,1783075915.811,1783075927.172,0.0836,0.12632,0.11522,0.09122,0.00356,0.13048,0.43288,0.0,0.0,-13.991,40.7,10.5,5.8,34.0,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.109, ""sap_s"": 0.01134, ""sap_m"": 0.14256, ""sap_l"": 0.56587, ""skip"": 0.0, ""eff_mean_ms"": 20.257, ""infer_mean_ms"": 20.256}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19124, ""sap_s"": 0.00101, ""sap_m"": 0.17333, ""sap_l"": 0.61395, ""skip"": 0.0, ""eff_mean_ms"": 19.343, ""infer_mean_ms"": 19.342}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12145, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33898, ""skip"": 0.0, ""eff_mean_ms"": 19.385, ""infer_mean_ms"": 19.385}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0836, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.21271, ""skip"": 0.0, ""eff_mean_ms"": 18.384, ""infer_mean_ms"": 18.383}]"
