point,cotenant,c,placement,rep,t_start,t_end,worst_sap,mean_sap,median_sap,p10_sap,sap_small,sap_medium,sap_large,gpu_skip_pct,npu_skip_pct,deadline_margin_ms_mean,cpu_pct_mean,cpu_nbusy_mean,gpu_util_mean,power_w_mean,per_stream_json
c2,cpu_stress,2,AllNPU,1,1783075510.058,1783075520.953,0.0836,0.12627,0.11519,0.0912,0.00355,0.13034,0.43264,0.0,0.28,-15.006,26.2,6.6,7.2,59.9,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10893, ""sap_s"": 0.0113, ""sap_m"": 0.14212, ""sap_l"": 0.56494, ""skip"": 0.46, ""eff_mean_ms"": 18.237, ""infer_mean_ms"": 18.237}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19112, ""sap_s"": 0.00101, ""sap_m"": 0.17322, ""sap_l"": 0.61392, ""skip"": 0.67, ""eff_mean_ms"": 19.407, ""infer_mean_ms"": 19.407}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12145, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33898, ""skip"": 0.0, ""eff_mean_ms"": 17.778, ""infer_mean_ms"": 17.778}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0836, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.21271, ""skip"": 0.0, ""eff_mean_ms"": 17.887, ""infer_mean_ms"": 17.886}]"
c2,cpu_stress,2,AllNPU,2,1783075520.953,1783075531.814,0.08336,0.12619,0.11511,0.09103,0.00356,0.13028,0.43279,0.0,0.46,-14.08,27.7,6.7,34.1,76.8,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10891, ""sap_s"": 0.01134, ""sap_m"": 0.14192, ""sap_l"": 0.5658, ""skip"": 0.46, ""eff_mean_ms"": 19.179, ""infer_mean_ms"": 19.179}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19119, ""sap_s"": 0.00101, ""sap_m"": 0.1731, ""sap_l"": 0.6139, ""skip"": 0.45, ""eff_mean_ms"": 19.351, ""infer_mean_ms"": 19.351}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12131, ""sap_s"": 0.00049, ""sap_m"": 0.18168, ""sap_l"": 0.33859, ""skip"": 0.45, ""eff_mean_ms"": 19.673, ""infer_mean_ms"": 19.672}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08336, ""sap_s"": 0.0014, ""sap_m"": 0.02443, ""sap_l"": 0.21286, ""skip"": 0.46, ""eff_mean_ms"": 18.81, ""infer_mean_ms"": 18.809}]"
c4,cpu_stress,4,AllGPU,0,1783075532.82,1783075542.497,0.11477,0.15047,0.13805,0.11669,0.00783,0.16782,0.45783,0.51,0.0,-17.556,32.7,8.1,41.2,141.6,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12118, ""sap_s"": 0.01645, ""sap_m"": 0.17482, ""sap_l"": 0.57563, ""skip"": 0.23, ""eff_mean_ms"": 15.895, ""infer_mean_ms"": 15.894}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21102, ""sap_s"": 0.00143, ""sap_m"": 0.19294, ""sap_l"": 0.64681, ""skip"": 0.67, ""eff_mean_ms"": 15.976, ""infer_mean_ms"": 15.976}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.15491, ""sap_s"": 0.00345, ""sap_m"": 0.25674, ""sap_l"": 0.34769, ""skip"": 0.9, ""eff_mean_ms"": 15.898, ""infer_mean_ms"": 15.898}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11477, ""sap_s"": 0.00997, ""sap_m"": 0.04679, ""sap_l"": 0.26121, ""skip"": 0.23, ""eff_mean_ms"": 15.341, ""infer_mean_ms"": 15.341}]"
c4,cpu_stress,4,AllGPU,1,1783075542.497,1783075552.09,0.11489,0.15048,0.13802,0.11671,0.00782,0.16767,0.45827,0.4,0.0,-17.927,30.4,7.5,39.5,145.6,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12097, ""sap_s"": 0.01641, ""sap_m"": 0.17392, ""sap_l"": 0.57682, ""skip"": 0.68, ""eff_mean_ms"": 15.621, ""infer_mean_ms"": 15.621}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21098, ""sap_s"": 0.00143, ""sap_m"": 0.19301, ""sap_l"": 0.64695, ""skip"": 0.45, ""eff_mean_ms"": 15.534, ""infer_mean_ms"": 15.534}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.15507, ""sap_s"": 0.00344, ""sap_m"": 0.25688, ""sap_l"": 0.34792, ""skip"": 0.45, ""eff_mean_ms"": 15.397, ""infer_mean_ms"": 15.396}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11489, ""sap_s"": 0.01001, ""sap_m"": 0.04685, ""sap_l"": 0.26138, ""skip"": 0.0, ""eff_mean_ms"": 15.073, ""infer_mean_ms"": 15.073}]"
c4,cpu_stress,4,AllGPU,2,1783075552.091,1783075561.913,0.11492,0.15054,0.13828,0.11681,0.00783,0.16788,0.4582,0.85,0.0,-16.534,34.2,8.2,38.8,144.1,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12122, ""sap_s"": 0.01644, ""sap_m"": 0.17457, ""sap_l"": 0.57669, ""skip"": 0.23, ""eff_mean_ms"": 16.757, ""infer_mean_ms"": 16.757}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21069, ""sap_s"": 0.00143, ""sap_m"": 0.1928, ""sap_l"": 0.64625, ""skip"": 0.9, ""eff_mean_ms"": 16.775, ""infer_mean_ms"": 16.775}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.15535, ""sap_s"": 0.00347, ""sap_m"": 0.2572, ""sap_l"": 0.34841, ""skip"": 0.9, ""eff_mean_ms"": 16.75, ""infer_mean_ms"": 16.75}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11492, ""sap_s"": 0.01, ""sap_m"": 0.04697, ""sap_l"": 0.26146, ""skip"": 1.37, ""eff_mean_ms"": 16.917, ""infer_mean_ms"": 16.916}]"
c4,cpu_stress,4,AllNPU,0,1783075561.914,1783075573.934,0.0836,0.12627,0.1151,0.09115,0.00356,0.13009,0.4328,0.0,0.4,-14.115,32.6,8.1,3.3,71.3,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10875, ""sap_s"": 0.01133, ""sap_m"": 0.14077, ""sap_l"": 0.5656, ""skip"": 1.14, ""eff_mean_ms"": 22.315, ""infer_mean_ms"": 22.315}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19127, ""sap_s"": 0.00101, ""sap_m"": 0.17342, ""sap_l"": 0.61393, ""skip"": 0.22, ""eff_mean_ms"": 18.784, ""infer_mean_ms"": 18.784}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12145, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33898, ""skip"": 0.0, ""eff_mean_ms"": 17.984, ""infer_mean_ms"": 17.983}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0836, ""sap_s"": 0.0014, ""sap_m"": 0.02458, ""sap_l"": 0.21269, ""skip"": 0.23, ""eff_mean_ms"": 17.79, ""infer_mean_ms"": 17.79}]"
c4,cpu_stress,4,AllNPU,1,1783075573.935,1783075585.821,0.0836,0.12629,0.11517,0.09119,0.00356,0.1303,0.43269,0.0,0.28,-13.395,37.8,8.8,10.2,57.6,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.1089, ""sap_s"": 0.01133, ""sap_m"": 0.14179, ""sap_l"": 0.56522, ""skip"": 0.68, ""eff_mean_ms"": 22.027, ""infer_mean_ms"": 22.027}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19123, ""sap_s"": 0.00101, ""sap_m"": 0.17335, ""sap_l"": 0.61386, ""skip"": 0.22, ""eff_mean_ms"": 19.777, ""infer_mean_ms"": 19.777}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12145, ""sap_s"": 0.00049, ""sap_m"": 0.18161, ""sap_l"": 0.33897, ""skip"": 0.22, ""eff_mean_ms"": 19.153, ""infer_mean_ms"": 19.152}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0836, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.21271, ""skip"": 0.0, ""eff_mean_ms"": 18.796, ""infer_mean_ms"": 18.795}]"
c4,cpu_stress,4,AllNPU,2,1783075585.822,1783075597.665,0.08342,0.12571,0.11408,0.09099,0.00357,0.12974,0.42875,0.0,0.62,-13.283,32.9,7.7,7.8,30.6,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10865, ""sap_s"": 0.01139, ""sap_m"": 0.14177, ""sap_l"": 0.5631, ""skip"": 0.91, ""eff_mean_ms"": 20.332, ""infer_mean_ms"": 20.332}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19124, ""sap_s"": 0.00101, ""sap_m"": 0.17335, ""sap_l"": 0.61395, ""skip"": 0.22, ""eff_mean_ms"": 19.714, ""infer_mean_ms"": 19.713}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.11952, ""sap_s"": 0.00049, ""sap_m"": 0.17967, ""sap_l"": 0.32544, ""skip"": 0.9, ""eff_mean_ms"": 21.51, ""infer_mean_ms"": 21.51}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08342, ""sap_s"": 0.0014, ""sap_m"": 0.02416, ""sap_l"": 0.21252, ""skip"": 0.46, ""eff_mean_ms"": 18.647, ""infer_mean_ms"": 18.647}]"
c8,cpu_stress,8,AllGPU,0,1783075598.673,1783075610.601,0.11484,0.1504,0.13791,0.11661,0.00784,0.16765,0.45598,0.91,0.0,-14.195,49.1,11.7,34.5,94.1,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12073, ""sap_s"": 0.01645, ""sap_m"": 0.17355, ""sap_l"": 0.5686, ""skip"": 1.37, ""eff_mean_ms"": 19.693, ""infer_mean_ms"": 19.693}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21092, ""sap_s"": 0.00142, ""sap_m"": 0.19305, ""sap_l"": 0.64633, ""skip"": 1.12, ""eff_mean_ms"": 19.337, ""infer_mean_ms"": 19.336}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.15509, ""sap_s"": 0.00348, ""sap_m"": 0.25724, ""sap_l"": 0.34794, ""skip"": 0.45, ""eff_mean_ms"": 18.972, ""infer_mean_ms"": 18.971}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11484, ""sap_s"": 0.01002, ""sap_m"": 0.04675, ""sap_l"": 0.26104, ""skip"": 0.68, ""eff_mean_ms"": 18.551, ""infer_mean_ms"": 18.55}]"
c8,cpu_stress,8,AllGPU,1,1783075610.603,1783075622.484,0.11488,0.15063,0.13837,0.11683,0.0078,0.16728,0.45825,0.34,0.0,-13.903,49.9,12.0,35.7,98.1,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12138, ""sap_s"": 0.01631, ""sap_m"": 0.17492, ""sap_l"": 0.57617, ""skip"": 0.23, ""eff_mean_ms"": 19.801, ""infer_mean_ms"": 19.801}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21089, ""sap_s"": 0.00142, ""sap_m"": 0.19201, ""sap_l"": 0.64666, ""skip"": 0.45, ""eff_mean_ms"": 19.549, ""infer_mean_ms"": 19.548}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.15536, ""sap_s"": 0.00346, ""sap_m"": 0.25522, ""sap_l"": 0.34867, ""skip"": 0.22, ""eff_mean_ms"": 19.224, ""infer_mean_ms"": 19.223}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11488, ""sap_s"": 0.01, ""sap_m"": 0.04696, ""sap_l"": 0.2615, ""skip"": 0.46, ""eff_mean_ms"": 19.147, ""infer_mean_ms"": 19.146}]"
