resnet_k,gpu_skip,strategy,worst_sap,worst_std,npu_skip,reps
0,0.0,All-GPU,0.1034,0.0,0.0,3
0,0.0,All-NPU,0.0817,0.0,0.1,3
1,29.7,All-GPU,0.0813,0.0015,0.0,3
1,0.0,All-NPU,0.0815,0.0002,0.3,3
2,45.5,All-GPU,0.072,0.0011,0.0,3
2,0.0,All-NPU,0.0817,0.0,0.2,3
4,58.2,All-GPU,0.067,0.0012,0.0,3
4,0.0,All-NPU,0.0817,0.0,0.2,3
8,72.1,All-GPU,0.0571,0.0008,0.0,3
8,0.0,All-NPU,0.0817,0.0,0.3,3
