bg,N,strategy,worst_sap,worst_std,mean_sap,gpu_skip,npu_skip,reps
L3_vlm,4,All-GPU,0.0154,0.0015,0.0522,97.6,0.0,3
L3_vlm,4,All-NPU,0.08,0.0,0.1314,0.0,0.3,3
L1_light,4,All-GPU,0.0882,0.0011,0.1429,18.9,0.0,3
L1_light,4,All-NPU,0.0799,0.0001,0.1314,0.0,0.2,3
L2_lm,4,All-GPU,0.0536,0.0021,0.1058,79.9,0.0,3
L2_lm,4,All-NPU,0.0456,0.0014,0.093,0.0,67.8,3
