resnet_k,gpu_skip,strategy,worst_sap,worst_std,npu_skip,reps
0,0.4,All-GPU,0.1063,0.0002,0.0,3
0,0.0,All-NPU,0.0829,0.0008,1.9,3
1,61.5,All-GPU,0.0704,0.0013,0.0,3
1,0.0,All-NPU,0.0745,0.0016,15.2,3
2,75.8,All-GPU,0.0619,0.0009,0.0,3
2,0.0,All-NPU,0.0826,0.0005,5.1,3
4,83.1,All-GPU,0.0595,0.0007,0.0,3
4,0.0,All-NPU,0.0822,0.0012,4.7,3
8,89.2,All-GPU,0.0524,0.0005,0.0,3
8,0.0,All-NPU,0.0818,0.0013,3.6,3
