bg,N,strategy,worst_sap,worst_std,mean_sap,gpu_skip,npu_skip,reps
L3_vlm,4,All-GPU,0.0107,0.0005,0.044,100.0,0.0,3
L3_vlm,4,All-NPU,0.0795,0.0012,0.1326,0.0,10.9,3
L1_light,4,All-GPU,0.0683,0.001,0.1181,55.6,0.0,3
L1_light,4,All-NPU,0.0758,0.0016,0.1304,0.0,14.3,3
L2_lm,4,All-GPU,0.0477,0.0018,0.0951,92.6,0.0,3
L2_lm,4,All-NPU,0.0416,0.0006,0.0898,0.0,81.0,3
