size,gpu_mean,npu_mean,gap,rel_gap_pct,gpu_std,npu_std,reps,npu_skip,npu_infer_ms
small,0.012,0.0066,-0.0054,-44.8,0.0,0.0,3,0.0,9.8
medium,0.1552,0.1245,-0.0306,-19.7,0.0,0.0,3,0.0,9.8
large,0.4525,0.4319,-0.0206,-4.6,0.0,0.0,3,0.0,9.8
