# provenance: {"generated_at": "2026-07-29T18:41:17+09:00", "git_commit": "c37c5bd761fbbe8ea50202b2aca82eb9b17fca1b (pre-commit HEAD)", "alpha": 0.3, "beta": 1.0, "seed": 42, "input_data": ["/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json", "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json"], "experiment": "P6 view-level oof"}
platform,combination,model,dev,eff_fps,ratio_raw,target,pred
gpu,combination_343,yolo11s,gpu,89.856,0.3987,0.3987,0.4658
gpu,combination_343,yolo11m,cpu,18.106,0.0707,0.0707,0.0769
gpu,combination_343,yolo11l,gpu,27.936,0.8076,0.8076,0.7876
gpu,combination_333,mobilenet_v2,cpu,814.332,0.0557,0.0557,0.0517
gpu,combination_333,resnet50,gpu,314.664,0.1869,0.1869,0.2098
gpu,combination_333,yolo11s,cpu,44.928,0.0568,0.0568,0.0641
gpu,combination_333,yolo11m,gpu,36.212,0.8006,0.8006,0.7392
gpu,combination_333,yolo11l,cpu,13.968,0.0730,0.0730,0.0728
gpu,combination_308,mobilenet_v2,cpu,814.332,0.0533,0.0533,0.0506
gpu,combination_308,resnet50,cpu,157.332,0.0474,0.0474,0.0553
gpu,combination_308,yolo11s,gpu,44.928,0.7855,0.7855,0.7995
gpu,combination_308,yolo11m,gpu,18.106,0.8539,0.8539,0.8628
gpu,combination_308,yolo11l,gpu,13.968,0.8706,0.8706,0.8841
gpu,combination_311,mobilenet_v2,cpu,814.332,0.0331,0.0331,0.0310
gpu,combination_311,resnet50,cpu,157.332,0.0232,0.0232,0.0267
gpu,combination_311,yolo11s,gpu,67.392,0.3732,0.3732,0.3936
gpu,combination_311,yolo11m,cpu,18.106,0.0403,0.0403,0.0381
gpu,combination_311,yolo11l,cpu,13.968,0.0372,0.0372,0.0376
gpu,combination_305,mobilenet_v2,gpu,814.332,0.1357,0.1357,0.1527
gpu,combination_305,resnet50,gpu,157.332,0.6461,0.6461,0.6479
gpu,combination_305,yolo11s,gpu,44.928,0.9079,0.9079,0.9063
gpu,combination_305,yolo11m,gpu,18.106,0.9533,0.9533,0.9508
gpu,combination_305,yolo11l,gpu,13.968,0.9629,0.9629,0.9619
gpu,combination_313,mobilenet_v2,cpu,814.332,0.0518,0.0518,0.0506
gpu,combination_313,resnet50,gpu,235.998,0.2703,0.2703,0.2519
gpu,combination_313,yolo11s,cpu,44.928,0.0599,0.0599,0.0616
gpu,combination_313,yolo11m,gpu,27.159,0.8303,0.8303,0.8042
gpu,combination_313,yolo11l,cpu,13.968,0.0737,0.0737,0.0713
gpu,combination_344,mobilenet_v2,gpu,1285.347,0.0608,0.0608,0.0609
gpu,combination_344,resnet50,cpu,157.332,0.0832,0.0832,0.0905
gpu,combination_344,yolo11s,gpu,89.856,0.4957,0.4957,0.5779
gpu,combination_344,yolo11m,gpu,36.212,0.8431,0.8431,0.8611
gpu,combination_344,yolo11l,gpu,27.936,0.8641,0.8641,0.8873
gpu,combination_299,mobilenet_v2,gpu,814.332,0.0975,0.0975,0.1001
gpu,combination_299,resnet50,cpu,157.332,0.0870,0.0870,0.0862
gpu,combination_299,yolo11s,cpu,44.928,0.1120,0.1120,0.1057
gpu,combination_299,yolo11m,gpu,18.106,0.9130,0.9130,0.8888
gpu,combination_299,yolo11l,gpu,13.968,0.9286,0.9286,0.9019
gpu,combination_317,mobilenet_v2,cpu,814.332,0.0389,0.0389,0.0384
gpu,combination_317,resnet50,gpu,235.998,0.2357,0.2357,0.2304
gpu,combination_317,yolo11s,cpu,44.928,0.0418,0.0418,0.0435
gpu,combination_317,yolo11m,gpu,27.159,0.8038,0.8038,0.7741
gpu,combination_317,yolo11l,cpu,13.968,0.0508,0.0508,0.0488
gpu,combination_326,mobilenet_v2,cpu,814.332,0.0282,0.0282,0.0311
gpu,combination_326,resnet50,cpu,157.332,0.0231,0.0231,0.0268
gpu,combination_326,yolo11s,cpu,44.928,0.0323,0.0323,0.0336
gpu,combination_326,yolo11m,cpu,18.106,0.0403,0.0403,0.0379
gpu,combination_326,yolo11l,gpu,20.952,0.8372,0.8372,0.7962
gpu,combination_334,mobilenet_v2,cpu,814.332,0.0665,0.0665,0.0794
gpu,combination_334,resnet50,gpu,314.664,0.2316,0.2316,0.2502
gpu,combination_334,yolo11s,gpu,89.856,0.5382,0.5382,0.5496
gpu,combination_334,yolo11m,cpu,18.106,0.1259,0.1259,0.1247
gpu,combination_334,yolo11l,gpu,27.936,0.8530,0.8530,0.8501
gpu,combination_319,mobilenet_v2,gpu,1221.498,0.0636,0.0636,0.0612
gpu,combination_319,resnet50,cpu,157.332,0.0876,0.0876,0.0847
gpu,combination_319,yolo11s,cpu,44.928,0.1066,0.1066,0.1020
gpu,combination_319,yolo11m,gpu,27.159,0.8767,0.8767,0.8456
gpu,combination_319,yolo11l,gpu,20.952,0.8930,0.8930,0.8573
gpu,combination_316,mobilenet_v2,cpu,814.332,0.0327,0.0327,0.0314
gpu,combination_316,resnet50,cpu,157.332,0.0271,0.0271,0.0258
gpu,combination_316,yolo11s,cpu,44.928,0.0354,0.0354,0.0334
gpu,combination_316,yolo11m,cpu,18.106,0.0398,0.0398,0.0377
gpu,combination_316,yolo11l,cpu,13.968,0.0408,0.0408,0.0373
gpu,combination_320,mobilenet_v2,cpu,814.332,0.1224,0.1224,0.1292
gpu,combination_320,resnet50,gpu,235.998,0.4256,0.4256,0.4533
gpu,combination_320,yolo11s,gpu,67.392,0.7517,0.7517,0.6390
gpu,combination_320,yolo11m,gpu,27.159,0.9316,0.9316,0.9108
gpu,combination_320,yolo11l,gpu,20.952,0.9464,0.9464,0.9166
gpu,combination_346,mobilenet_v2,cpu,814.332,0.0322,0.0322,0.0319
gpu,combination_346,resnet50,cpu,157.332,0.0232,0.0232,0.0279
gpu,combination_346,yolo11s,cpu,44.928,0.0312,0.0312,0.0352
gpu,combination_346,yolo11m,cpu,18.106,0.0403,0.0403,0.0408
gpu,combination_346,yolo11l,gpu,27.936,0.6647,0.6647,0.6789
gpu,combination_321,mobilenet_v2,cpu,814.332,0.0289,0.0289,0.0311
gpu,combination_321,resnet50,cpu,157.332,0.0264,0.0264,0.0268
gpu,combination_321,yolo11s,cpu,44.928,0.0338,0.0338,0.0336
gpu,combination_321,yolo11m,gpu,27.159,0.8012,0.8012,0.7835
gpu,combination_321,yolo11l,cpu,13.968,0.0387,0.0387,0.0374
gpu,combination_289,mobilenet_v2,cpu,814.332,0.0247,0.0247,0.0248
gpu,combination_289,resnet50,cpu,157.332,0.0210,0.0210,0.0184
gpu,combination_289,yolo11s,cpu,44.928,0.0260,0.0260,0.0257
gpu,combination_289,yolo11m,cpu,18.106,0.0304,0.0304,0.0308
gpu,combination_289,yolo11l,cpu,13.968,0.0301,0.0301,0.0304
gpu,combination_292,mobilenet_v2,cpu,814.332,0.0425,0.0425,0.0410
gpu,combination_292,resnet50,cpu,157.332,0.0315,0.0315,0.0363
gpu,combination_292,yolo11s,cpu,44.928,0.0432,0.0432,0.0443
gpu,combination_292,yolo11m,gpu,18.106,0.8550,0.8550,0.8449
gpu,combination_292,yolo11l,gpu,13.968,0.8720,0.8720,0.8668
gpu,combination_331,mobilenet_v2,cpu,814.332,0.0309,0.0309,0.0317
gpu,combination_331,resnet50,cpu,157.332,0.0247,0.0247,0.0278
gpu,combination_331,yolo11s,gpu,89.856,0.2855,0.2855,0.3211
gpu,combination_331,yolo11m,cpu,18.106,0.0414,0.0414,0.0409
gpu,combination_331,yolo11l,cpu,13.968,0.0379,0.0379,0.0402
gpu,combination_294,mobilenet_v2,cpu,814.332,0.0715,0.0715,0.0745
gpu,combination_294,resnet50,gpu,157.332,0.4630,0.4630,0.4780
gpu,combination_294,yolo11s,gpu,44.928,0.8449,0.8449,0.8394
gpu,combination_294,yolo11m,cpu,18.106,0.1381,0.1381,0.1271
gpu,combination_294,yolo11l,gpu,13.968,0.9142,0.9142,0.8966
gpu,combination_332,mobilenet_v2,cpu,814.332,0.0389,0.0389,0.0406
gpu,combination_332,resnet50,cpu,157.332,0.0317,0.0317,0.0365
gpu,combination_332,yolo11s,cpu,44.928,0.0403,0.0403,0.0474
gpu,combination_332,yolo11m,gpu,36.212,0.7208,0.7208,0.7152
gpu,combination_332,yolo11l,gpu,27.936,0.7807,0.7807,0.7500
gpu,combination_290,mobilenet_v2,gpu,814.332,0.1690,0.1690,0.1769
gpu,combination_290,resnet50,gpu,157.332,0.7498,0.7498,0.7061
gpu,combination_290,yolo11s,gpu,44.928,0.9268,0.9268,0.9122
gpu,combination_290,yolo11m,gpu,18.106,0.9676,0.9676,0.9609
gpu,combination_290,yolo11l,gpu,13.968,0.9751,0.9751,0.9729
gpu,combination_325,mobilenet_v2,gpu,1221.498,0.0856,0.0856,0.0763
gpu,combination_325,resnet50,gpu,235.998,0.4431,0.4431,0.4667
gpu,combination_325,yolo11s,gpu,67.392,0.8099,0.8099,0.6687
gpu,combination_325,yolo11m,gpu,27.159,0.9271,0.9271,0.9201
gpu,combination_325,yolo11l,gpu,20.952,0.9393,0.9393,0.9263
gpu,combination_314,mobilenet_v2,cpu,814.332,0.0676,0.0676,0.0717
gpu,combination_314,resnet50,gpu,235.998,0.3130,0.3130,0.3241
gpu,combination_314,yolo11s,gpu,67.392,0.6738,0.6738,0.6351
gpu,combination_314,yolo11m,cpu,18.106,0.1331,0.1331,0.1174
gpu,combination_314,yolo11l,gpu,20.952,0.8763,0.8763,0.8626
gpu,combination_336,mobilenet_v2,cpu,814.332,0.0247,0.0247,0.0347
gpu,combination_336,resnet50,cpu,157.332,0.0283,0.0283,0.0292
gpu,combination_336,yolo11s,cpu,44.928,0.0345,0.0345,0.0360
gpu,combination_336,yolo11m,cpu,18.106,0.0425,0.0425,0.0419
gpu,combination_336,yolo11l,cpu,13.968,0.0408,0.0408,0.0410
gpu,combination_307,mobilenet_v2,gpu,814.332,0.0702,0.0702,0.0825
gpu,combination_307,resnet50,cpu,157.332,0.0301,0.0301,0.0359
gpu,combination_307,yolo11s,cpu,44.928,0.0434,0.0434,0.0436
gpu,combination_307,yolo11m,gpu,18.106,0.8682,0.8682,0.8364
gpu,combination_307,yolo11l,cpu,13.968,0.0480,0.0480,0.0515
gpu,combination_324,mobilenet_v2,gpu,1221.498,0.0661,0.0661,0.0640
gpu,combination_324,resnet50,cpu,157.332,0.0835,0.0835,0.0977
gpu,combination_324,yolo11s,gpu,67.392,0.7106,0.7106,0.6423
gpu,combination_324,yolo11m,gpu,27.159,0.8671,0.8671,0.8773
gpu,combination_324,yolo11l,gpu,20.952,0.8830,0.8830,0.8833
gpu,combination_340,mobilenet_v2,cpu,814.332,0.1191,0.1191,0.1338
gpu,combination_340,resnet50,gpu,314.664,0.3126,0.3126,0.3644
gpu,combination_340,yolo11s,gpu,89.856,0.4629,0.4629,0.5347
gpu,combination_340,yolo11m,gpu,36.212,0.9025,0.9025,0.8785
gpu,combination_340,yolo11l,gpu,27.936,0.9192,0.9192,0.8981
gpu,combination_315,mobilenet_v2,gpu,1221.498,0.0781,0.0781,0.0775
gpu,combination_315,resnet50,gpu,235.998,0.4042,0.4042,0.4253
gpu,combination_315,yolo11s,gpu,67.392,0.7014,0.7014,0.6155
gpu,combination_315,yolo11m,cpu,18.106,0.4070,0.4070,0.3959
gpu,combination_315,yolo11l,gpu,20.952,0.9169,0.9169,0.9125
gpu,combination_306,mobilenet_v2,cpu,814.332,0.0314,0.0314,0.0320
gpu,combination_306,resnet50,cpu,157.332,0.0222,0.0222,0.0268
gpu,combination_306,yolo11s,cpu,44.928,0.0323,0.0323,0.0330
gpu,combination_306,yolo11m,cpu,18.106,0.0420,0.0420,0.0388
gpu,combination_306,yolo11l,gpu,13.968,0.8727,0.8727,0.8547
gpu,combination_341,mobilenet_v2,cpu,814.332,0.0287,0.0287,0.0319
gpu,combination_341,resnet50,cpu,157.332,0.0230,0.0230,0.0279
gpu,combination_341,yolo11s,cpu,44.928,0.0314,0.0314,0.0352
gpu,combination_341,yolo11m,gpu,36.212,0.6230,0.6230,0.6143
gpu,combination_341,yolo11l,cpu,13.968,0.0394,0.0394,0.0400
gpu,combination_295,mobilenet_v2,gpu,814.332,0.1179,0.1179,0.1153
gpu,combination_295,resnet50,gpu,157.332,0.5691,0.5691,0.5793
gpu,combination_295,yolo11s,gpu,44.928,0.8752,0.8752,0.8755
gpu,combination_295,yolo11m,cpu,18.106,0.4452,0.4452,0.4272
gpu,combination_295,yolo11l,gpu,13.968,0.9350,0.9350,0.9376
gpu,combination_328,mobilenet_v2,cpu,814.332,0.0519,0.0519,0.0531
gpu,combination_328,resnet50,cpu,157.332,0.0450,0.0450,0.0603
gpu,combination_328,yolo11s,gpu,67.392,0.5685,0.5685,0.5663
gpu,combination_328,yolo11m,gpu,27.159,0.8148,0.8148,0.8134
gpu,combination_328,yolo11l,gpu,20.952,0.8333,0.8333,0.8393
gpu,combination_345,mobilenet_v2,gpu,1285.347,0.0792,0.0792,0.0755
gpu,combination_345,resnet50,gpu,314.664,0.3236,0.3236,0.3903
gpu,combination_345,yolo11s,gpu,89.856,0.4848,0.4848,0.5479
gpu,combination_345,yolo11m,gpu,36.212,0.9033,0.9033,0.9132
gpu,combination_345,yolo11l,gpu,27.936,0.9221,0.9221,0.9154
gpu,combination_342,mobilenet_v2,gpu,1285.347,0.0425,0.0425,0.0346
gpu,combination_342,resnet50,cpu,157.332,0.0313,0.0313,0.0369
gpu,combination_342,yolo11s,gpu,89.856,0.3540,0.3540,0.3790
gpu,combination_342,yolo11m,cpu,18.106,0.0508,0.0508,0.0538
gpu,combination_342,yolo11l,cpu,13.968,0.0473,0.0473,0.0528
gpu,combination_298,mobilenet_v2,cpu,814.332,0.0540,0.0540,0.0514
gpu,combination_298,resnet50,gpu,157.332,0.3835,0.3835,0.3859
gpu,combination_298,yolo11s,gpu,44.928,0.7603,0.7603,0.7426
gpu,combination_298,yolo11m,cpu,18.106,0.0696,0.0696,0.0711
gpu,combination_298,yolo11l,cpu,13.968,0.0730,0.0730,0.0718
gpu,combination_322,mobilenet_v2,gpu,1221.498,0.0483,0.0483,0.0431
gpu,combination_322,resnet50,cpu,157.332,0.0327,0.0327,0.0345
gpu,combination_322,yolo11s,gpu,67.392,0.4271,0.4271,0.4972
gpu,combination_322,yolo11m,cpu,18.106,0.0497,0.0497,0.0493
gpu,combination_322,yolo11l,cpu,13.968,0.0465,0.0465,0.0487
gpu,combination_329,mobilenet_v2,cpu,814.332,0.0242,0.0242,0.0282
gpu,combination_329,resnet50,cpu,157.332,0.0207,0.0207,0.0223
gpu,combination_329,yolo11s,cpu,44.928,0.0225,0.0225,0.0301
gpu,combination_329,yolo11m,cpu,18.106,0.0359,0.0359,0.0357
gpu,combination_329,yolo11l,cpu,13.968,0.0301,0.0301,0.0351
gpu,combination_309,mobilenet_v2,cpu,814.332,0.0222,0.0222,0.0248
gpu,combination_309,resnet50,cpu,157.332,0.0226,0.0226,0.0193
gpu,combination_309,yolo11s,cpu,44.928,0.0283,0.0283,0.0272
gpu,combination_309,yolo11m,cpu,18.106,0.0287,0.0287,0.0314
gpu,combination_309,yolo11l,cpu,13.968,0.0329,0.0329,0.0310
gpu,combination_297,mobilenet_v2,cpu,814.332,0.0377,0.0377,0.0404
gpu,combination_297,resnet50,gpu,157.332,0.3385,0.3385,0.3335
gpu,combination_297,yolo11s,cpu,44.928,0.0376,0.0376,0.0438
gpu,combination_297,yolo11m,gpu,18.106,0.8528,0.8528,0.8323
gpu,combination_297,yolo11l,cpu,13.968,0.0494,0.0494,0.0516
gpu,combination_330,mobilenet_v2,gpu,1285.347,0.1042,0.1042,0.1016
gpu,combination_330,resnet50,gpu,314.664,0.4257,0.4257,0.4436
gpu,combination_330,yolo11s,gpu,89.856,0.3245,0.3245,0.4639
gpu,combination_330,yolo11m,gpu,36.212,0.9091,0.9091,0.8781
gpu,combination_330,yolo11l,gpu,27.936,0.9439,0.9439,0.8904
gpu,combination_291,mobilenet_v2,cpu,814.332,0.0312,0.0312,0.0320
gpu,combination_291,resnet50,cpu,157.332,0.0254,0.0254,0.0267
gpu,combination_291,yolo11s,gpu,44.928,0.4874,0.4874,0.5197
gpu,combination_291,yolo11m,cpu,18.106,0.0475,0.0475,0.0388
gpu,combination_291,yolo11l,cpu,13.968,0.0444,0.0444,0.0382
gpu,combination_318,mobilenet_v2,cpu,814.332,0.0445,0.0445,0.0506
gpu,combination_318,resnet50,gpu,235.998,0.2602,0.2602,0.2418
gpu,combination_318,yolo11s,gpu,67.392,0.6173,0.6173,0.5467
gpu,combination_318,yolo11m,cpu,18.106,0.0724,0.0724,0.0700
gpu,combination_318,yolo11l,cpu,13.968,0.0702,0.0702,0.0700
gpu,combination_304,mobilenet_v2,gpu,814.332,0.1027,0.1027,0.0950
gpu,combination_304,resnet50,cpu,157.332,0.1000,0.1000,0.1013
gpu,combination_304,yolo11s,gpu,44.928,0.8618,0.8618,0.8618
gpu,combination_304,yolo11m,gpu,18.106,0.9102,0.9102,0.9040
gpu,combination_304,yolo11l,gpu,13.968,0.9264,0.9264,0.9124
gpu,combination_310,mobilenet_v2,gpu,1221.498,0.1098,0.1098,0.1036
gpu,combination_310,resnet50,gpu,235.998,0.5681,0.5681,0.5382
gpu,combination_310,yolo11s,gpu,67.392,0.6550,0.6550,0.5635
gpu,combination_310,yolo11m,gpu,27.159,0.9503,0.9503,0.9302
gpu,combination_310,yolo11l,gpu,20.952,0.9589,0.9589,0.9407
gpu,combination_339,mobilenet_v2,gpu,1285.347,0.0609,0.0609,0.0460
gpu,combination_339,resnet50,cpu,157.332,0.0762,0.0762,0.0816
gpu,combination_339,yolo11s,cpu,44.928,0.1062,0.1062,0.1072
gpu,combination_339,yolo11m,gpu,36.212,0.8591,0.8591,0.8042
gpu,combination_339,yolo11l,gpu,27.936,0.8817,0.8817,0.8393
gpu,combination_302,mobilenet_v2,gpu,814.332,0.0666,0.0666,0.0799
gpu,combination_302,resnet50,cpu,157.332,0.0341,0.0341,0.0359
gpu,combination_302,yolo11s,gpu,44.928,0.7378,0.7378,0.6890
gpu,combination_302,yolo11m,cpu,18.106,0.0541,0.0541,0.0514
gpu,combination_302,yolo11l,cpu,13.968,0.0494,0.0494,0.0515
gpu,combination_300,mobilenet_v2,cpu,814.332,0.1224,0.1224,0.1380
gpu,combination_300,resnet50,gpu,157.332,0.5879,0.5879,0.5821
gpu,combination_300,yolo11s,gpu,44.928,0.9188,0.9188,0.8869
gpu,combination_300,yolo11m,gpu,18.106,0.9594,0.9594,0.9430
gpu,combination_300,yolo11l,gpu,13.968,0.9679,0.9679,0.9535
gpu,combination_301,mobilenet_v2,cpu,814.332,0.0298,0.0298,0.0320
gpu,combination_301,resnet50,cpu,157.332,0.0284,0.0284,0.0268
gpu,combination_301,yolo11s,cpu,44.928,0.0347,0.0347,0.0330
gpu,combination_301,yolo11m,gpu,18.106,0.8412,0.8412,0.8413
gpu,combination_301,yolo11l,cpu,13.968,0.0379,0.0379,0.0382
gpu,combination_327,mobilenet_v2,gpu,1221.498,0.0461,0.0461,0.0451
gpu,combination_327,resnet50,cpu,157.332,0.0317,0.0317,0.0345
gpu,combination_327,yolo11s,cpu,44.928,0.0396,0.0396,0.0438
gpu,combination_327,yolo11m,gpu,27.159,0.8413,0.8413,0.7742
gpu,combination_327,yolo11l,cpu,13.968,0.0515,0.0515,0.0487
gpu,combination_293,mobilenet_v2,cpu,814.332,0.0557,0.0557,0.0519
gpu,combination_293,resnet50,gpu,157.332,0.3953,0.3953,0.3927
gpu,combination_293,yolo11s,cpu,44.928,0.0648,0.0648,0.0612
gpu,combination_293,yolo11m,gpu,18.106,0.8710,0.8710,0.8512
gpu,combination_293,yolo11l,cpu,13.968,0.0687,0.0687,0.0724
gpu,combination_303,mobilenet_v2,cpu,814.332,0.0511,0.0511,0.0506
gpu,combination_303,resnet50,gpu,157.332,0.3953,0.3953,0.4108
gpu,combination_303,yolo11s,gpu,44.928,0.7643,0.7643,0.7872
gpu,combination_303,yolo11m,cpu,18.106,0.0712,0.0712,0.0750
gpu,combination_303,yolo11l,gpu,13.968,0.8562,0.8562,0.8756
gpu,combination_296,mobilenet_v2,cpu,814.332,0.0367,0.0367,0.0323
gpu,combination_296,resnet50,cpu,157.332,0.0264,0.0264,0.0261
gpu,combination_296,yolo11s,cpu,44.928,0.0341,0.0341,0.0329
gpu,combination_296,yolo11m,cpu,18.106,0.0425,0.0425,0.0383
gpu,combination_296,yolo11l,cpu,13.968,0.0408,0.0408,0.0377
gpu,combination_460,mobilenet_v2,cpu,814.332,0.0542,0.0542,0.0565
gpu,combination_460,resnet50,cpu,157.332,0.0439,0.0439,0.0516
gpu,combination_460,yolo11n,gpu,255.666,0.1327,0.1327,0.1389
gpu,combination_460,yolo11s,gpu,134.784,0.2630,0.2630,0.2981
gpu,combination_460,yolo11m,cpu,18.106,0.0762,0.0762,0.0767
gpu,combination_446,mobilenet_v2,gpu,1285.347,0.0707,0.0707,0.0753
gpu,combination_446,resnet50,gpu,314.664,0.2890,0.2890,0.2919
gpu,combination_446,yolo11n,gpu,170.444,0.2790,0.2790,0.3761
gpu,combination_446,yolo11s,gpu,89.856,0.5873,0.5873,0.5274
gpu,combination_446,yolo11m,cpu,18.106,0.3783,0.3783,0.3697
gpu,combination_447,mobilenet_v2,gpu,1285.347,0.0482,0.0482,0.0554
gpu,combination_447,resnet50,cpu,157.332,0.0362,0.0362,0.0358
gpu,combination_447,yolo11n,cpu,85.222,0.0476,0.0476,0.0446
gpu,combination_447,yolo11s,cpu,44.928,0.0421,0.0421,0.0414
gpu,combination_447,yolo11m,cpu,18.106,0.0552,0.0552,0.0495
gpu,combination_465,mobilenet_v2,gpu,1285.347,0.0571,0.0571,0.0616
gpu,combination_465,resnet50,gpu,471.996,0.1552,0.1552,0.1705
gpu,combination_465,yolo11n,cpu,85.222,0.1123,0.1123,0.1173
gpu,combination_465,yolo11s,cpu,44.928,0.1011,0.1011,0.1186
gpu,combination_465,yolo11m,gpu,54.318,0.7590,0.7590,0.7676
gpu,combination_439,mobilenet_v2,cpu,814.332,0.0459,0.0459,0.0402
gpu,combination_439,resnet50,cpu,157.332,0.0358,0.0358,0.0357
gpu,combination_439,yolo11n,cpu,85.222,0.0506,0.0506,0.0447
gpu,combination_439,yolo11s,cpu,44.928,0.0436,0.0436,0.0425
gpu,combination_439,yolo11m,gpu,36.212,0.7288,0.7288,0.6316
gpu,combination_440,mobilenet_v2,gpu,1285.347,0.0528,0.0528,0.0567
gpu,combination_440,resnet50,gpu,314.664,0.2104,0.2104,0.1677
gpu,combination_440,yolo11n,cpu,85.222,0.0637,0.0637,0.0628
gpu,combination_440,yolo11s,cpu,44.928,0.0632,0.0632,0.0597
gpu,combination_440,yolo11m,cpu,18.106,0.0762,0.0762,0.0697
gpu,combination_467,mobilenet_v2,cpu,814.332,0.0444,0.0444,0.0432
gpu,combination_467,resnet50,cpu,157.332,0.0283,0.0283,0.0394
gpu,combination_467,yolo11n,gpu,255.666,0.1197,0.1197,0.1566
gpu,combination_467,yolo11s,cpu,44.928,0.0445,0.0445,0.0537
gpu,combination_467,yolo11m,cpu,18.106,0.0541,0.0541,0.0549
gpu,combination_451,mobilenet_v2,cpu,814.332,0.0406,0.0406,0.0403
gpu,combination_451,resnet50,cpu,157.332,0.0367,0.0367,0.0351
gpu,combination_451,yolo11n,gpu,170.444,0.1869,0.1869,0.2453
gpu,combination_451,yolo11s,cpu,44.928,0.0416,0.0416,0.0420
gpu,combination_451,yolo11m,cpu,18.106,0.0519,0.0519,0.0502
gpu,combination_463,mobilenet_v2,gpu,1285.347,0.0472,0.0472,0.0464
gpu,combination_463,resnet50,cpu,157.332,0.0361,0.0361,0.0396
gpu,combination_463,yolo11n,cpu,85.222,0.0515,0.0515,0.0512
gpu,combination_463,yolo11s,cpu,44.928,0.0436,0.0436,0.0542
gpu,combination_463,yolo11m,cpu,18.106,0.0563,0.0563,0.0546
gpu,combination_466,mobilenet_v2,cpu,814.332,0.1213,0.1213,0.1041
gpu,combination_466,resnet50,gpu,471.996,0.2087,0.2087,0.2063
gpu,combination_466,yolo11n,gpu,255.666,0.1796,0.1796,0.2641
gpu,combination_466,yolo11s,gpu,134.784,0.3742,0.3742,0.5408
gpu,combination_466,yolo11m,gpu,54.318,0.8640,0.8640,0.8383
gpu,combination_464,mobilenet_v2,gpu,1285.347,0.0539,0.0539,0.0442
gpu,combination_464,resnet50,cpu,157.332,0.0473,0.0473,0.0519
gpu,combination_464,yolo11n,cpu,85.222,0.0601,0.0601,0.0704
gpu,combination_464,yolo11s,gpu,134.784,0.3328,0.3328,0.2913
gpu,combination_464,yolo11m,cpu,18.106,0.0751,0.0751,0.0757
gpu,combination_456,mobilenet_v2,gpu,1285.347,0.0549,0.0549,0.0496
gpu,combination_456,resnet50,gpu,471.996,0.1458,0.1458,0.1329
gpu,combination_456,yolo11n,cpu,85.222,0.0652,0.0652,0.0699
gpu,combination_456,yolo11s,cpu,44.928,0.0601,0.0601,0.0686
gpu,combination_456,yolo11m,cpu,18.106,0.0762,0.0762,0.0727
gpu,combination_458,mobilenet_v2,gpu,1285.347,0.0730,0.0730,0.0710
gpu,combination_458,resnet50,cpu,157.332,0.2554,0.2554,0.2898
gpu,combination_458,yolo11n,gpu,255.666,0.1831,0.1831,0.2571
gpu,combination_458,yolo11s,gpu,134.784,0.3863,0.3863,0.5026
gpu,combination_458,yolo11m,gpu,54.318,0.8465,0.8465,0.7851
gpu,combination_437,mobilenet_v2,cpu,814.332,0.0295,0.0295,0.0373
gpu,combination_437,resnet50,cpu,157.332,0.0284,0.0284,0.0283
gpu,combination_437,yolo11n,cpu,85.222,0.0386,0.0386,0.0344
gpu,combination_437,yolo11s,cpu,44.928,0.0361,0.0361,0.0364
gpu,combination_437,yolo11m,cpu,18.106,0.0442,0.0442,0.0433
gpu,combination_421,mobilenet_v2,cpu,814.332,0.0381,0.0381,0.0315
gpu,combination_421,resnet50,cpu,157.332,0.0275,0.0275,0.0229
gpu,combination_421,yolo11n,cpu,85.222,0.0407,0.0407,0.0379
gpu,combination_421,yolo11s,cpu,44.928,0.0352,0.0352,0.0333
gpu,combination_421,yolo11m,cpu,18.106,0.0442,0.0442,0.0388
gpu,combination_424,mobilenet_v2,gpu,814.332,0.0803,0.0803,0.0774
gpu,combination_424,resnet50,gpu,157.332,0.3937,0.3937,0.4008
gpu,combination_424,yolo11n,cpu,85.222,0.0713,0.0713,0.0692
gpu,combination_424,yolo11s,cpu,44.928,0.0599,0.0599,0.0610
gpu,combination_424,yolo11m,cpu,18.106,0.0784,0.0784,0.0730
gpu,combination_445,mobilenet_v2,cpu,814.332,0.0715,0.0715,0.0714
gpu,combination_445,resnet50,gpu,314.664,0.2341,0.2341,0.2090
gpu,combination_445,yolo11n,cpu,85.222,0.1261,0.1261,0.1182
gpu,combination_445,yolo11s,gpu,89.856,0.5597,0.5597,0.5737
gpu,combination_445,yolo11m,gpu,36.212,0.8359,0.8359,0.8473
gpu,combination_426,mobilenet_v2,gpu,814.332,0.1159,0.1159,0.1143
gpu,combination_426,resnet50,cpu,157.332,0.3080,0.3080,0.3539
gpu,combination_426,yolo11n,gpu,85.222,0.6354,0.6354,0.6563
gpu,combination_426,yolo11s,gpu,44.928,0.8868,0.8868,0.8906
gpu,combination_426,yolo11m,gpu,18.106,0.9301,0.9301,0.9332
gpu,combination_422,mobilenet_v2,gpu,814.332,0.1650,0.1650,0.1783
gpu,combination_422,resnet50,gpu,157.332,0.7440,0.7440,0.7575
gpu,combination_422,yolo11n,gpu,85.222,0.8353,0.8353,0.7767
