# provenance: {"generated_at": "2026-07-29T18:41:17+09:00", "git_commit": "c37c5bd761fbbe8ea50202b2aca82eb9b17fca1b (pre-commit HEAD)", "alpha": 0.3, "beta": 1.0, "seed": 42, "input_data": ["/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json", "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json"], "experiment": "P6 view-level oof"}
platform,combination,model,dev,eff_fps,ratio_raw,target,pred
gpu,combination_417,yolo11m,cpu,18.106,0.0342,0.0342,0.0352
gpu,combination_417,yolo11l,cpu,13.968,0.0315,0.0315,0.0348
gpu,combination_417,yolo11x,gpu,14.130,0.8252,0.8252,0.8055
gpu,combination_413,mobilenet_v2,cpu,814.332,0.0396,0.0396,0.0407
gpu,combination_413,resnet50,gpu,314.664,0.1650,0.1650,0.1771
gpu,combination_413,yolo11s,cpu,44.928,0.0405,0.0405,0.0473
gpu,combination_413,yolo11m,gpu,36.212,0.5976,0.5976,0.6732
gpu,combination_413,yolo11l,cpu,13.968,0.0487,0.0487,0.0528
gpu,combination_413,yolo11x,cpu,7.065,0.0594,0.0594,0.0608
gpu,combination_354,mobilenet_v2,gpu,814.332,0.0791,0.0791,0.0815
gpu,combination_354,resnet50,gpu,157.332,0.3941,0.3941,0.3969
gpu,combination_354,yolo11s,cpu,44.928,0.0543,0.0543,0.0585
gpu,combination_354,yolo11m,gpu,18.106,0.8577,0.8577,0.8460
gpu,combination_354,yolo11l,cpu,13.968,0.0680,0.0680,0.0728
gpu,combination_354,yolo11x,gpu,7.065,0.9257,0.9257,0.8591
gpu,combination_380,mobilenet_v2,gpu,1221.498,0.0763,0.0763,0.0889
gpu,combination_380,resnet50,gpu,235.998,0.3950,0.3950,0.4057
gpu,combination_380,yolo11s,cpu,44.928,0.3717,0.3717,0.3683
gpu,combination_380,yolo11m,gpu,27.159,0.9028,0.9028,0.8985
gpu,combination_380,yolo11l,gpu,20.952,0.9145,0.9145,0.9176
gpu,combination_380,yolo11x,gpu,10.598,0.9473,0.9473,0.9357
gpu,combination_353,mobilenet_v2,cpu,814.332,0.0432,0.0432,0.0398
gpu,combination_353,resnet50,gpu,157.332,0.3387,0.3387,0.3395
gpu,combination_353,yolo11s,gpu,44.928,0.6991,0.6991,0.6803
gpu,combination_353,yolo11m,cpu,18.106,0.0447,0.0447,0.0517
gpu,combination_353,yolo11l,cpu,13.968,0.0458,0.0458,0.0503
gpu,combination_353,yolo11x,cpu,7.065,0.0594,0.0594,0.0744
gpu,combination_363,mobilenet_v2,cpu,814.332,0.0279,0.0279,0.0262
gpu,combination_363,resnet50,cpu,157.332,0.0233,0.0233,0.0184
gpu,combination_363,yolo11s,cpu,44.928,0.0287,0.0287,0.0270
gpu,combination_363,yolo11m,cpu,18.106,0.0348,0.0348,0.0340
gpu,combination_363,yolo11l,cpu,13.968,0.0329,0.0329,0.0325
gpu,combination_363,yolo11x,cpu,7.065,0.0354,0.0354,0.0517
gpu,combination_371,mobilenet_v2,gpu,814.332,0.0661,0.0661,0.0771
gpu,combination_371,resnet50,gpu,157.332,0.3271,0.3271,0.3411
gpu,combination_371,yolo11s,cpu,44.928,0.0383,0.0383,0.0454
gpu,combination_371,yolo11m,gpu,18.106,0.8185,0.8185,0.8458
gpu,combination_371,yolo11l,cpu,13.968,0.0458,0.0458,0.0550
gpu,combination_371,yolo11x,cpu,7.065,0.0594,0.0594,0.0774
gpu,combination_377,mobilenet_v2,cpu,814.332,0.0402,0.0402,0.0383
gpu,combination_377,resnet50,gpu,235.998,0.2002,0.2002,0.2330
gpu,combination_377,yolo11s,gpu,67.392,0.4750,0.4750,0.4911
gpu,combination_377,yolo11m,cpu,18.106,0.0492,0.0492,0.0504
gpu,combination_377,yolo11l,cpu,13.968,0.0444,0.0444,0.0482
gpu,combination_377,yolo11x,cpu,7.065,0.0609,0.0609,0.0603
gpu,combination_360,mobilenet_v2,cpu,814.332,0.0529,0.0529,0.0522
gpu,combination_360,resnet50,gpu,157.332,0.3946,0.3946,0.3852
gpu,combination_360,yolo11s,gpu,44.928,0.7461,0.7461,0.7608
gpu,combination_360,yolo11m,cpu,18.106,0.0735,0.0735,0.0750
gpu,combination_360,yolo11l,gpu,13.968,0.8641,0.8641,0.8587
gpu,combination_360,yolo11x,cpu,7.065,0.0835,0.0835,0.0985
gpu,combination_385,mobilenet_v2,gpu,1221.498,0.0631,0.0631,0.0679
gpu,combination_385,resnet50,gpu,235.998,0.3264,0.3264,0.3541
gpu,combination_385,yolo11s,gpu,67.392,0.6311,0.6311,0.6618
gpu,combination_385,yolo11m,cpu,18.106,0.1204,0.1204,0.1193
gpu,combination_385,yolo11l,gpu,20.952,0.8615,0.8615,0.8826
gpu,combination_385,yolo11x,gpu,10.598,0.9030,0.9030,0.9115
gpu,combination_411,mobilenet_v2,cpu,814.332,0.0299,0.0299,0.0291
gpu,combination_411,resnet50,cpu,157.332,0.0235,0.0235,0.0238
gpu,combination_411,yolo11s,cpu,44.928,0.0267,0.0267,0.0307
gpu,combination_411,yolo11m,cpu,18.106,0.0348,0.0348,0.0361
gpu,combination_411,yolo11l,cpu,13.968,0.0272,0.0272,0.0355
gpu,combination_411,yolo11x,cpu,7.065,0.0410,0.0410,0.0440
gpu,combination_398,mobilenet_v2,gpu,1285.347,0.0986,0.0986,0.0822
gpu,combination_398,resnet50,gpu,314.664,0.4002,0.4002,0.4375
gpu,combination_398,yolo11s,gpu,89.856,0.2408,0.2408,0.4380
gpu,combination_398,yolo11m,gpu,36.212,0.7075,0.7075,0.8456
gpu,combination_398,yolo11l,gpu,27.936,0.7603,0.7603,0.8754
gpu,combination_398,yolo11x,gpu,14.130,0.9717,0.9717,0.9648
gpu,combination_373,mobilenet_v2,cpu,814.332,0.0207,0.0207,0.0193
gpu,combination_373,resnet50,cpu,157.332,0.0173,0.0173,0.0160
