# provenance: {"generated_at": "2026-07-29T18:29:48+09:00", "git_commit": "a8728e67ddf0c96db6e5cd5d57684cedc57136fb (pre-commit HEAD)", "alpha": 0.3, "beta": 1.0, "seed": 42, "input_data": ["/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json", "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json"], "experiment": "P1 groupkfold oof", "platform": "gpu"}
combination,models,workload,rate_factor,y3_valid,has_gen,fold,y1_meas,y2_meas,y3_meas,y1_pred,y2_pred,y3_pred,group
combination_380,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,1.5,True,True,0,0.7408432831516408,0.0,0.8511477761836442,0.7839794158935547,0.22911040484905243,0.9202530980110168,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.5)"
combination_353,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,1.0,True,True,0,0.3657261335977643,0.8448477751756439,0.527495517035266,0.3850693106651306,0.7635714411735535,0.5514392256736755,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.0)"
combination_363,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,1.0,True,True,0,0.08726223744703865,0.8682669789227165,0.401673640167364,0.10373729467391968,0.8279536962509155,0.41694000363349915,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.0)"
combination_371,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,1.0,True,True,0,0.3691517172991976,0.8461651053864169,0.19635385534967126,0.3983607590198517,0.9284699559211731,0.19478821754455566,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.0)"
combination_377,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,1.5,True,True,0,0.32854588452442746,0.8169709989258861,0.6140602582496414,0.34651055932044983,0.7779361009597778,0.6466817855834961,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.5)"
combination_360,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,1.0,True,True,0,0.4586676282340214,0.6302693208430912,0.6208906156604901,0.4767817556858063,0.6159640550613403,0.6831337213516235,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.0)"
combination_385,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,1.5,True,True,0,0.6529099613543288,0.4887218045112782,0.3434361549497848,0.6328790187835693,0.457388699054718,0.34479910135269165,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.5)"
combination_411,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,2.0,True,True,2,0.09111814598016962,0.8164264345934186,0.5470722118766812,0.08703168481588364,0.8207669258117676,0.6378648281097412,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 2.0)"
combination_398,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,2.0,True,True,2,1.0,0.4528147946695675,0.7432236705979723,0.9822007417678833,0.11720003932714462,0.8364617228507996,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 2.0)"
combination_373,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,1.5,True,True,0,0.06261175520562956,1.0,0.16840028694404593,0.06863000243902206,0.9970653057098389,0.16683770716190338,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 1.5)"
combination_414,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",yolo11s,2.0,True,True,2,0.4262931549396727,0.28610280119662784,0.8336436995654873,0.40205660462379456,0.37120839953422546,0.6857001185417175,"('llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x', 2.0)"
