run_id,k,block,block_kind,order,cell_index,placement,gpu_skip_pct,npu_skip_pct,worst_sap,mean_sap,median_sap,p10_sap,sap_small,sap_medium,sap_large,deadline_margin_ms_mean,per_stream_json,t_start,t_end,period_ms,fps,detector,dataset,timestamp
m1_k3_1787895620,3,4,measure,NPU_FIRST,0,NNNN,0.0,0.34,0.08343,0.1261,0.11497,0.09103,0.00355,0.13021,0.43251,-16.072,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10875, ""sap_s"": 0.01131, ""sap_m"": 0.14162, ""sap_l"": 0.5652, ""skip"": 0.68, ""eff_mean_ms"": 17.477, ""infer_mean_ms"": 17.476}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19104, ""sap_s"": 0.00101, ""sap_m"": 0.17335, ""sap_l"": 0.61317, ""skip"": 0.22, ""eff_mean_ms"": 17.371, ""infer_mean_ms"": 17.371}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12119, ""sap_s"": 0.00049, ""sap_m"": 0.18142, ""sap_l"": 0.33898, ""skip"": 0.22, ""eff_mean_ms"": 17.264, ""infer_mean_ms"": 17.264}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08343, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.21268, ""skip"": 0.23, ""eff_mean_ms"": 16.932, ""infer_mean_ms"": 16.932}]",1787895757.348,1787895767.39,33.333,30.0,yolo11s,argoverse-hd-val,1787895767
m1_k3_1787895620,3,4,measure,NPU_FIRST,1,GGGG,52.44,0.0,0.08124,0.11938,0.09967,0.08544,0.00617,0.13007,0.36797,3.014,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.09525, ""sap_s"": 0.01361, ""sap_m"": 0.11027, ""sap_l"": 0.43282, ""skip"": 52.8, ""eff_mean_ms"": 36.803, ""infer_mean_ms"": 36.802}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.19694, ""sap_s"": 0.00112, ""sap_m"": 0.19009, ""sap_l"": 0.60144, ""skip"": 54.21, ""eff_mean_ms"": 36.167, ""infer_mean_ms"": 36.167}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.1041, ""sap_s"": 0.00203, ""sap_m"": 0.20108, ""sap_l"": 0.22835, ""skip"": 48.58, ""eff_mean_ms"": 35.244, ""infer_mean_ms"": 35.244}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.08124, ""sap_s"": 0.0079, ""sap_m"": 0.01886, ""sap_l"": 0.20926, ""skip"": 54.18, ""eff_mean_ms"": 37.177, ""infer_mean_ms"": 37.177}]",1787895767.39,1787895784.556,33.333,30.0,yolo11s,argoverse-hd-val,1787895784
m1_k3_1787895620,3,5,measure,NPU_FIRST,0,NNNN,0.0,0.57,0.08334,0.1262,0.11516,0.09098,0.00355,0.13034,0.43201,-15.511,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10879, ""sap_s"": 0.01135, ""sap_m"": 0.14194, ""sap_l"": 0.56307, ""skip"": 0.91, ""eff_mean_ms"": 17.674, ""infer_mean_ms"": 17.674}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19113, ""sap_s"": 0.001, ""sap_m"": 0.17334, ""sap_l"": 0.61375, ""skip"": 0.45, ""eff_mean_ms"": 18.855, ""infer_mean_ms"": 18.854}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12154, ""sap_s"": 0.00045, ""sap_m"": 0.18161, ""sap_l"": 0.33907, ""skip"": 0.45, ""eff_mean_ms"": 17.466, ""infer_mean_ms"": 17.466}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08334, ""sap_s"": 0.0014, ""sap_m"": 0.02448, ""sap_l"": 0.21215, ""skip"": 0.46, ""eff_mean_ms"": 17.293, ""infer_mean_ms"": 17.292}]",1787895784.557,1787895795.208,33.333,30.0,yolo11s,argoverse-hd-val,1787895795
m1_k3_1787895620,3,5,measure,NPU_FIRST,1,GGGG,52.62,0.0,0.07711,0.11926,0.1002,0.08243,0.00655,0.1281,0.36645,3.272,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.09484, ""sap_s"": 0.01375, ""sap_m"": 0.10997, ""sap_l"": 0.43159, ""skip"": 52.48, ""eff_mean_ms"": 36.332, ""infer_mean_ms"": 36.332}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.19954, ""sap_s"": 0.00176, ""sap_m"": 0.19105, ""sap_l"": 0.60869, ""skip"": 50.0, ""eff_mean_ms"": 36.313, ""infer_mean_ms"": 36.313}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.10557, ""sap_s"": 0.00218, ""sap_m"": 0.19511, ""sap_l"": 0.22302, ""skip"": 52.88, ""eff_mean_ms"": 36.497, ""infer_mean_ms"": 36.497}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.07711, ""sap_s"": 0.00852, ""sap_m"": 0.01627, ""sap_l"": 0.20251, ""skip"": 55.14, ""eff_mean_ms"": 37.281, ""infer_mean_ms"": 37.28}]",1787895795.208,1787895812.521,33.333,30.0,yolo11s,argoverse-hd-val,1787895812
m1_k3_1787895620,3,6,measure,NPU_FIRST,0,NNNN,0.0,0.34,0.08346,0.12625,0.11514,0.09112,0.00354,0.13047,0.43283,-16.198,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.109, ""sap_s"": 0.01134, ""sap_m"": 0.14256, ""sap_l"": 0.56587, ""skip"": 0.0, ""eff_mean_ms"": 17.31, ""infer_mean_ms"": 17.309}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19124, ""sap_s"": 0.00101, ""sap_m"": 0.17333, ""sap_l"": 0.61395, ""skip"": 0.0, ""eff_mean_ms"": 17.366, ""infer_mean_ms"": 17.366}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12129, ""sap_s"": 0.00043, ""sap_m"": 0.18158, ""sap_l"": 0.33875, ""skip"": 0.67, ""eff_mean_ms"": 17.049, ""infer_mean_ms"": 17.049}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08346, ""sap_s"": 0.00139, ""sap_m"": 0.02443, ""sap_l"": 0.21276, ""skip"": 0.68, ""eff_mean_ms"": 16.818, ""infer_mean_ms"": 16.817}]",1787895812.521,1787895822.585,33.333,30.0,yolo11s,argoverse-hd-val,1787895822
m1_k3_1787895620,3,6,measure,NPU_FIRST,1,GGGG,52.23,0.0,0.0769,0.11828,0.10005,0.08228,0.00647,0.12951,0.35834,3.067,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.09482, ""sap_s"": 0.01384, ""sap_m"": 0.11091, ""sap_l"": 0.41761, ""skip"": 55.65, ""eff_mean_ms"": 36.779, ""infer_mean_ms"": 36.779}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.19613, ""sap_s"": 0.0012, ""sap_m"": 0.19108, ""sap_l"": 0.60112, ""skip"": 51.57, ""eff_mean_ms"": 36.611, ""infer_mean_ms"": 36.61}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.10528, ""sap_s"": 0.00242, ""sap_m"": 0.2006, ""sap_l"": 0.21068, ""skip"": 50.52, ""eff_mean_ms"": 36.281, ""infer_mean_ms"": 36.28}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.0769, ""sap_s"": 0.00843, ""sap_m"": 0.01545, ""sap_l"": 0.20394, ""skip"": 51.18, ""eff_mean_ms"": 35.932, ""infer_mean_ms"": 35.931}]",1787895822.585,1787895839.793,33.333,30.0,yolo11s,argoverse-hd-val,1787895839
m1_k3_1787895620,3,7,measure,GPU_FIRST,0,GGGG,53.4,0.0,0.08154,0.12106,0.10203,0.08531,0.0064,0.13167,0.36416,3.062,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.0941, ""sap_s"": 0.01381, ""sap_m"": 0.10978, ""sap_l"": 0.42178, ""skip"": 53.85, ""eff_mean_ms"": 36.532, ""infer_mean_ms"": 36.531}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.19863, ""sap_s"": 0.00127, ""sap_m"": 0.1903, ""sap_l"": 0.6022, ""skip"": 56.61, ""eff_mean_ms"": 37.139, ""infer_mean_ms"": 37.139}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.10996, ""sap_s"": 0.00214, ""sap_m"": 0.20543, ""sap_l"": 0.22509, ""skip"": 50.52, ""eff_mean_ms"": 35.451, ""infer_mean_ms"": 35.45}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.08154, ""sap_s"": 0.00839, ""sap_m"": 0.02115, ""sap_l"": 0.20757, ""skip"": 52.62, ""eff_mean_ms"": 36.46, ""infer_mean_ms"": 36.46}]",1787895839.794,1787895857.116,33.333,30.0,yolo11s,argoverse-hd-val,1787895857
m1_k3_1787895620,3,7,measure,GPU_FIRST,1,NNNN,0.0,0.23,0.08347,0.12624,0.11513,0.09112,0.00356,0.13035,0.43281,-16.075,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10898, ""sap_s"": 0.01135, ""sap_m"": 0.14204, ""sap_l"": 0.56579, ""skip"": 0.46, ""eff_mean_ms"": 17.36, ""infer_mean_ms"": 17.359}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19124, ""sap_s"": 0.00101, ""sap_m"": 0.17333, ""sap_l"": 0.61395, ""skip"": 0.0, ""eff_mean_ms"": 17.297, ""infer_mean_ms"": 17.297}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12127, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33864, ""skip"": 0.22, ""eff_mean_ms"": 17.186, ""infer_mean_ms"": 17.186}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08347, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.21287, ""skip"": 0.23, ""eff_mean_ms"": 17.19, ""infer_mean_ms"": 17.19}]",1787895857.117,1787895867.035,33.333,30.0,yolo11s,argoverse-hd-val,1787895867
m1_k3_1787895620,3,8,measure,GPU_FIRST,0,GGGG,52.67,0.0,0.07854,0.11947,0.10044,0.08365,0.00627,0.12987,0.37417,3.197,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.09559, ""sap_s"": 0.01328, ""sap_m"": 0.1101, ""sap_l"": 0.46657, ""skip"": 51.86, ""eff_mean_ms"": 36.601, ""infer_mean_ms"": 36.601}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.19846, ""sap_s"": 0.00139, ""sap_m"": 0.19001, ""sap_l"": 0.60697, ""skip"": 53.14, ""eff_mean_ms"": 36.714, ""infer_mean_ms"": 36.714}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.10529, ""sap_s"": 0.00205, ""sap_m"": 0.20201, ""sap_l"": 0.21789, ""skip"": 52.99, ""eff_mean_ms"": 35.842, ""infer_mean_ms"": 35.842}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.07854, ""sap_s"": 0.00834, ""sap_m"": 0.01737, ""sap_l"": 0.20526, ""skip"": 52.67, ""eff_mean_ms"": 36.963, ""infer_mean_ms"": 36.963}]",1787895867.036,1787895884.289,33.333,30.0,yolo11s,argoverse-hd-val,1787895884
m1_k3_1787895620,3,8,measure,GPU_FIRST,1,NNNN,0.0,0.23,0.08364,0.12625,0.11506,0.09124,0.00356,0.13047,0.4325,-16.247,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10897, ""sap_s"": 0.01134, ""sap_m"": 0.14247, ""sap_l"": 0.56512, ""skip"": 0.23, ""eff_mean_ms"": 17.09, ""infer_mean_ms"": 17.089}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19124, ""sap_s"": 0.00101, ""sap_m"": 0.17333, ""sap_l"": 0.61395, ""skip"": 0.0, ""eff_mean_ms"": 17.178, ""infer_mean_ms"": 17.177}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12115, ""sap_s"": 0.00049, ""sap_m"": 0.18156, ""sap_l"": 0.33826, ""skip"": 0.45, ""eff_mean_ms"": 17.098, ""infer_mean_ms"": 17.097}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08364, ""sap_s"": 0.0014, ""sap_m"": 0.02453, ""sap_l"": 0.21267, ""skip"": 0.23, ""eff_mean_ms"": 16.981, ""infer_mean_ms"": 16.98}]",1787895884.289,1787895894.291,33.333,30.0,yolo11s,argoverse-hd-val,1787895894
