run_id,k,block,block_kind,order,cell_index,placement,status,detail,t_start,t_end
m1_k2_1787895315,2,-1,warmup,GPU_FIRST,0,GGGG,"warmup, pre-declared",excluded from analysis (pre-declared technical warm-up),1787895315.238,1787895332.146
m1_k2_1787895315,2,-1,warmup,GPU_FIRST,1,NNNN,"warmup, pre-declared",excluded from analysis (pre-declared technical warm-up),1787895332.146,1787895342.584
m1_k2_1787895315,2,0,measure,NPU_FIRST,0,NNNN,OK,,1787895342.584,1787895352.752
m1_k2_1787895315,2,0,measure,NPU_FIRST,1,GGGG,OK,,1787895352.753,1787895369.703
m1_k2_1787895315,2,1,measure,GPU_FIRST,0,GGGG,OK,,1787895369.703,1787895386.66
m1_k2_1787895315,2,1,measure,GPU_FIRST,1,NNNN,OK,,1787895386.66,1787895396.81
m1_k2_1787895315,2,2,measure,NPU_FIRST,0,NNNN,OK,,1787895396.811,1787895406.938
m1_k2_1787895315,2,2,measure,NPU_FIRST,1,GGGG,OK,,1787895406.938,1787895423.796
m1_k2_1787895315,2,3,measure,NPU_FIRST,0,NNNN,OK,,1787895423.796,1787895433.898
m1_k2_1787895315,2,3,measure,NPU_FIRST,1,GGGG,OK,,1787895433.898,1787895450.869
m1_k2_1787895315,2,4,measure,NPU_FIRST,0,NNNN,OK,,1787895450.869,1787895460.943
m1_k2_1787895315,2,4,measure,NPU_FIRST,1,GGGG,OK,,1787895460.943,1787895477.869
m1_k2_1787895315,2,5,measure,GPU_FIRST,0,GGGG,OK,,1787895477.869,1787895494.653
m1_k2_1787895315,2,5,measure,GPU_FIRST,1,NNNN,OK,,1787895494.653,1787895504.652
m1_k2_1787895315,2,6,measure,GPU_FIRST,0,GGGG,OK,,1787895504.652,1787895521.475
m1_k2_1787895315,2,6,measure,GPU_FIRST,1,NNNN,OK,,1787895521.475,1787895531.654
m1_k2_1787895315,2,7,measure,NPU_FIRST,0,NNNN,OK,,1787895531.654,1787895541.84
m1_k2_1787895315,2,7,measure,NPU_FIRST,1,GGGG,OK,,1787895541.84,1787895558.781
m1_k2_1787895315,2,8,measure,GPU_FIRST,0,GGGG,OK,,1787895558.781,1787895575.761
m1_k2_1787895315,2,8,measure,GPU_FIRST,1,NNNN,OK,,1787895575.761,1787895585.806
m1_k2_1787895315,2,9,measure,GPU_FIRST,0,GGGG,OK,,1787895585.807,1787895602.68
m1_k2_1787895315,2,9,measure,GPU_FIRST,1,NNNN,OK,,1787895602.68,1787895612.852
