run_id,k,block,block_kind,order,cell_index,placement,status,detail,t_start,t_end
m1_k3_1787895620,3,-1,warmup,GPU_FIRST,0,GGGG,"warmup, pre-declared",excluded from analysis (pre-declared technical warm-up),1787895620.294,1787895637.544
m1_k3_1787895620,3,-1,warmup,GPU_FIRST,1,NNNN,"warmup, pre-declared",excluded from analysis (pre-declared technical warm-up),1787895637.544,1787895647.98
m1_k3_1787895620,3,0,measure,GPU_FIRST,0,GGGG,OK,,1787895647.98,1787895665.216
m1_k3_1787895620,3,0,measure,GPU_FIRST,1,NNNN,OK,,1787895665.216,1787895675.254
m1_k3_1787895620,3,1,measure,GPU_FIRST,0,GGGG,OK,,1787895675.254,1787895692.424
m1_k3_1787895620,3,1,measure,GPU_FIRST,1,NNNN,OK,,1787895692.424,1787895702.52
m1_k3_1787895620,3,2,measure,NPU_FIRST,0,NNNN,OK,,1787895702.52,1787895712.688
m1_k3_1787895620,3,2,measure,NPU_FIRST,1,GGGG,OK,,1787895712.688,1787895729.891
m1_k3_1787895620,3,3,measure,GPU_FIRST,0,GGGG,OK,,1787895729.891,1787895747.168
m1_k3_1787895620,3,3,measure,GPU_FIRST,1,NNNN,OK,,1787895747.168,1787895757.348
m1_k3_1787895620,3,4,measure,NPU_FIRST,0,NNNN,OK,,1787895757.348,1787895767.39
m1_k3_1787895620,3,4,measure,NPU_FIRST,1,GGGG,OK,,1787895767.39,1787895784.556
m1_k3_1787895620,3,5,measure,NPU_FIRST,0,NNNN,OK,,1787895784.557,1787895795.208
m1_k3_1787895620,3,5,measure,NPU_FIRST,1,GGGG,OK,,1787895795.208,1787895812.521
m1_k3_1787895620,3,6,measure,NPU_FIRST,0,NNNN,OK,,1787895812.521,1787895822.585
m1_k3_1787895620,3,6,measure,NPU_FIRST,1,GGGG,OK,,1787895822.585,1787895839.793
m1_k3_1787895620,3,7,measure,GPU_FIRST,0,GGGG,OK,,1787895839.794,1787895857.116
m1_k3_1787895620,3,7,measure,GPU_FIRST,1,NNNN,OK,,1787895857.117,1787895867.035
m1_k3_1787895620,3,8,measure,GPU_FIRST,0,GGGG,OK,,1787895867.036,1787895884.289
m1_k3_1787895620,3,8,measure,GPU_FIRST,1,NNNN,OK,,1787895884.289,1787895894.291
m1_k3_1787895620,3,9,measure,NPU_FIRST,0,NNNN,OK,,1787895894.291,1787895904.331
m1_k3_1787895620,3,9,measure,NPU_FIRST,1,GGGG,OK,,1787895904.331,1787895921.697
