epoch,util_gpu,util_mem,mem_used_mib,power_w
1787891154.914,71,7,3698,219.8
1787891155.114,71,7,3674,219.8
1787891155.315,71,7,3674,219.8
1787891155.515,76,8,3674,218.6
1787891155.715,76,8,3674,218.6
1787891155.916,76,8,3674,219.7
1787891156.116,76,8,3674,219.7
1787891156.317,76,8,3674,219.7
1787891156.517,66,7,3674,218.0
1787891156.718,66,7,3674,218.0
1787891156.918,66,7,3674,216.4
1787891157.118,66,7,3674,216.4
1787891157.319,66,7,3674,216.4
1787891157.520,70,8,3674,215.5
1787891157.720,70,8,3674,215.5
1787891157.920,70,8,3674,213.1
1787891158.121,70,8,3674,213.1
1787891158.321,70,8,3674,213.1
1787891158.521,73,8,3674,215.8
1787891158.722,73,8,3674,215.8
1787891158.922,73,8,3674,222.5
1787891159.123,73,8,3674,222.5
1787891159.323,73,8,3674,222.5
1787891159.524,65,7,3674,222.7
1787891159.724,65,7,3674,222.7
1787891159.925,65,7,3674,225.3
1787891160.125,65,7,3674,225.3
1787891160.326,65,7,3674,225.3
1787891160.526,75,8,3674,220.2
1787891160.726,75,8,3674,220.2
1787891160.927,75,8,3680,215.0
1787891161.127,75,8,3680,215.0
1787891161.328,75,8,3676,215.0
1787891161.528,72,7,3682,216.8
1787891161.728,72,7,3682,216.8
1787891161.929,72,7,3682,216.3
1787891162.129,72,7,3682,216.3
1787891162.330,72,7,3682,216.3
1787891162.530,91,10,3682,230.0
1787891162.730,91,10,3682,230.0
1787891162.931,91,10,3682,253.0
1787891163.131,91,10,3682,253.0
1787891163.331,91,10,3682,253.0
1787891163.532,88,9,3682,256.5
1787891163.732,88,9,3682,256.5
1787891163.933,88,9,3682,254.6
1787891164.133,88,9,3682,254.6
1787891164.334,88,9,3682,254.6
1787891164.534,87,10,3682,257.0
1787891164.734,87,10,3682,257.0
1787891164.935,87,10,3682,261.8
1787891165.135,87,10,3682,261.8
1787891165.335,87,10,3682,261.8
1787891165.536,90,10,3682,265.2
1787891165.736,90,10,3682,265.2
1787891165.937,90,10,3682,264.3
1787891166.137,90,10,3682,264.3
1787891166.338,90,10,3682,264.3
1787891166.538,89,10,3682,264.5
1787891166.738,89,10,3676,264.5
1787891166.939,89,10,3676,202.1
1787891167.139,89,10,3684,202.1
1787891167.340,89,10,3684,202.1
1787891167.541,1,0,3684,108.7
1787891167.741,1,0,3684,108.7
1787891167.942,1,0,3684,98.2
1787891168.142,1,0,3684,98.2
1787891168.342,1,0,4087,98.2
1787891168.543,75,7,4087,155.4
1787891168.743,75,7,4087,155.4
1787891168.944,75,7,4061,208.5
1787891169.144,75,7,4061,208.5
1787891169.344,75,7,4061,208.5
1787891169.545,72,8,4061,216.1
1787891169.745,72,8,4053,216.1
1787891169.945,72,8,4053,217.7
1787891170.146,72,8,4036,217.7
1787891170.346,72,8,4036,217.7
1787891170.547,74,8,4032,222.0
1787891170.747,74,8,4032,222.0
1787891170.947,74,8,4032,225.7
1787891171.148,74,8,4019,225.7
1787891171.348,74,8,4019,225.7
1787891171.549,75,8,4019,226.4
1787891171.749,75,8,4019,226.4
1787891171.950,75,8,4007,227.0
1787891172.150,75,8,4007,227.0
1787891172.350,75,8,4007,227.0
1787891172.551,69,6,4007,220.8
1787891172.751,69,6,3995,220.8
1787891172.952,69,6,3995,218.2
1787891173.152,69,6,3995,218.2
1787891173.353,69,6,3901,218.2
1787891173.553,62,6,3901,217.0
1787891173.753,62,6,3901,217.0
1787891173.954,62,6,3901,217.8
1787891174.154,62,6,3894,217.8
1787891174.355,62,6,3909,217.8
1787891174.555,75,7,3911,222.1
1787891174.756,75,7,3912,222.1
1787891174.956,75,7,3900,219.3
1787891175.157,75,7,3900,219.3
1787891175.357,75,7,3900,219.3
1787891175.557,80,8,3888,219.6
1787891175.758,80,8,3888,219.6
1787891175.958,80,8,3888,223.7
1787891176.159,80,8,3887,223.7
1787891176.359,80,8,3875,223.7
1787891176.560,75,7,3875,220.9
1787891176.760,75,7,3875,220.9
1787891176.960,75,7,3875,234.5
1787891177.161,75,7,3862,234.5
1787891177.361,75,7,3862,234.5
1787891177.562,92,8,3862,242.1
1787891177.762,92,8,3852,242.1
1787891177.962,92,8,3852,244.9
1787891178.163,92,8,3852,244.9
1787891178.363,92,8,3852,244.9
1787891178.564,91,9,3845,250.4
1787891178.765,91,9,3845,250.4
1787891178.965,91,9,3845,250.9
1787891179.166,91,9,3845,250.9
1787891179.366,91,9,3837,250.9
1787891179.567,92,8,3837,250.9
1787891179.767,92,8,3837,250.9
1787891179.967,92,8,3825,253.8
1787891180.168,92,8,3813,253.8
1787891180.368,92,8,3813,253.8
1787891180.569,90,9,3813,255.5
1787891180.769,90,9,3805,255.5
1787891180.970,90,9,3805,181.5
1787891181.170,90,9,3805,181.5
1787891181.370,90,9,3805,181.5
1787891181.571,6,0,3796,117.9
1787891181.771,6,0,3796,117.9
1787891181.972,6,0,3796,101.4
1787891182.172,6,0,3796,101.4
1787891182.373,6,0,3796,156.6
1787891182.573,89,8,3796,156.6
1787891182.774,89,8,3796,156.6
1787891182.974,89,8,3796,227.1
1787891183.175,89,8,3796,227.1
1787891183.375,84,8,3796,236.3
1787891183.575,84,8,3796,236.3
1787891183.776,84,8,3796,236.3
1787891183.976,84,8,3796,236.6
1787891184.177,84,8,3796,236.6
1787891184.377,85,8,3796,239.6
1787891184.578,85,8,3796,239.6
1787891184.778,85,8,3796,239.6
1787891184.979,85,8,3796,239.4
1787891185.179,85,8,3796,239.4
1787891185.380,88,8,3796,240.7
1787891185.580,88,8,3805,240.7
1787891185.781,88,8,3805,240.7
1787891185.981,88,8,3807,239.3
1787891186.181,88,8,3807,239.3
1787891186.382,87,8,3807,239.9
1787891186.582,87,8,3807,239.9
1787891186.783,87,8,3811,239.9
1787891186.983,87,8,3811,240.5
1787891187.184,87,8,3809,240.5
1787891187.384,84,8,3809,242.3
1787891187.585,84,8,3813,242.3
1787891187.785,84,8,3813,242.3
1787891187.985,84,8,3813,245.6
1787891188.186,84,8,3813,245.6
1787891188.386,84,8,3813,246.4
1787891188.587,84,8,3813,246.4
1787891188.787,84,8,3813,246.4
1787891188.988,84,8,3813,246.3
1787891189.188,84,8,3812,246.3
1787891189.388,87,8,3812,246.2
1787891189.589,87,8,3812,246.2
1787891189.789,87,8,3819,246.2
1787891189.990,87,8,3819,245.4
1787891190.190,87,8,3819,245.4
1787891190.391,84,8,3819,245.0
1787891190.591,84,8,3819,245.0
1787891190.791,84,8,3819,245.0
1787891190.992,84,8,3813,222.6
1787891191.192,84,8,3812,222.6
1787891191.393,0,0,3812,148.3
1787891191.593,0,0,3812,148.3
1787891191.794,0,0,3812,148.3
1787891191.994,0,0,3812,97.2
1787891192.195,0,0,3812,97.2
1787891192.395,57,5,3812,121.1
1787891192.596,57,5,3812,121.1
1787891192.796,57,5,3812,121.1
1787891192.997,57,5,3812,191.0
1787891193.197,57,5,3801,191.0
1787891193.398,86,11,3801,244.5
1787891193.598,86,11,3801,244.5
1787891193.798,86,11,3801,244.5
1787891193.998,86,11,3801,254.8
1787891194.199,86,11,3801,254.8
1787891194.399,74,8,3813,252.9
1787891194.600,74,8,3813,252.9
1787891194.800,74,8,3807,252.9
1787891195.001,74,8,3807,250.0
1787891195.201,74,8,3807,250.0
1787891195.402,83,10,3807,254.9
1787891195.602,83,10,3807,254.9
1787891195.802,83,10,3814,254.9
1787891196.003,83,10,3814,249.9
1787891196.203,83,10,3814,249.9
1787891196.404,76,9,3814,238.4
1787891196.604,76,9,3814,238.4
1787891196.805,76,9,3814,238.4
1787891197.005,76,9,3814,241.1
1787891197.206,76,9,3814,241.1
1787891197.406,78,9,3814,242.0
1787891197.606,78,9,3814,242.0
1787891197.807,78,9,3814,242.0
1787891198.007,78,9,3814,238.6
1787891198.208,78,9,3814,238.6
1787891198.408,89,10,3814,242.3
1787891198.609,89,10,3814,242.3
1787891198.809,89,10,3813,242.3
1787891199.010,89,10,3813,245.7
1787891199.210,89,10,3813,245.7
1787891199.410,84,11,3808,248.8
1787891199.611,84,11,3808,248.8
1787891199.811,84,11,3808,248.8
1787891200.012,84,11,3808,251.8
1787891200.212,84,11,3808,251.8
1787891200.412,84,10,3808,254.1
1787891200.613,84,10,3808,254.1
1787891200.813,84,10,3802,254.1
1787891201.013,84,10,3802,255.8
1787891201.214,84,10,3802,255.8
1787891201.414,78,9,3802,244.3
1787891201.615,78,9,3802,244.3
1787891201.815,78,9,3802,244.3
1787891202.016,78,9,3802,242.5
1787891202.216,78,9,3802,242.5
1787891202.416,81,10,3809,251.4
1787891202.617,81,10,3809,251.4
1787891202.817,81,10,3809,251.4
1787891203.018,81,10,3809,250.4
1787891203.218,81,10,3809,250.4
1787891203.419,85,10,3809,256.7
1787891203.619,85,10,3809,256.7
1787891203.820,85,10,3808,256.7
1787891204.020,85,10,3808,257.4
1787891204.221,85,10,3808,257.4
1787891204.421,78,10,3808,255.4
1787891204.622,78,10,3808,255.4
1787891204.822,78,10,3808,255.4
1787891205.023,78,10,3808,255.7
1787891205.223,78,10,3808,255.7
1787891205.423,81,10,3808,257.2
1787891205.624,81,10,3808,257.2
1787891205.824,81,10,3808,257.2
1787891206.025,81,10,3808,258.6
1787891206.225,81,10,3808,258.6
1787891206.426,0,0,3808,231.6
1787891206.626,0,0,3808,231.6
1787891206.826,0,0,3808,231.6
1787891207.027,0,0,3808,161.8
1787891207.228,0,0,3808,161.8
1787891207.428,0,0,3802,97.6
1787891207.629,0,0,3802,97.6
1787891207.829,0,0,3802,97.6
1787891208.030,0,0,3802,97.6
1787891208.230,0,0,3802,97.6
1787891208.431,90,7,3802,138.6
1787891208.631,90,7,3802,138.6
1787891208.832,90,7,3802,138.6
1787891209.032,90,7,3802,210.9
1787891209.232,90,7,3802,210.9
1787891209.433,66,7,3802,228.5
1787891209.633,66,7,3811,228.5
1787891209.834,66,7,3811,228.5
1787891210.034,66,7,3811,229.7
1787891210.235,66,7,3811,229.7
1787891210.435,71,8,3811,240.0
1787891210.636,71,8,3811,240.0
1787891210.836,71,8,3811,240.0
1787891211.036,71,8,3811,238.7
