run_id,k,rep,placement,status,detail,t_start,t_end
prefix_1787891943,0,0,GGGG,OK,,1787891943.274,1787891953.228
prefix_1787891943,0,0,GGNG,OK,,1787891953.229,1787891963.29
prefix_1787891943,0,0,GGNN,OK,,1787891963.291,1787891973.071
prefix_1787891943,0,0,GNNN,OK,,1787891973.072,1787891982.775
prefix_1787891943,0,0,NNNN,OK,,1787891982.776,1787891992.499
prefix_1787891943,0,1,GGGG,OK,,1787891992.499,1787892001.653
prefix_1787891943,0,1,GGNG,OK,,1787892001.653,1787892012.755
prefix_1787891943,0,1,GGNN,OK,,1787892012.755,1787892022.384
prefix_1787891943,0,1,GNNN,OK,,1787892022.384,1787892032.166
prefix_1787891943,0,1,NNNN,OK,,1787892032.166,1787892041.891
prefix_1787891943,0,2,GGGG,OK,,1787892041.891,1787892050.932
prefix_1787891943,0,2,GGNG,OK,,1787892050.932,1787892061.221
prefix_1787891943,0,2,GGNN,OK,,1787892061.221,1787892070.793
prefix_1787891943,0,2,GNNN,OK,,1787892070.793,1787892080.809
prefix_1787891943,0,2,NNNN,OK,,1787892080.809,1787892090.513
prefix_1787891943,1,0,GGGG,OK,,1787892090.513,1787892105.737
prefix_1787891943,1,0,GGNG,OK,,1787892105.737,1787892121.428
prefix_1787891943,1,0,GGNN,OK,,1787892121.428,1787892135.413
prefix_1787891943,1,0,GNNN,OK,,1787892135.413,1787892148.511
prefix_1787891943,1,0,NNNN,OK,,1787892148.512,1787892158.86
prefix_1787891943,1,1,GGGG,OK,,1787892158.861,1787892174.733
prefix_1787891943,1,1,GGNG,OK,,1787892174.733,1787892189.517
prefix_1787891943,1,1,GGNN,OK,,1787892189.517,1787892202.726
prefix_1787891943,1,1,GNNN,OK,,1787892202.726,1787892216.277
prefix_1787891943,1,1,NNNN,OK,,1787892216.277,1787892226.573
prefix_1787891943,1,2,GGGG,OK,,1787892226.573,1787892241.597
prefix_1787891943,1,2,GGNG,OK,,1787892241.597,1787892256.982
prefix_1787891943,1,2,GGNN,OK,,1787892256.982,1787892270.519
prefix_1787891943,1,2,GNNN,OK,,1787892270.519,1787892283.264
prefix_1787891943,1,2,NNNN,OK,,1787892283.264,1787892293.7
