run_id,k,rep,placement,gpu_skip_pct,npu_skip_pct,worst_sap,mean_sap,median_sap,p10_sap,sap_small,sap_medium,sap_large,deadline_margin_ms_mean,per_stream_json,t_start,t_end,period_ms,fps,detector,dataset,timestamp
prefix_1787891943,0,2,GGGG,0.4,0.0,0.11431,0.15037,0.13809,0.11627,0.00781,0.16767,0.45853,-18.339,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12083, ""sap_s"": 0.01634, ""sap_m"": 0.1739, ""sap_l"": 0.57729, ""skip"": 0.46, ""eff_mean_ms"": 15.073, ""infer_mean_ms"": 15.073}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.211, ""sap_s"": 0.00143, ""sap_m"": 0.19304, ""sap_l"": 0.64693, ""skip"": 0.45, ""eff_mean_ms"": 15.161, ""infer_mean_ms"": 15.161}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.15535, ""sap_s"": 0.00345, ""sap_m"": 0.25769, ""sap_l"": 0.34881, ""skip"": 0.22, ""eff_mean_ms"": 14.923, ""infer_mean_ms"": 14.923}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11431, ""sap_s"": 0.01001, ""sap_m"": 0.04603, ""sap_l"": 0.26108, ""skip"": 0.46, ""eff_mean_ms"": 14.819, ""infer_mean_ms"": 14.818}]",1787892041.891,1787892050.932,33.333,30.0,yolo11s,argoverse-hd-val,1787892050
prefix_1787891943,0,2,GGNG,0.0,2.25,0.1149,0.14164,0.12033,0.1162,0.00927,0.13828,0.49533,-19.283,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12141, ""sap_s"": 0.01638, ""sap_m"": 0.17493, ""sap_l"": 0.5773, ""skip"": 0.0, ""eff_mean_ms"": 14.16, ""infer_mean_ms"": 14.16}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21102, ""sap_s"": 0.00143, ""sap_m"": 0.19304, ""sap_l"": 0.64696, ""skip"": 0.0, ""eff_mean_ms"": 14.171, ""infer_mean_ms"": 14.17}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.11924, ""sap_s"": 0.00049, ""sap_m"": 0.18035, ""sap_l"": 0.33637, ""skip"": 2.25, ""eff_mean_ms"": 17.805, ""infer_mean_ms"": 17.805}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.1149, ""sap_s"": 0.01001, ""sap_m"": 0.04686, ""sap_l"": 0.26173, ""skip"": 0.0, ""eff_mean_ms"": 13.821, ""infer_mean_ms"": 13.821}]",1787892050.932,1787892061.221,33.333,30.0,yolo11s,argoverse-hd-val,1787892061
prefix_1787891943,0,2,GGNN,0.0,1.58,0.08336,0.13373,0.12027,0.09409,0.0089,0.18399,0.61213,-20.825,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12141, ""sap_s"": 0.01638, ""sap_m"": 0.17493, ""sap_l"": 0.5773, ""skip"": 0.0, ""eff_mean_ms"": 12.377, ""infer_mean_ms"": 12.376}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21102, ""sap_s"": 0.00143, ""sap_m"": 0.19304, ""sap_l"": 0.64696, ""skip"": 0.0, ""eff_mean_ms"": 12.64, ""infer_mean_ms"": 12.64}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.11914, ""sap_s"": 0.00049, ""sap_m"": 0.18177, ""sap_l"": 0.33583, ""skip"": 1.8, ""eff_mean_ms"": 16.904, ""infer_mean_ms"": 16.904}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08336, ""sap_s"": 0.0014, ""sap_m"": 0.02446, ""sap_l"": 0.21218, ""skip"": 1.37, ""eff_mean_ms"": 16.707, ""infer_mean_ms"": 16.706}]",1787892061.221,1787892070.793,33.333,30.0,yolo11s,argoverse-hd-val,1787892070
prefix_1787891943,0,2,GNNN,0.0,0.53,0.08319,0.1293,0.12143,0.09466,0.01638,0.17493,0.5773,-21.68,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12141, ""sap_s"": 0.01638, ""sap_m"": 0.17493, ""sap_l"": 0.5773, ""skip"": 0.0, ""eff_mean_ms"": 11.653, ""infer_mean_ms"": 11.653}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19116, ""sap_s"": 0.00102, ""sap_m"": 0.17303, ""sap_l"": 0.61387, ""skip"": 1.12, ""eff_mean_ms"": 17.686, ""infer_mean_ms"": 17.686}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12145, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33898, ""skip"": 0.0, ""eff_mean_ms"": 17.116, ""infer_mean_ms"": 17.116}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08319, ""sap_s"": 0.0014, ""sap_m"": 0.02425, ""sap_l"": 0.21238, ""skip"": 0.46, ""eff_mean_ms"": 17.173, ""infer_mean_ms"": 17.173}]",1787892070.793,1787892080.809,33.333,30.0,yolo11s,argoverse-hd-val,1787892080
prefix_1787891943,0,2,NNNN,0.0,0.34,0.0836,0.12624,0.11508,0.0912,0.00356,0.13037,0.4327,-16.183,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10894, ""sap_s"": 0.01135, ""sap_m"": 0.14213, ""sap_l"": 0.56536, ""skip"": 0.46, ""eff_mean_ms"": 17.286, ""infer_mean_ms"": 17.286}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19119, ""sap_s"": 0.001, ""sap_m"": 0.17332, ""sap_l"": 0.61385, ""skip"": 0.22, ""eff_mean_ms"": 17.206, ""infer_mean_ms"": 17.205}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12123, ""sap_s"": 0.00049, ""sap_m"": 0.18157, ""sap_l"": 0.33889, ""skip"": 0.67, ""eff_mean_ms"": 17.247, ""infer_mean_ms"": 17.247}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0836, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.21271, ""skip"": 0.0, ""eff_mean_ms"": 16.863, ""infer_mean_ms"": 16.862}]",1787892080.809,1787892090.513,33.333,30.0,yolo11s,argoverse-hd-val,1787892090
prefix_1787891943,1,0,GGGG,22.42,0.0,0.09691,0.13692,0.12114,0.10043,0.00714,0.14779,0.41221,-5.736,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.10863, ""sap_s"": 0.01539, ""sap_m"": 0.14415, ""sap_l"": 0.48161, ""skip"": 21.99, ""eff_mean_ms"": 27.484, ""infer_mean_ms"": 27.484}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.20851, ""sap_s"": 0.00135, ""sap_m"": 0.19187, ""sap_l"": 0.6369, ""skip"": 23.11, ""eff_mean_ms"": 27.603, ""infer_mean_ms"": 27.603}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.13365, ""sap_s"": 0.00258, ""sap_m"": 0.22849, ""sap_l"": 0.28914, ""skip"": 20.64, ""eff_mean_ms"": 27.692, ""infer_mean_ms"": 27.692}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.09691, ""sap_s"": 0.00925, ""sap_m"": 0.02665, ""sap_l"": 0.24118, ""skip"": 23.95, ""eff_mean_ms"": 27.609, ""infer_mean_ms"": 27.609}]",1787892090.513,1787892105.737,33.333,30.0,yolo11s,argoverse-hd-val,1787892105
prefix_1787891943,1,0,GGNG,27.82,0.22,0.09317,0.13175,0.11366,0.09703,0.00893,0.11781,0.45011,-4.087,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.10603, ""sap_s"": 0.01562, ""sap_m"": 0.13833, ""sap_l"": 0.48001, ""skip"": 27.17, ""eff_mean_ms"": 29.239, ""infer_mean_ms"": 29.239}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.20651, ""sap_s"": 0.0015, ""sap_m"": 0.19104, ""sap_l"": 0.6334, ""skip"": 29.84, ""eff_mean_ms"": 29.355, ""infer_mean_ms"": 29.354}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12128, ""sap_s"": 0.00049, ""sap_m"": 0.18111, ""sap_l"": 0.33857, ""skip"": 0.22, ""eff_mean_ms"": 17.054, ""infer_mean_ms"": 17.053}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.09317, ""sap_s"": 0.00968, ""sap_m"": 0.02407, ""sap_l"": 0.23693, ""skip"": 26.45, ""eff_mean_ms"": 29.144, ""infer_mean_ms"": 29.143}]",1787892105.737,1787892121.428,33.333,30.0,yolo11s,argoverse-hd-val,1787892121
prefix_1787891943,1,0,GGNN,17.17,0.0,0.0836,0.13135,0.11624,0.09183,0.00866,0.17107,0.5853,-8.101,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.11102, ""sap_s"": 0.01589, ""sap_m"": 0.1505, ""sap_l"": 0.53136, ""skip"": 15.86, ""eff_mean_ms"": 25.118, ""infer_mean_ms"": 25.118}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.20933, ""sap_s"": 0.00143, ""sap_m"": 0.19165, ""sap_l"": 0.63924, ""skip"": 18.49, ""eff_mean_ms"": 25.346, ""infer_mean_ms"": 25.346}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12145, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33898, ""skip"": 0.0, ""eff_mean_ms"": 16.981, ""infer_mean_ms"": 16.981}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0836, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.21271, ""skip"": 0.0, ""eff_mean_ms"": 16.474, ""infer_mean_ms"": 16.474}]",1787892121.428,1787892135.413,33.333,30.0,yolo11s,argoverse-hd-val,1787892135
prefix_1787891943,1,0,GNNN,12.56,0.98,0.0836,0.12731,0.11708,0.09288,0.01557,0.15875,0.56178,-9.877,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.11454, ""sap_s"": 0.01557, ""sap_m"": 0.15875, ""sap_l"": 0.56178, ""skip"": 12.56, ""eff_mean_ms"": 23.456, ""infer_mean_ms"": 23.455}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19148, ""sap_s"": 0.00099, ""sap_m"": 0.17361, ""sap_l"": 0.61399, ""skip"": 1.35, ""eff_mean_ms"": 17.847, ""infer_mean_ms"": 17.847}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.11962, ""sap_s"": 0.00049, ""sap_m"": 0.17947, ""sap_l"": 0.33859, ""skip"": 1.35, ""eff_mean_ms"": 17.601, ""infer_mean_ms"": 17.6}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0836, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.2127, ""skip"": 0.23, ""eff_mean_ms"": 17.318, ""infer_mean_ms"": 17.318}]",1787892135.413,1787892148.511,33.333,30.0,yolo11s,argoverse-hd-val,1787892148
prefix_1787891943,1,0,NNNN,0.0,1.13,0.08339,0.12583,0.11443,0.09104,0.00354,0.12951,0.43241,-15.557,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.1089, ""sap_s"": 0.01136, ""sap_m"": 0.14172, ""sap_l"": 0.56557, ""skip"": 1.14, ""eff_mean_ms"": 17.929, ""infer_mean_ms"": 17.929}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19106, ""sap_s"": 0.00091, ""sap_m"": 0.17353, ""sap_l"": 0.6131, ""skip"": 1.35, ""eff_mean_ms"": 17.996, ""infer_mean_ms"": 17.996}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.11997, ""sap_s"": 0.00049, ""sap_m"": 0.1784, ""sap_l"": 0.33865, ""skip"": 1.35, ""eff_mean_ms"": 17.616, ""infer_mean_ms"": 17.616}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08339, ""sap_s"": 0.0014, ""sap_m"": 0.02439, ""sap_l"": 0.21234, ""skip"": 0.68, ""eff_mean_ms"": 17.563, ""infer_mean_ms"": 17.563}]",1787892148.512,1787892158.86,33.333,30.0,yolo11s,argoverse-hd-val,1787892158
