directory,filename,best_deployment,best_throughput,best_drop_rate,better_combination,better_throughput,better_drop_rate,diff
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_328,25.01,311.0,3.240000000000002
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_468,25.0,357.0,3.2300000000000004
results,performance_20260127_072634_model_schedules_g_m_r_t_x3.json,combination_4,26.47,699.0,combination_15,29.69,830.0,3.2200000000000024
results,performance_20260127_114230_model_schedules_r_t_v_y_x3.json,combination_13,19.24,536.0,combination_16,22.44,675.0,3.200000000000003
results,performance_20260126_171630_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.json,combination_67,25.69,165.0,combination_223,28.87,241.0,3.1799999999999997
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_239,24.94,359.0,3.1700000000000017
results,performance_20260127_073858_model_schedules_g_m_r_x3.json,combination_6,30.93,808.0,combination_8,34.06,879.0,3.1300000000000026
results,performance_20260127_154526_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y_x2.json,combination_105,24.79,286.0,combination_512,27.91,731.0,3.120000000000001
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_382,24.88,336.0,3.1099999999999994
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_256,24.83,354.0,3.0599999999999987
results,performance_20260126_171630_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.json,combination_67,25.69,165.0,combination_30,28.75,186.0,3.0599999999999987
results,performance_20260127_083612_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_x3.json,combination_17,26.75,270.0,combination_64,29.79,547.0,3.039999999999999
results,performance_20260127_061314_model_schedules_g_m_resnet50_resnext50_s_t_x3.json,combination_50,24.85,394.0,combination_64,27.89,684.0,3.039999999999999
results,performance_20260127_073338_model_schedules_g_m_r_t.json,combination_11,26.71,609.0,combination_16,29.73,750.0,3.0199999999999996
results,performance_20260127_114230_model_schedules_r_t_v_y_x3.json,combination_13,19.24,536.0,combination_1,22.25,573.0,3.0100000000000016
results,performance_20260127_104457_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y.json,combination_86,21.67,343.0,combination_15,24.68,419.0,3.009999999999998
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_511,24.74,524.0,2.969999999999999
results,performance_20260127_073338_model_schedules_g_m_r_t.json,combination_11,26.71,609.0,combination_8,29.65,768.0,2.9399999999999977
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_496,24.7,373.0,2.9299999999999997
results,performance_20260127_101556_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x4.json,combination_46,23.65,343.0,combination_127,26.52,525.0,2.870000000000001
results,performance_20260126_171630_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.json,combination_67,25.69,165.0,combination_104,28.56,225.0,2.8699999999999974
results,performance_20260127_094657_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x3.json,combination_73,21.4,342.0,combination_29,24.25,403.0,2.8500000000000014
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_128,24.61,325.0,2.84
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_214,24.6,320.0,2.830000000000002
results,performance_20260126_171630_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.json,combination_67,25.69,165.0,combination_150,28.52,192.0,2.8299999999999983
results,performance_20260127_085008_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_x4.json,combination_24,28.89,265.0,combination_64,31.69,347.0,2.8000000000000007
