timestamp,combination,source_file,views.sum.view.throughput_fps,views.sum.view.avg_inference_time_ms,views.sum.view.inference_count,views.sum.view.avg_wait_to_preprocess_ms,views.sum.view.dropped_frames_due_to_full_queue,views.sum.view.exec_cpu,views.sum.view.exec_npu0,views.sum.view.exec_npu1,views.sum.view.static_infer_sel,views.sum.view.static_load_sel,views.sum.x.view_throughput__static_infer_sel,views.sum.x.view_wait__static_load_sel,views.mean.view.throughput_fps,views.mean.view.avg_inference_time_ms,views.mean.view.inference_count,views.mean.view.avg_wait_to_preprocess_ms,views.mean.view.dropped_frames_due_to_full_queue,views.mean.view.exec_cpu,views.mean.view.exec_npu0,views.mean.view.exec_npu1,views.mean.view.static_infer_sel,views.mean.view.static_load_sel,views.mean.x.view_throughput__static_infer_sel,views.mean.x.view_wait__static_load_sel,views.max.view.throughput_fps,views.max.view.avg_inference_time_ms,views.max.view.inference_count,views.max.view.avg_wait_to_preprocess_ms,views.max.view.dropped_frames_due_to_full_queue,views.max.view.exec_cpu,views.max.view.exec_npu0,views.max.view.exec_npu1,views.max.view.static_infer_sel,views.max.view.static_load_sel,views.max.x.view_throughput__static_infer_sel,views.max.x.view_wait__static_load_sel,views.count.views,y1_total_throughput_fps,y2_drop_rate_fps
2025-09-13 11:21:11,combination_4,xgboost_model/performance_data/performance/performance_20250913_111908.json,26.740000000000002,258.53,248.0,2167.34,603.0,1.0,1.0,0.0,253.60000000000002,15.0,1861.2160000000001,0.0,13.370000000000001,129.265,124.0,1083.67,301.5,0.5,0.5,0.0,126.80000000000001,7.5,930.6080000000001,0.0,22.05,213.17,129.0,2167.34,603.0,1.0,1.0,0.0,214.9,15.0,1007.8810000000001,0.0,2.0,26.74,20.1
2025-09-13 11:21:42,combination_5,xgboost_model/performance_data/performance/performance_20250913_111908.json,36.45,119.42,268.0,953.15,372.0,0.0,1.0,1.0,110.7,442.4,1844.847,407376.31,18.225,59.71,134.0,476.575,186.0,0.0,0.5,0.5,55.35,221.2,922.4235,203688.155,23.41,76.7,149.0,953.15,372.0,0.0,1.0,1.0,72.0,427.4,938.8799999999999,407376.31,2.0,36.45,12.4
2025-09-13 11:22:13,combination_6,xgboost_model/performance_data/performance/performance_20250913_111908.json,26.38,268.73,243.0,2257.98,596.0,1.0,0.0,1.0,268.5,76.2,2136.592,0.0,13.19,134.365,121.5,1128.99,298.0,0.5,0.0,0.5,134.25,38.1,1068.296,0.0,21.9,223.06,124.0,2257.98,596.0,1.0,0.0,1.0,214.9,76.2,1173.84,0.0,2.0,26.38,19.8667
2025-09-13 11:22:44,combination_7,xgboost_model/performance_data/performance/performance_20250913_111908.json,37.14,113.72,281.0,877.98,337.0,0.0,1.0,1.0,114.4,177.60000000000002,2093.6639999999998,89027.172,18.57,56.86,140.5,438.99,168.5,0.0,0.5,0.5,57.2,88.80000000000001,1046.8319999999999,44513.586,22.84,69.94,162.0,877.98,337.0,0.0,1.0,1.0,60.8,101.4,1224.224,89027.172,2.0,37.14,11.2333
2025-09-13 11:23:19,combination_1,xgboost_model/performance_data/performance/performance_20250913_112249.json,11.2,609.7,236.0,4820.26,762.0,2.0,0.0,0.0,227.20000000000002,0.0,542.96,0.0,5.6,304.85,118.0,2410.13,381.0,1.0,0.0,0.0,113.60000000000001,0.0,271.48,0.0,9.2,501.04,179.0,4820.26,762.0,1.0,0.0,0.0,214.9,0.0,429.8,0.0,2.0,11.2,25.4
2025-09-13 11:23:50,combination_2,xgboost_model/performance_data/performance/performance_20250913_112249.json,33.339999999999996,124.91,326.0,957.77,499.0,1.0,1.0,0.0,73.1,101.4,1057.557,97117.878,16.669999999999998,62.455,163.0,478.885,249.5,0.5,0.5,0.0,36.55,50.7,528.7785,48558.939,19.99,74.89,177.0,957.77,499.0,1.0,1.0,0.0,60.8,101.4,811.68,97117.878,2.0,33.35,16.6333
2025-09-13 11:24:21,combination_3,xgboost_model/performance_data/performance/performance_20250913_112249.json,31.189999999999998,135.67000000000002,312.0,1057.29,530.0,1.0,0.0,1.0,84.3,427.4,1097.052,451885.746,15.594999999999999,67.83500000000001,156.0,528.645,265.0,0.5,0.0,0.5,42.15,213.7,548.526,225942.873,19.24,83.68,177.0,1057.29,530.0,1.0,0.0,1.0,72.0,427.4,860.4,451885.746,2.0,31.19,17.6667
2025-09-13 11:24:52,combination_4,xgboost_model/performance_data/performance/performance_20250913_112249.json,26.48,271.32,298.0,2287.84,692.0,1.0,1.0,0.0,253.60000000000002,15.0,1805.342,0.0,13.24,135.66,149.0,1143.92,346.0,0.5,0.5,0.0,126.80000000000001,7.5,902.671,0.0,22.05,225.98,176.0,2287.84,692.0,1.0,1.0,0.0,214.9,15.0,952.007,0.0,2.0,26.48,23.0667
2025-09-13 11:25:23,combination_5,xgboost_model/performance_data/performance/performance_20250913_112249.json,36.35,119.64000000000001,325.0,957.61,544.0,0.0,1.0,1.0,110.7,442.4,1840.644,409282.51399999997,18.175,59.82000000000001,162.5,478.805,272.0,0.0,0.5,0.5,55.35,221.2,920.322,204641.25699999998,23.32,76.76,176.0,957.61,544.0,0.0,1.0,1.0,72.0,427.4,938.16,409282.51399999997,2.0,36.35,18.1333
2025-09-13 11:25:54,combination_6,xgboost_model/performance_data/performance/performance_20250913_112249.json,25.909999999999997,277.3,296.0,2336.54,689.0,1.0,0.0,1.0,268.5,76.2,2087.205,0.0,12.954999999999998,138.65,148.0,1168.27,344.5,0.5,0.0,0.5,134.25,38.1,1043.6025,0.0,21.58,230.97,176.0,2336.54,689.0,1.0,0.0,1.0,214.9,76.2,1156.6879999999999,0.0,2.0,25.91,22.9667
