timestamp,combination,schedule_file,workload,rate_factor,source_file,views.sum.view.infps,views.sum.view.exec_cpu,views.sum.view.exec_gpu,views.sum.view.exec_npu,views.sum.view.is_vision,views.sum.view.is_llm,views.sum.view.static_infer_sel,views.sum.view.static_load_sel,views.sum.view.static_tokens_sel,views.sum.view.capacity_fps,views.sum.view.load_factor,views.sum.x.infps__static_infer_sel,views.mean.view.infps,views.mean.view.exec_cpu,views.mean.view.exec_gpu,views.mean.view.exec_npu,views.mean.view.is_vision,views.mean.view.is_llm,views.mean.view.static_infer_sel,views.mean.view.static_load_sel,views.mean.view.static_tokens_sel,views.mean.view.capacity_fps,views.mean.view.load_factor,views.mean.x.infps__static_infer_sel,views.max.view.infps,views.max.view.exec_cpu,views.max.view.exec_gpu,views.max.view.exec_npu,views.max.view.is_vision,views.max.view.is_llm,views.max.view.static_infer_sel,views.max.view.static_load_sel,views.max.view.static_tokens_sel,views.max.view.capacity_fps,views.max.view.load_factor,views.max.x.infps__static_infer_sel,views.count.views,y1_total_throughput_fps,y2_deadline_miss_rate,y3_total_tokens_per_s
2026-07-09 15:10:59,combination_1,model_schedules.yaml,yolo11n,1.0,xgboost_model/performance_data/train/performance_ratesweep.json,139.70900000000003,3.0,1.0,0.0,2.0,2.0,286.655,1893.464,125.862,155.83580215097217,2.04301696,2043.01696,34.92725000000001,0.75,0.25,0.0,0.5,0.5,71.66375,473.366,31.4655,38.95895053774304,0.51075424,510.75424,92.37,1.0,1.0,0.0,1.0,1.0,154.739,832.011,116.816,92.37021984112322,1.000007456,1000.0074559999999,4.0,0.02822360248447205,0.875,0.12636229749631814
2026-07-09 15:11:29,combination_2,model_schedules.yaml,yolo11n,2.0,xgboost_model/performance_data/train/performance_ratesweep.json,279.41800000000006,3.0,1.0,0.0,2.0,2.0,286.655,1893.464,125.862,155.83580215097217,4.08603392,4086.03392,69.85450000000002,0.75,0.25,0.0,0.5,0.5,71.66375,473.366,31.4655,38.95895053774304,1.02150848,1021.50848,184.74,1.0,1.0,0.0,1.0,1.0,154.739,832.011,116.816,92.37021984112322,2.000014912,2000.0149119999999,4.0,0.029583365461228056,1.0,0.08895177165354332
2026-07-09 15:12:23,combination_4,model_schedules.yaml,yolo11n,4.0,xgboost_model/performance_data/train/performance_ratesweep.json,558.8360000000001,3.0,1.0,0.0,2.0,2.0,286.655,1893.464,125.862,155.83580215097217,8.17206784,8172.06784,139.70900000000003,0.75,0.25,0.0,0.5,0.5,71.66375,473.366,31.4655,38.95895053774304,2.04301696,2043.01696,369.48,1.0,1.0,0.0,1.0,1.0,154.739,832.011,116.816,92.37021984112322,4.000029824,4000.0298239999997,4.0,0.034628190899001106,1.0,0.418571765260429
2026-07-09 15:12:47,combination_5,model_schedules.yaml,yolo11n,1.0,xgboost_model/performance_data/train/performance_ratesweep.json,139.70900000000003,3.0,0.0,1.0,2.0,2.0,800.627,2736.3199999999997,25.06,147.44561801558413,2.1545488840000004,2154.548884,34.92725000000001,0.75,0.0,0.25,0.5,0.5,200.15675,684.0799999999999,6.265,36.86140450389603,0.5386372210000001,538.637221,92.37,1.0,0.0,1.0,1.0,1.0,613.778,1674.867,16.014,92.37021984112322,1.000007456,1000.0074559999999,4.0,0.026484472049689442,0.875,0.09675994108983801
2026-07-09 15:13:18,combination_6,model_schedules.yaml,yolo11n,2.0,xgboost_model/performance_data/train/performance_ratesweep.json,279.41800000000006,3.0,0.0,1.0,2.0,2.0,800.627,2736.3199999999997,25.06,147.44561801558413,4.309097768000001,4309.097768,69.85450000000002,0.75,0.0,0.25,0.5,0.5,200.15675,684.0799999999999,6.265,36.86140450389603,1.0772744420000002,1077.274442,184.74,1.0,0.0,1.0,1.0,1.0,613.778,1674.867,16.014,92.37021984112322,2.000014912,2000.0149119999999,4.0,0.027398668620042668,1.0,0.0828001968503937
2026-07-09 15:14:09,combination_8,model_schedules.yaml,yolo11n,4.0,xgboost_model/performance_data/train/performance_ratesweep.json,558.8360000000001,3.0,0.0,1.0,2.0,2.0,800.627,2736.3199999999997,25.06,147.44561801558413,8.618195536000002,8618.195536,139.70900000000003,0.75,0.0,0.25,0.5,0.5,200.15675,684.0799999999999,6.265,36.86140450389603,2.1545488840000004,2154.548884,369.48,1.0,0.0,1.0,1.0,1.0,613.778,1674.867,16.014,92.37021984112322,4.000029824,4000.0298239999997,4.0,0.028329633740288566,1.0,0.15932123497525336
2026-07-09 15:14:33,combination_9,model_schedules.yaml,yolo11n,1.0,xgboost_model/performance_data/train/performance_ratesweep.json,139.70900000000003,2.0,1.0,1.0,2.0,2.0,655.388,2945.3630000000003,181.363,246.24628099953568,2.1345059020000003,2134.505902,34.92725000000001,0.5,0.25,0.25,0.5,0.5,163.847,736.3407500000001,45.34075,61.56157024988392,0.5336264755000001,533.6264755,92.37,1.0,1.0,1.0,1.0,1.0,613.778,1674.867,165.349,105.26315789473684,1.000007456,1000.0074559999999,4.0,0.04586335403726708,0.625,0.5458026509572902
2026-07-09 15:15:00,combination_10,model_schedules.yaml,yolo11n,2.0,xgboost_model/performance_data/train/performance_ratesweep.json,279.41800000000006,2.0,1.0,1.0,2.0,2.0,655.388,2945.3630000000003,181.363,246.24628099953568,4.269011804000001,4269.011804,69.85450000000002,0.5,0.25,0.25,0.5,0.5,163.847,736.3407500000001,45.34075,61.56157024988392,1.0672529510000002,1067.252951,184.74,1.0,1.0,1.0,1.0,1.0,613.778,1674.867,165.349,105.26315789473684,2.000014912,2000.0149119999999,4.0,0.04580152671755725,0.75,1.0
2026-07-09 15:15:54,combination_12,model_schedules.yaml,yolo11n,4.0,xgboost_model/performance_data/train/performance_ratesweep.json,558.8360000000001,2.0,1.0,1.0,2.0,2.0,655.388,2945.3630000000003,181.363,246.24628099953568,8.538023608000001,8538.023608,139.70900000000003,0.5,0.25,0.25,0.5,0.5,163.847,736.3407500000001,45.34075,61.56157024988392,2.1345059020000003,2134.505902,369.48,1.0,1.0,1.0,1.0,1.0,613.778,1674.867,165.349,105.26315789473684,4.000029824,4000.0298239999997,4.0,0.05119311875693674,0.9375,0.8472778694320058
2026-07-09 15:16:21,combination_13,model_schedules.yaml,yolo11n,1.0,xgboost_model/performance_data/train/performance_ratesweep.json,139.70900000000003,2.0,1.0,1.0,2.0,2.0,213.108,2518.8810000000003,138.756,161.6897916228847,2.032867474,2032.867474,34.92725000000001,0.5,0.25,0.25,0.5,0.5,53.277,629.7202500000001,34.689,40.42244790572118,0.5082168685,508.2168685,92.37,1.0,1.0,1.0,1.0,1.0,99.806,1449.563,116.816,92.37021984112322,1.000007456,1000.0074559999999,4.0,0.04340372670807453,0.5,1.0
2026-07-09 15:16:48,combination_14,model_schedules.yaml,yolo11n,2.0,xgboost_model/performance_data/train/performance_ratesweep.json,279.41800000000006,2.0,1.0,1.0,2.0,2.0,213.108,2518.8810000000003,138.756,161.6897916228847,4.065734948,4065.734948,69.85450000000002,0.5,0.25,0.25,0.5,0.5,53.277,629.7202500000001,34.689,40.42244790572118,1.016433737,1016.433737,184.74,1.0,1.0,1.0,1.0,1.0,99.806,1449.563,116.816,92.37021984112322,2.000014912,2000.0149119999999,4.0,0.04112370524584265,0.875,0.43676181102362205
