k,s,m,l
0,0.0035499999999999998,0.13045333333333334,0.43269
1,0.003517,0.129743,0.4307
2,0.003497142857142857,0.13020428571428572,0.4322285714285714
3,0.00356,0.13032285714285716,0.43208714285714284
4,0.003562,0.13027,0.432592
6,0.003558,0.13003,0.43276000000000003
8,0.003562,0.130356,0.431972
